Date,INDONESIA IMI GROWTH
1994-05-31,1667.8038537764412
1994-06-30,1539.9317495160346
1994-07-29,1484.8197192941009
1994-08-31,1631.1818600307479
1994-09-30,1576.0048155588881
1994-10-31,1631.9804241554675
1994-11-30,1500.299970070555
1994-12-30,1406.8255489712656
1995-01-31,1278.04034261996
1995-02-28,1375.2700766848382
1995-03-31,1291.0691737315933
1995-04-28,1279.2788724050884
1995-05-31,1491.5344519136238
1995-06-30,1527.5952573407462
1995-07-31,1587.7980776201296
1995-08-31,1532.2721987907496
1995-09-29,1535.4343492559858
1995-10-31,1488.8676842691277
1995-11-30,1431.6626069676483
1995-12-29,1557.7090355490707
1996-01-31,1781.4172105398945
1996-02-29,1779.2454891444004
1996-03-29,1746.737773303987
1996-04-30,1847.2759151071818
1996-05-31,1870.7364995013593
1996-06-28,1834.5530096920754
1996-07-31,1597.174978866638
1996-08-30,1614.4479857738263
1996-09-30,1667.9622679044385
1996-10-31,1631.5994444846676
1996-11-29,1717.7661597893227
1996-12-31,1771.080268914402
1997-01-01,1770.677660408579
1997-01-02,1779.1591260423959
1997-01-03,1807.6209197850612
1997-01-06,1839.2353208823909
1997-01-07,1860.6910234812733
1997-01-08,1867.2643120662342
1997-01-09,1844.5323267607316
1997-01-10,1856.7366566945368
1997-01-13,1839.5846670284595
1997-01-14,1834.610385916304
1997-01-15,1818.5828004687419
1997-01-16,1820.4968844816715
1997-01-17,1837.0530177002142
1997-01-20,1888.2355837601642
1997-01-21,1912.7909460130993
1997-01-22,1929.9869658694913
1997-01-23,1899.8519877695858
1997-01-24,1883.2211444203454
1997-01-27,1896.82973958869
1997-01-28,1913.9108610408143
1997-01-29,1921.1939450641119
1997-01-30,1902.7838215449333
1997-01-31,1922.772436880713
1997-02-03,1900.6003091669136
1997-02-04,1863.6442403053782
1997-02-05,1885.298673333068
1997-02-06,1904.6416272864315
1997-02-07,1904.2410717391579
1997-02-10,1903.040415325703
1997-02-11,1904.962193074075
1997-02-12,1922.8453121673135
1997-02-13,1920.8575636257717
1997-02-14,1895.7113586063288
1997-02-17,1891.5728319432437
1997-02-18,1869.1389592990047
1997-02-19,1872.2220844398905
1997-02-20,1882.319670412927
1997-02-21,1862.046339029168
1997-02-24,1859.3002718149623
1997-02-25,1867.3464699034184
1997-02-26,1906.1134320382955
1997-02-27,1893.3788257357312
1997-02-28,1870.0020377466756
1997-03-03,1846.6354618691892
1997-03-04,1838.3111276429763
1997-03-05,1818.827534190611
1997-03-06,1792.8376680530225
1997-03-07,1798.5883009089423
1997-03-10,1797.560035750228
1997-03-11,1795.575907597345
1997-03-12,1769.952840935577
1997-03-13,1730.5722351636061
1997-03-14,1717.6619654770736
1997-03-17,1725.3073604117271
1997-03-18,1679.956444512003
1997-03-19,1702.3916986825757
1997-03-20,1698.6135529232552
1997-03-21,1663.7044479651518
1997-03-24,1639.1956854663722
1997-03-25,1675.0293944726125
1997-03-26,1690.6589474945588
1997-03-27,1689.5171870511367
1997-03-28,1689.8690232000436
1997-03-31,1689.8690232000436
1997-04-01,1658.196244438837
1997-04-02,1652.6685754396788
1997-04-03,1631.9737531533247
1997-04-04,1622.866098728952
1997-04-07,1626.148771074476
1997-04-08,1630.9608539400685
1997-04-09,1631.784799303665
1997-04-10,1619.7925137051582
1997-04-11,1619.0448749073937
1997-04-14,1611.2489130349234
1997-04-15,1601.6702726247115
1997-04-16,1605.9530659022178
1997-04-17,1616.4017855307106
1997-04-18,1616.7370690373546
1997-04-21,1628.5682831863987
1997-04-22,1633.6931414697583
1997-04-23,1654.2373610885884
1997-04-24,1646.2762985367503
1997-04-25,1631.8125896548981
1997-04-28,1628.5293716520985
1997-04-29,1594.3214766238277
1997-04-30,1606.781349947831
1997-05-01,1589.3261257455513
1997-05-02,1582.7997891424507
1997-05-05,1606.882264587936
1997-05-06,1621.126187842422
1997-05-07,1662.5068636675405
1997-05-08,1664.5610319504906
1997-05-09,1697.436449702446
1997-05-12,1702.1670570811264
1997-05-13,1678.1170936251617
1997-05-14,1676.6457463767465
1997-05-15,1629.9698651344922
1997-05-16,1635.1469904392648
1997-05-19,1615.9752254886716
1997-05-20,1619.941947737337
1997-05-21,1615.3571922394324
1997-05-22,1615.687936955288
1997-05-23,1630.233566903824
1997-05-26,1649.3055027675584
1997-05-27,1665.467938722441
1997-05-28,1670.7822932582585
1997-05-29,1722.4833818643704
1997-05-30,1744.362543586905
1997-06-02,1757.424374504158
1997-06-03,1751.964673106917
1997-06-04,1731.7458420474393
1997-06-05,1721.369433142817
1997-06-06,1726.8208037124643
1997-06-09,1713.9383794487985
1997-06-10,1703.8832083997481
1997-06-11,1724.5821614784543
1997-06-12,1735.6393317989487
1997-06-13,1736.2522449777912
1997-06-16,1751.5671818829044
1997-06-17,1735.5306859600998
1997-06-18,1754.855152715653
1997-06-19,1742.7212632382639
1997-06-20,1736.9225484211556
1997-06-23,1739.9704784373912
1997-06-24,1718.3157549597058
1997-06-25,1724.0746544170481
1997-06-26,1712.297851747292
1997-06-27,1738.4297326973983
1997-06-30,1760.0468192044273
1997-07-01,1782.7907008484215
1997-07-02,1772.192500733167
1997-07-03,1787.938627509756
1997-07-04,1791.030026503157
1997-07-07,1786.0266728412653
1997-07-08,1802.357100092228
1997-07-09,1795.0451770615398
1997-07-10,1762.1158218970447
1997-07-11,1716.4363322741922
1997-07-14,1713.6341882373092
1997-07-15,1696.9393338847233
1997-07-16,1689.309602838695
1997-07-17,1696.1350961834978
1997-07-18,1685.2354865287884
1997-07-21,1578.4272180631951
1997-07-22,1602.462706272128
1997-07-23,1625.8618078219624
1997-07-24,1595.0112430049514
1997-07-25,1595.597749014079
1997-07-28,1613.7964158005266
1997-07-29,1635.7830706315153
1997-07-30,1644.8349511311305
1997-07-31,1623.7798880772295
1997-08-01,1620.7038767678998
1997-08-04,1622.8448286513562
1997-08-05,1615.3095957301541
1997-08-06,1591.9364909658682
1997-08-07,1548.383969289183
1997-08-08,1540.4019129552053
1997-08-11,1490.3969694771597
1997-08-12,1491.9275748537607
1997-08-13,1474.6123703641651
1997-08-14,1372.0821481285673
1997-08-15,1265.9976244567906
1997-08-18,1211.9367188831254
1997-08-19,1234.0875065766543
1997-08-20,1278.2171465013846
1997-08-21,1344.619054496289
1997-08-22,1289.2988732071722
1997-08-25,1208.831000420144
1997-08-26,1204.980276681358
1997-08-27,1150.7054220174277
1997-08-28,1046.9168390228442
1997-08-29,973.6711753824162
1997-09-01,955.4420112410238
1997-09-02,937.0183318119125
1997-09-03,1017.2617820218263
1997-09-04,1067.7838378117917
1997-09-05,1206.0935423640965
1997-09-08,1232.9493150761432
1997-09-09,1247.2018142504187
1997-09-10,1186.90727961911
1997-09-11,1141.3717966132845
1997-09-12,1117.2388772899467
1997-09-15,1122.8762964748353
1997-09-16,1088.0867862110981
1997-09-17,1061.165257682546
1997-09-18,1060.6386622108128
1997-09-19,1068.8634294740186
1997-09-22,1071.3755562696304
1997-09-23,1093.6321712022554
1997-09-24,1117.229938881458
1997-09-25,1122.168056989601
1997-09-26,1067.841361527637
1997-09-29,1036.8792202177883
1997-09-30,1020.5588905586991
1997-10-01,957.0007285944881
1997-10-02,954.9991791702028
1997-10-03,867.6710180592936
1997-10-06,839.0682640821817
1997-10-07,847.2043164429176
1997-10-08,867.6976688615539
1997-10-09,893.4697063053421
1997-10-10,947.8108357491182
1997-10-13,930.6793126724226
1997-10-14,919.3219556445761
1997-10-15,881.43112097325
1997-10-16,847.4785249770727
1997-10-17,885.0166360628605
1997-10-20,864.176618245675
1997-10-21,864.7260800583771
1997-10-22,842.6382548563678
1997-10-23,837.0526947840756
1997-10-24,837.0884994002568
1997-10-27,835.6943658607145
1997-10-28,720.3596164016233
1997-10-29,796.2936327910564
1997-10-30,873.4682885953226
1997-10-31,861.4948653602247
1997-11-03,975.0076366201365
1997-11-04,923.2710099819486
1997-11-05,922.0782049692205
1997-11-06,888.481376614859
1997-11-07,864.7815999762773
1997-11-10,856.5750457816417
