Date,POLAND IMI GROWTH
1995-05-31,241.4750488932282
1995-06-30,247.42511128314248
1995-07-31,235.26470311613497
1995-08-31,224.22812357843475
1995-09-29,242.95419400397185
1995-10-31,220.50690865637372
1995-11-30,214.23221401878124
1995-12-29,208.3593574129689
1996-01-31,272.7192672832458
1996-02-29,285.94050318221474
1996-03-29,301.54561998988754
1996-04-30,315.6918958606316
1996-05-31,303.8605706569821
1996-06-28,349.2305635053722
1996-07-31,324.31076876421196
1996-08-30,356.90524509030934
1996-09-30,366.0876576477823
1996-10-31,324.90860253018695
1996-11-29,337.6612710277871
1996-12-31,345.7564775329123
1997-01-01,345.7564775329123
1997-01-02,349.8238201379123
1997-01-03,351.292681060554
1997-01-06,349.1166731824298
1997-01-07,355.8975549253914
1997-01-08,358.29382284775767
1997-01-09,360.647871933903
1997-01-10,366.0838490586528
1997-01-13,366.67400789661264
1997-01-14,370.95123324628486
1997-01-15,370.2598391331668
1997-01-16,380.35989922405037
1997-01-17,382.22648317013693
1997-01-20,375.93089120201125
1997-01-21,372.510534743923
1997-01-22,374.4047859060746
1997-01-23,377.98360516912646
1997-01-24,383.4594312132085
1997-01-27,389.31195959127615
1997-01-28,387.0748692378108
1997-01-29,379.97838554834345
1997-01-30,374.886091819064
1997-01-31,374.6060431001945
1997-02-03,382.1055653818068
1997-02-04,384.0581741377044
1997-02-05,384.92719458265736
1997-02-06,387.21750438566323
1997-02-07,396.550096461154
1997-02-10,402.19669480146183
1997-02-11,403.0818865651118
1997-02-12,404.63083964176275
1997-02-13,407.6771068712072
1997-02-14,416.6495726031736
1997-02-17,412.91976174503054
1997-02-18,419.32052789283375
1997-02-19,421.3134466191224
1997-02-20,417.7474908589335
1997-02-21,412.7118808356709
1997-02-24,411.2791227620897
1997-02-25,408.11166543291773
1997-02-26,412.04479924572763
1997-02-27,400.19315872781425
1997-02-28,393.03606736402907
1997-03-03,392.09095545042146
1997-03-04,390.95315341542
1997-03-05,390.976058686803
1997-03-06,387.3559891915988
1997-03-07,384.96594618120264
1997-03-10,384.722830699446
1997-03-11,383.56271110408414
1997-03-12,388.4108906648431
1997-03-13,378.0410733485704
1997-03-14,370.53995332305215
1997-03-17,369.8574687091691
1997-03-18,373.1021323844582
1997-03-19,364.44947488212597
1997-03-20,350.2783708587754
1997-03-21,346.09705913559924
1997-03-24,350.45392579014765
1997-03-25,348.0722015999476
1997-03-26,350.07243813055993
1997-03-27,357.23177062840153
1997-03-28,357.1446267585133
1997-03-31,357.1446267585133
1997-04-01,347.4079396332959
1997-04-02,330.2757553023243
1997-04-03,334.2769821579549
1997-04-04,334.45324065831574
1997-04-07,337.1535825626863
1997-04-08,340.5526454379451
1997-04-09,345.33346444386564
1997-04-10,345.5720703732116
1997-04-11,342.06036343220285
1997-04-14,334.2288873292236
1997-04-15,335.5701523856114
1997-04-16,341.21479249905127
1997-04-17,339.3595232220902
1997-04-18,344.8065094977829
1997-04-21,350.1266093822543
1997-04-22,350.7651831519463
1997-04-23,355.68097439579896
1997-04-24,353.0032694802056
1997-04-25,345.95967409599655
1997-04-28,337.7093466147095
1997-04-29,336.5352082089223
1997-04-30,337.1152278888675
1997-05-01,337.08858267641966
