Date,EUROPE MOMENTUM
1994-06-30,847.17099641
1994-07-29,901.07710937
1994-08-31,924.06345868
1994-09-30,895.05444401
1994-10-31,926.45579522
1994-11-30,876.25656051
1994-12-30,887.40951824
1995-01-31,881.40197772
1995-02-28,896.44774456
1995-03-31,927.97535822
1995-04-28,976.29270399
1995-05-31,1000.0
1995-06-30,1034.8398180066763
1995-07-31,1096.5088417582392
1995-08-31,1075.6621686267763
1995-09-29,1139.6433145910514
1995-10-31,1144.1323399259747
1995-11-30,1161.9383392894608
1995-12-29,1179.4019237590387
1996-01-31,1169.649839393444
1996-02-29,1195.0475277768016
1996-03-29,1232.5059204275124
1996-04-30,1230.7532812899756
1996-05-31,1252.3738160296102
1996-06-28,1282.3178150509968
1996-07-31,1249.253771381036
1996-08-30,1292.7307213149766
1996-09-30,1312.0498882535408
1996-10-31,1336.9287208907065
1996-11-29,1394.5364699947447
1996-12-31,1424.8671312215338
1997-01-01,1424.8671312215338
1997-01-02,1393.48722291261
1997-01-03,1398.7668502898337
1997-01-06,1402.3071217612653
1997-01-07,1402.898191716731
1997-01-08,1412.1270685580869
1997-01-09,1412.986111757069
1997-01-10,1407.6264208149903
1997-01-13,1422.7049467207794
1997-01-14,1436.7741459315241
1997-01-15,1445.4868993096154
1997-01-16,1451.8485243854968
1997-01-17,1442.1786546735216
1997-01-20,1432.3843939477074
1997-01-21,1426.5296377098584
1997-01-22,1427.1278699562477
1997-01-23,1428.1590311704813
1997-01-24,1414.9698539471774
1997-01-27,1406.0612103119645
1997-01-28,1405.9270058080667
1997-01-29,1401.52580635196
1997-01-30,1410.654338369047
1997-01-31,1426.057341295829
1997-02-03,1423.0210662484087
1997-02-04,1427.2883215889117
1997-02-05,1440.78876713987
1997-02-06,1436.6338362437907
1997-02-07,1435.4416879576336
1997-02-10,1452.2361201906635
1997-02-11,1441.622262946963
1997-02-12,1442.124782416702
1997-02-13,1445.7298240086598
1997-02-14,1454.0567910404673
1997-02-17,1453.6178506193598
1997-02-18,1457.1995106308284
1997-02-19,1455.6590517776024
1997-02-20,1450.5467976440598
1997-02-21,1450.1429960780413
1997-02-24,1459.5567776430487
1997-02-25,1472.1154052292338
1997-02-26,1462.3658430863957
1997-02-27,1467.3446376612392
1997-02-28,1454.62212523846
1997-03-03,1442.1255316023469
1997-03-04,1458.763197229714
1997-03-05,1463.9065725449316
1997-03-06,1478.038292877394
1997-03-07,1476.0279192858595
1997-03-10,1496.8461293346115
