Date,WORLD ex USA MOMENTUM
1995-05-31,1000.0
1995-06-30,1020.4407772795377
1995-07-31,1071.7474750351298
1995-08-31,1047.169624372603
1995-09-29,1089.9525172728634
1995-10-31,1091.3714424799796
1995-11-30,1109.599326344518
1995-12-29,1135.9296044959226
1996-01-31,1133.8924949665438
1996-02-29,1143.7171657085696
1996-03-29,1175.3861695506575
1996-04-30,1197.381995135816
1996-05-31,1182.7068447054671
1996-06-28,1208.7606339107992
1996-07-31,1167.1746884107895
1996-08-30,1170.2826362955766
1996-09-30,1201.780235840771
1996-10-31,1188.5182258387138
1996-11-29,1243.0011294814383
1996-12-31,1260.682374100953
1997-01-01,1260.682374100953
1997-01-02,1241.5226785906702
1997-01-03,1243.938544128981
1997-01-06,1250.6825028367098
1997-01-07,1251.7150134275137
1997-01-08,1254.8414328449073
1997-01-09,1250.2812846598015
1997-01-10,1241.0998916119736
1997-01-13,1250.2262031044415
1997-01-14,1261.986290125058
1997-01-15,1270.5321786355605
1997-01-16,1277.7739260886087
1997-01-17,1271.3177638865643
1997-01-20,1262.206362516289
1997-01-21,1257.16978813097
1997-01-22,1259.6508254575658
1997-01-23,1258.575865842974
1997-01-24,1250.0871814835218
1997-01-27,1241.9340953029302
1997-01-28,1242.4957165032395
1997-01-29,1241.1360270473176
1997-01-30,1242.8151399507383
1997-01-31,1253.0061394816034
1997-02-03,1253.2003579919392
1997-02-04,1256.5838848777826
1997-02-05,1262.3737250364325
1997-02-06,1260.9644681934897
1997-02-07,1261.4596141891627
1997-02-10,1275.7405139384844
1997-02-11,1270.6527245797058
1997-02-12,1275.0067918654245
1997-02-13,1280.8860880356622
1997-02-14,1284.3049809897573
1997-02-17,1282.653703318132
1997-02-18,1281.4827064322874
1997-02-19,1278.1785717284552
1997-02-20,1276.7821365645939
1997-02-21,1276.2155280367706
1997-02-24,1278.8578437916615
1997-02-25,1287.2215620367588
1997-02-26,1278.8990120784504
1997-02-27,1282.2257751646764
1997-02-28,1270.6818285112881
1997-03-03,1264.9195911309298
1997-03-04,1276.107363755685
1997-03-05,1279.0893705054145
1997-03-06,1285.7357393748478
1997-03-07,1286.0525587267161
1997-03-10,1299.4131005861855
1997-03-11,1301.8220263292735
1997-03-12,1288.9248013059077
1997-03-13,1278.3536078545765
1997-03-14,1280.7088100107555
1997-03-17,1272.0665861344648
1997-03-18,1267.5389611735768
1997-03-19,1263.187766079975
1997-03-20,1240.1370563055796
1997-03-21,1250.9732087816362
1997-03-24,1249.094114474956
1997-03-25,1265.8993685047542
1997-03-26,1276.3642642363184
1997-03-27,1281.4695349034375
1997-03-28,1282.356629090735
1997-03-31,1283.5178735191341
1997-04-01,1258.299229973506
1997-04-02,1252.9327561427278
1997-04-03,1243.9429125769557
1997-04-04,1244.1423817413952
1997-04-07,1250.5010726519215
1997-04-08,1258.9552193948077
1997-04-09,1262.80656030934
1997-04-10,1258.628198774458
1997-04-11,1250.83998233201
1997-04-14,1239.9292051056286
1997-04-15,1253.8138042180349
1997-04-16,1259.3653858515631
1997-04-17,1263.897250067883
1997-04-18,1268.4713425791822
1997-04-21,1277.0951918465414
1997-04-22,1278.1692596491719
1997-04-23,1290.2612825903605
1997-04-24,1295.0949980363005
1997-04-25,1285.178630824235
1997-04-28,1284.1443661784142
1997-04-29,1300.6651466422315
1997-04-30,1308.8315530146358
1997-05-01,1319.581006742296
1997-05-02,1329.2962144362523
1997-05-05,1339.4752440494635
1997-05-06,1361.479672717869
1997-05-07,1361.4857607715203
1997-05-08,1369.9875682298723
1997-05-09,1382.7725316603803
