Date,ACWI ESG SELECTION P-SERIES
2018-05-31,1000.0
2018-06-01,1010.2764715967583
2018-06-04,1015.8220251753913
2018-06-05,1017.3299997961176
2018-06-06,1016.0249342691412
2018-06-07,1011.2789930956341
2018-06-08,1014.9442585404246
2018-06-11,1014.3741371320884
2018-06-12,1017.4504878697497
2018-06-13,1016.3588642584901
2018-06-14,1025.5393658337277
2018-06-15,1025.013918981174
2018-06-18,1020.5910786173299
2018-06-19,1016.3375876199584
2018-06-20,1018.0099942927869
2018-06-21,1009.1403213715472
2018-06-22,1008.9095759952278
2018-06-25,990.5004374303004
2018-06-26,991.3615419508351
2018-06-27,988.1150780016734
2018-06-28,990.2223251244294
2018-06-29,989.8577542398026
2018-07-02,991.8274309184422
2018-07-03,987.5757716839364
2018-07-04,987.8720961023223
2018-07-05,989.4431216492045
2018-07-06,993.3547120047518
2018-07-09,1003.2372336774325
2018-07-10,1007.9477518752266
2018-07-11,999.8922992182498
2018-07-12,1009.2307541997026
2018-07-13,1013.4902653215336
2018-07-16,1008.6937583266706
2018-07-17,1013.8226950149043
2018-07-18,1020.002561693276
2018-07-19,1017.6228833574942
2018-07-20,1012.3286528267664
2018-07-23,1012.9731590893024
2018-07-24,1018.0490039563408
2018-07-25,1027.2590161996065
2018-07-26,1030.8674383754644
2018-07-27,1027.5720588935444
2018-07-30,1016.3946759798008
2018-07-31,1018.4844518685566
2018-08-01,1019.3997660824239
2018-08-02,1021.9634077516451
2018-08-03,1028.069870866245
2018-08-06,1030.6055684142964
2018-08-07,1032.849250062708
2018-08-08,1031.3158789900863
2018-08-09,1033.3145040034933
2018-08-10,1032.9610406651573
2018-08-13,1026.8021594619925
2018-08-14,1035.5231005928622
2018-08-15,1030.003147571204
2018-08-16,1027.9913748845627
2018-08-17,1028.905974125115
2018-08-20,1031.4082395018365
2018-08-21,1027.798111085263
2018-08-22,1023.8596947441777
2018-08-23,1023.7121226675163
2018-08-24,1025.0214824523948
2018-08-27,1032.2528285473181
2018-08-28,1030.2730329989085
2018-08-29,1035.6111846922265
2018-08-30,1032.5343792020979
2018-08-31,1031.643299556955
2018-09-03,1029.9582358129592
2018-09-04,1030.4320394743393
2018-09-05,1017.0433009821417
2018-09-06,1013.7253194230839
