Date,EM LATIN AMERICA ex BRAZIL GROWTH
2013-09-05,5991.001126801675
2013-09-06,6051.672632447694
2013-09-09,6206.296038439371
2013-09-10,6313.205306853422
2013-09-11,6296.359335407658
2013-09-12,6180.390342311345
2013-09-13,6225.281403529334
2013-09-16,6234.999605417433
2013-09-17,6256.90521598821
2013-09-18,6322.993807945218
2013-09-19,6309.452964666585
2013-09-20,6238.630280353325
2013-09-23,6328.814495996878
2013-09-24,6287.052730192437
2013-09-25,6282.726294742096
2013-09-26,6229.326797053342
2013-09-27,6105.0191879441
2013-09-30,6032.239349796741
2013-10-01,6164.458172028497
2013-10-02,6120.82813814273
2013-10-03,6046.0438020594365
2013-10-04,6105.914301887748
2013-10-07,6076.551090488176
2013-10-08,6008.770326548459
2013-10-09,6000.175366808881
2013-10-10,6108.890277952063
2013-10-11,6170.769218652787
2013-10-14,6156.367833679131
2013-10-15,6160.618294756152
2013-10-16,6228.159577682285
2013-10-17,6171.614318425583
2013-10-18,6180.681045774079
2013-10-21,6140.642391685753
2013-10-22,6155.724407247899
2013-10-23,6091.458246174691
2013-10-24,6048.443964267031
2013-10-25,6103.935157261945
2013-10-28,6156.560642330791
2013-10-29,6171.860293464212
2013-10-30,6150.740355115714
2013-10-31,6174.161274591688
2013-11-01,6202.052055015958
2013-11-04,6224.861273424798
2013-11-05,6109.7680882703135
2013-11-06,6066.167020368882
2013-11-07,6074.791184019735
2013-11-08,5982.132722953571
2013-11-11,5936.417027475441
2013-11-12,5925.707197941258
2013-11-13,5953.549408361512
2013-11-14,6022.158808389622
2013-11-15,6125.645900272839
2013-11-18,6152.003064301238
2013-11-19,6086.650035263105
2013-11-20,6088.078077576058
2013-11-21,6037.631201662824
2013-11-22,6053.624635148649
2013-11-25,6022.325905301376
2013-11-26,5971.514325495979
2013-11-27,6054.855232442138
2013-11-28,6067.218409835961
2013-11-29,6106.530133144329
2013-12-02,6048.765706155328
2013-12-03,5973.234818038069
2013-12-04,6012.60256503504
2013-12-05,5988.515671480747
2013-12-06,5987.111640804959
2013-12-09,6040.933301215037
2013-12-10,6036.5132790704665
2013-12-11,5986.755492813288
2013-12-12,5963.255478718357
2013-12-13,5968.326989559626
2013-12-16,5995.812517225131
2013-12-17,5958.007766918446
2013-12-18,5942.403012030365
2013-12-19,6015.455598211684
2013-12-20,6026.268329108495
2013-12-23,6036.237298199492
2013-12-24,6044.748709000078
2013-12-25,6044.748709000078
2013-12-26,6010.084443550957
2013-12-27,6010.2350772137
2013-12-30,6013.548373929839
2013-12-31,6009.614651492973
2014-01-01,6009.614651492973
2014-01-02,6001.752816769511
2014-01-03,6000.438978886935
2014-01-06,5929.105724005339
2014-01-07,5984.062934706184
2014-01-08,5934.4852119432435
2014-01-09,5893.415424081036
2014-01-10,5978.5173362669675
2014-01-13,5973.379927700869
2014-01-14,5948.643005630142
2014-01-15,5970.005986615979
2014-01-16,5885.344116337293
2014-01-17,5873.808604071878
2014-01-20,5873.122775000498
2014-01-21,5820.6214991058405
2014-01-22,5851.655531869056
2014-01-23,5712.097943197085
2014-01-24,5579.146868296273
2014-01-27,5570.007376193194
2014-01-28,5559.928707027358
2014-01-29,5519.707578748474
2014-01-30,5589.799677346631
2014-01-31,5592.738787518296
2014-02-03,5519.1772424029705
2014-02-04,5457.847228687569
2014-02-05,5452.12982340618
2014-02-06,5541.648121295872
2014-02-07,5517.95992503619
2014-02-10,5483.534435497811
2014-02-11,5560.449649571159
2014-02-12,5629.296800471365
2014-02-13,5570.766616810957
2014-02-14,5663.840954171043
2014-02-17,5668.3671376376315
2014-02-18,5586.3952728823815
2014-02-19,5509.727932898416
2014-02-20,5476.405128306978
2014-02-21,5496.331927593737
2014-02-24,5547.506216887904
2014-02-25,5461.423330954723
2014-02-26,5426.729770511934
2014-02-27,5448.595452603564
2014-02-28,5461.812884294284
2014-03-03,5427.254200412856
2014-03-04,5533.192475597264
2014-03-05,5545.580344270167
2014-03-06,5591.233927704246
2014-03-07,5507.386960006211
2014-03-10,5455.961637301836
2014-03-11,5456.380256137037
2014-03-12,5418.238977593096
2014-03-13,5377.413060272184
2014-03-14,5377.42928059376
2014-03-17,5395.153946641471
