Date,EM EASTERN EUROPE GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,98.7159705400174
2001-01-03,93.80889600967016
2001-01-04,99.98566376286915
2001-01-05,100.86016726767393
2001-01-08,99.79116860850668
2001-01-09,103.2649813800614
2001-01-10,103.63598198422054
2001-01-11,103.42350767403221
2001-01-12,104.54546558209296
2001-01-15,106.77345878418764
2001-01-16,106.43588801597672
2001-01-17,109.52849845104
2001-01-18,107.59258512920077
2001-01-19,109.56249869888208
2001-01-22,106.19008787791756
2001-01-23,105.595919866467
2001-01-24,109.13676827327144
2001-01-25,108.60974896058188
2001-01-26,107.1810827212052
2001-01-29,104.64296173156994
2001-01-30,105.22192835351227
2001-01-31,105.45019401393883
2001-02-01,103.87973595936981
2001-02-02,104.75689652458769
2001-02-05,100.59275710669495
2001-02-06,102.12992462244816
2001-02-07,99.84570062472879
2001-02-08,101.71359668242843
2001-02-09,98.91865739350777
2001-02-12,98.10714469460916
2001-02-13,101.08157139579605
2001-02-14,99.40283459732143
2001-02-15,104.24585099473043
2001-02-16,98.03409976010634
2001-02-19,97.07570041203242
2001-02-20,97.86360112556602
2001-02-21,92.9854270760629
2001-02-22,93.64024403361155
2001-02-23,91.9201958351154
2001-02-26,94.41749698639163
2001-02-27,91.93822997692183
2001-02-28,92.11828749562532
2001-03-01,89.70419536420532
2001-03-02,89.76863390667124
2001-03-05,93.75512329101484
2001-03-06,97.72642836345288
2001-03-07,98.28237430469376
2001-03-08,97.10532308955216
2001-03-09,95.36422179842727
2001-03-12,91.53802209043835
2001-03-13,92.78842942157314
2001-03-14,88.96798914785697
2001-03-15,91.93936021120743
2001-03-16,92.28300814716803
2001-03-19,93.84662722072643
2001-03-20,94.20795238245809
2001-03-21,92.01658331878723
2001-03-22,91.91768229468329
2001-03-23,91.77665970928739
2001-03-26,92.97452806358595
2001-03-27,91.77715040588377
2001-03-28,91.99715204667383
2001-03-29,89.5304289792371
2001-03-30,88.928567990839
2001-04-02,88.42169317786626
2001-04-03,85.06097130446885
2001-04-04,82.39626912158495
2001-04-05,87.93633357607975
2001-04-06,87.27887631040716
2001-04-09,87.6533008888553
2001-04-10,90.04402154104025
2001-04-11,92.03674323487259
2001-04-12,90.92323286807552
2001-04-13,91.90705543689295
2001-04-16,91.94570197674992
2001-04-17,89.94916658625205
2001-04-18,93.82619208686731
2001-04-19,94.48292460141485
2001-04-20,91.7236628264942
2001-04-23,89.68349862371325
2001-04-24,90.52966209393368
2001-04-25,90.4877932505109
2001-04-26,92.06616171241781
2001-04-27,94.93557009583971
2001-04-30,94.88117932311494
2001-05-01,94.50544817098495
2001-05-02,94.78907394449514
2001-05-03,96.18792049920515
2001-05-04,97.39693867457892
2001-05-07,99.1909683760787
