Date,MSCI Taiwan 20-35 Custom
2013-05-31,1000.0
2013-06-03,989.2413020680868
2013-06-04,991.3438771469436
2013-06-05,992.2416943742406
2013-06-06,980.3753952944454
2013-06-07,985.3255907422945
2013-06-10,990.2597901410974
2013-06-11,981.2924708273146
2013-06-12,981.2924708273146
2013-06-13,959.0700924837537
2013-06-14,962.5507590337319
2013-06-17,968.1752032915309
2013-06-18,968.1775531348263
2013-06-19,967.7392366342127
2013-06-20,949.3045305447663
2013-06-21,935.4019914305593
2013-06-24,923.5063418755312
2013-06-25,914.699255578233
2013-06-26,931.6150710481935
2013-06-27,948.133893027377
2013-06-28,977.2891034539024
2013-07-01,970.3733115875632
2013-07-02,967.7152598384214
2013-07-03,955.993591105689
2013-07-04,954.9614320149483
2013-07-05,970.7294080664204
2013-07-08,951.0282239375488
2013-07-09,963.7574503383058
2013-07-10,971.9059580754998
2013-07-11,998.3301271486141
2013-07-12,1002.9707305003641
2013-07-15,1006.998950820811
2013-07-16,1007.7003749663254
2013-07-17,1008.0775307436389
2013-07-18,995.3431195177301
2013-07-19,973.149435938298
2013-07-22,978.1697883674489
2013-07-23,995.359360645303
2013-07-24,994.3644997749469
2013-07-25,991.8817497808191
2013-07-26,991.8300544466864
2013-07-29,981.2582990471144
2013-07-30,993.3349539993142
2013-07-31,985.5899499689624
2013-08-01,977.5179265803084
2013-08-02,982.2770559848306
2013-08-05,988.3389508854751
2013-08-06,973.4203349475243
2013-08-07,958.9117846193776
2013-08-08,957.6511792339754
2013-08-09,951.1639761909025
2013-08-12,957.0434054842069
2013-08-13,969.554846360921
2013-08-14,964.1781573039345
2013-08-15,956.0944441324968
2013-08-16,962.1338163720986
2013-08-19,957.0514470442452
2013-08-20,950.2663697488802
2013-08-21,950.2663697488802
2013-08-22,946.4382674036867
2013-08-23,956.1023898512808
2013-08-26,959.439172345132
2013-08-27,950.2968544217539
2013-08-28,952.8335000933188
2013-08-29,964.732168167341
2013-08-30,980.9317399171912
2013-09-02,987.1348075537414
2013-09-03,992.6051807363634
2013-09-04,991.9674368635178
2013-09-05,1002.3623837103813
2013-09-06,1001.0441385009766
2013-09-09,1009.4698350957614
2013-09-10,1016.9633117573413
2013-09-11,1014.7648673932438
2013-09-12,1015.4141391800471
2013-09-13,1006.2519132014269
2013-09-16,1022.0145789455737
2013-09-17,1020.3246737010527
2013-09-18,1011.3528452529736
2013-09-19,1011.3528452529736
2013-09-20,1011.3528452529736
2013-09-23,1028.9317786806491
2013-09-24,1029.114995424514
2013-09-25,1023.1615049534007
2013-09-26,1010.3166047312408
2013-09-27,1018.2417572078673
2013-09-30,1007.7226948615854
2013-10-01,1011.2966489202088
2013-10-02,1014.9957594941213
2013-10-03,1040.3558127531746
2013-10-04,1038.9965980475604
2013-10-07,1031.8217583242997
2013-10-08,1039.4176989893044
2013-10-09,1036.7849635066054
2013-10-10,1036.7849635066054
2013-10-11,1039.3447085548846
2013-10-14,1029.979031101631
2013-10-15,1042.6454673725827
2013-10-16,1033.8142821975077
2013-10-17,1040.0242985314167
2013-10-18,1050.7858632510154
2013-10-21,1047.5853744928365
2013-10-22,1050.0270558271877
2013-10-23,1046.985565490629
2013-10-24,1048.1228243099513
2013-10-25,1037.11809115131
2013-10-28,1046.3176740576255
2013-10-29,1047.0738344759131
2013-10-30,1053.4734183141247
2013-10-31,1052.4677149452423
2013-11-01,1043.8068467492121
2013-11-04,1040.0097137741216
2013-11-05,1027.1221657223289
2013-11-06,1029.806301599411
2013-11-07,1029.5614195453315
2013-11-08,1022.7112973453932
2013-11-11,1012.7003870195553
2013-11-12,1013.683473928118
2013-11-13,1000.2062508756452
2013-11-14,1004.4491262129367
2013-11-15,1009.4130838412399
2013-11-18,1013.5170288306186
