Date,MSCI Korea 20-35 Custom
2013-05-31,1000.0
2013-06-03,996.8293108182864
2013-06-04,1003.4432673643227
2013-06-05,993.694195548102
2013-06-06,993.694195548102
2013-06-07,967.8406648298047
2013-06-10,962.4986811010734
2013-06-11,948.1331638397013
2013-06-12,942.250976080258
2013-06-13,926.2118767088772
2013-06-14,937.0140479479855
2013-06-17,934.629412964602
2013-06-18,941.0938733129148
2013-06-19,934.5116520491401
2013-06-20,902.5377577791288
2013-06-21,883.6049698163184
2013-06-24,867.3004308605788
2013-06-25,861.7420331034573
2013-06-26,865.7927262052984
2013-06-27,898.7400089418455
2013-06-28,918.2179801065697
2013-07-01,921.4681292976948
2013-07-02,918.1545611597647
2013-07-03,894.7031706420235
2013-07-04,903.7601458408336
2013-07-05,894.3292634975315
2013-07-08,877.4466863075844
2013-07-09,892.6389774570811
2013-07-10,895.667851762575
2013-07-11,937.6247431519677
2013-07-12,930.6102466411523
2013-07-15,935.9593917258408
2013-07-16,933.9866564176152
2013-07-17,942.1515682892901
2013-07-18,929.4689083445987
2013-07-19,928.9633264538094
2013-07-22,934.7891634937621
2013-07-23,950.9483720144364
2013-07-24,959.4918590745111
2013-07-25,956.2191020196957
2013-07-26,960.6351937694656
2013-07-29,955.6211969093816
2013-07-30,962.5446828012927
2013-07-31,952.0860080423774
2013-08-01,954.2835431790406
2013-08-02,956.2119995348645
2013-08-05,960.6252837588909
2013-08-06,954.0962469551015
2013-08-07,934.9997407763688
2013-08-08,941.809176021432
2013-08-09,942.3886095754948
2013-08-12,944.049711204678
2013-08-13,962.258436133707
2013-08-14,966.0496795301834
2013-08-15,966.0496795301834
2013-08-16,968.6361472811233
2013-08-19,965.1117954960494
2013-08-20,946.6337951652389
2013-08-21,939.4955153506714
2013-08-22,928.1260908261993
2013-08-23,945.3982299683928
2013-08-26,958.3053673914415
2013-08-27,955.303586189977
2013-08-28,955.3341167598807
2013-08-29,977.4207645365605
2013-08-30,988.1382928208886
2013-09-02,993.7211791932173
2013-09-03,998.222875616201
2013-09-04,1002.6789622880107
2013-09-05,1009.2831373963247
2013-09-06,1016.8196441722923
2013-09-09,1034.4942110224927
2013-09-10,1050.0117860505122
2013-09-11,1052.1475363042855
2013-09-12,1051.6713155887148
2013-09-13,1043.8372603327846
2013-09-16,1062.0521455897174
2013-09-17,1054.0750205955578
2013-09-18,1054.0750205955578
2013-09-19,1054.0750205955578
2013-09-20,1054.0750205955578
2013-09-23,1065.98508244765
2013-09-24,1066.6649012242017
2013-09-25,1056.3961799944511
2013-09-26,1062.6570257836986
2013-09-27,1065.192927813482
2013-09-30,1055.0499140603874
2013-10-01,1058.5947943557526
2013-10-02,1061.4435250797328
2013-10-03,1061.4435250797328
2013-10-04,1065.241628645407
2013-10-07,1064.7310340275953
2013-10-08,1068.870654766963
2013-10-09,1068.870654766963
2013-10-10,1069.874954536864
2013-10-11,1086.097758538205
2013-10-14,1084.5821235576504
2013-10-15,1103.158792496429
2013-10-16,1100.3323897596201
2013-10-17,1109.3193975496633
2013-10-18,1118.4877952801144
2013-10-21,1116.365655311697
2013-10-22,1117.0436632219198
2013-10-23,1108.6474358477321
2013-10-24,1108.2398261808796
2013-10-25,1100.5282636139514
2013-10-28,1112.3898302917032
2013-10-29,1115.211394980251
2013-10-30,1121.7709131648514
2013-10-31,1102.1675502852245
2013-11-01,1109.5233355707844
2013-11-04,1099.1959233361986
2013-11-05,1095.3071819740628
2013-11-06,1094.4110823157823
2013-11-07,1088.9368382725938
2013-11-08,1072.1560010284454
2013-11-11,1064.6693278181529
2013-11-12,1077.8688548504037
2013-11-13,1054.8563716828385
2013-11-14,1062.0575031438839
2013-11-15,1090.4137976492477
2013-11-18,1101.5194245310022
2013-11-19,1115.259109530408
2013-11-20,1102.3628335599155
2013-11-21,1083.1446446989373
2013-11-22,1091.5745373176048
2013-11-25,1095.833729737083
2013-11-26,1101.5004835249272
2013-11-27,1103.1758404678135
2013-11-28,1113.4645148402662
2013-11-29,1115.9270627648264
2013-12-02,1109.541795052541
2013-12-03,1094.4269653210151
2013-12-04,1081.181231568403
2013-12-05,1081.0415798382219
