Date,CANADA SMALL VALUE
1998-05-29,302.4985134447366
1998-06-01,298.8787831435256
1998-06-02,297.6576748329688
1998-06-03,297.4788953487212
1998-06-04,295.47642263751425
1998-06-05,294.175768662425
1998-06-08,295.5012868117343
1998-06-09,295.52030760716036
1998-06-10,291.8546180246127
1998-06-11,287.2734254386164
1998-06-12,283.81588003150415
1998-06-15,278.7903911643667
1998-06-16,278.28476509619134
1998-06-17,281.6183611139437
1998-06-18,280.876521415293
1998-06-19,280.5304589168252
1998-06-22,278.96082427589596
1998-06-23,280.0924708091202
1998-06-24,280.4586114398179
1998-06-25,283.3695164761928
1998-06-26,283.7320169891985
1998-06-29,283.815507065452
1998-06-30,282.76549981725583
1998-07-01,283.4981034294887
1998-07-02,283.4658573115904
1998-07-03,284.152993553326
1998-07-06,284.49902560734796
1998-07-07,285.2018806883344
1998-07-08,283.35292887830485
1998-07-09,282.4322124103161
1998-07-10,280.2728474418002
1998-07-13,279.58583994810243
1998-07-14,278.36042013452754
1998-07-15,278.6682263754022
1998-07-16,277.8410125563386
1998-07-17,277.6116807130043
1998-07-20,277.3695852182558
1998-07-21,276.7087918594186
1998-07-22,274.168149886778
1998-07-23,271.4555288884776
1998-07-24,270.06544888436906
1998-07-27,266.31119492003853
1998-07-28,264.59481804062887
1998-07-29,263.6520219276918
1998-07-30,261.9149832671046
1998-07-31,258.98094996825995
1998-08-03,257.73578852123865
1998-08-04,253.02371909090837
1998-08-05,250.3545530027154
1998-08-06,247.95733309631586
1998-08-07,248.15332261395093
1998-08-10,244.90107647026366
1998-08-11,237.63088079079682
1998-08-12,242.19631972745097
1998-08-13,238.06834824294512
1998-08-14,237.2511678197638
1998-08-17,235.77282136270586
1998-08-18,236.74871192652054
1998-08-19,236.50331014108852
1998-08-20,234.2954236589238
1998-08-21,229.93550105069934
1998-08-24,227.00082703197742
1998-08-25,226.44534874841474
1998-08-26,222.06130718694675
1998-08-27,211.41043230809518
1998-08-28,208.5024517098347
1998-08-31,203.1071324738091
1998-09-01,203.53087186151566
1998-09-02,208.50496921357433
1998-09-03,211.7210985782157
1998-09-04,215.95958231497593
1998-09-07,217.4028767651931
1998-09-08,220.20862298768077
1998-09-09,218.35612861921766
1998-09-10,219.16297200303526
1998-09-11,220.29000105678648
1998-09-14,219.65688436382095
1998-09-15,221.3582881778129
1998-09-16,221.90895345595686
1998-09-17,217.98691901860585
1998-09-18,218.00291152204676
1998-09-21,217.22093980293258
1998-09-22,217.06942500953116
1998-09-23,218.7926034114794
1998-09-24,222.7393911573336
1998-09-25,223.05617095832682
1998-09-28,223.43886431165433
1998-09-29,222.38820806487462
1998-09-30,215.1763706772923
1998-10-01,214.34905901179434
1998-10-02,212.0242581987745
1998-10-05,207.2284272816602
1998-10-06,207.11262524179477
1998-10-07,211.31636988552455
1998-10-08,205.68971664878055
1998-10-09,203.71238862812405
1998-10-12,205.00913423275418
1998-10-13,204.505987498627
1998-10-14,205.31284323265945
1998-10-15,208.51120092409295
1998-10-16,210.94427476786734
1998-10-19,208.49454106238016
1998-10-20,211.13460580377262
1998-10-21,209.9349683985441
1998-10-22,209.32790957187422
1998-10-23,209.938796251465
1998-10-26,211.75848030420508
1998-10-27,215.12587033525696
1998-10-28,215.58305210059947
1998-10-29,216.58124217738154
1998-10-30,218.36640508588906
1998-11-02,223.2160403574035
1998-11-03,226.25762315802527
1998-11-04,229.04609156726556
1998-11-05,232.38229223745435
1998-11-06,231.70164065535113
1998-11-09,229.3500704016995
1998-11-10,227.08112821416353
1998-11-11,226.42600923496875
1998-11-12,226.23991690976695
1998-11-13,226.09086718030022
1998-11-16,225.84330795177334
1998-11-17,225.90847995874788
1998-11-18,227.48656748926118
1998-11-19,227.23404243320618
1998-11-20,227.0069803269377
1998-11-23,227.58124254802237
1998-11-24,226.2412256817228
1998-11-25,225.2260291685143
1998-11-26,227.79187302315967
1998-11-27,224.76647207905577
1998-11-30,220.27428363911307
1998-12-01,221.0569460453512
1998-12-02,220.16474004483445
1998-12-03,218.73905610357644
1998-12-04,221.17441590471003
1998-12-07,220.32383282150744
1998-12-08,219.39118215406933
1998-12-09,219.51096415881324
1998-12-10,218.39471934797672
1998-12-11,218.45079841876927
1998-12-14,217.2323432604075
1998-12-15,217.7707506765457
1998-12-16,219.1651379434574
1998-12-17,218.58963891468517
1998-12-18,220.12446488593085
1998-12-21,220.2599467686135
1998-12-22,219.68874657211683
1998-12-23,219.68971536433747
1998-12-24,220.88047984157203
1998-12-25,220.88047984157203
1998-12-28,220.73090953283355
1998-12-29,220.62178455096085
1998-12-30,222.11165476136162
1998-12-31,227.12602091833392
1999-01-01,227.12602091833392
1999-01-04,229.87704933546433
1999-01-05,232.43553992310277
1999-01-06,236.06825083612978
1999-01-07,238.1819996455212
1999-01-08,239.69159864084588
1999-01-11,242.36432203389188
1999-01-12,239.36961176505946
1999-01-13,233.08121014560226
1999-01-14,232.73690611146284
1999-01-15,233.2578323682863
1999-01-18,232.92699583646444
1999-01-19,231.63237604208786
1999-01-20,230.74605234859507
1999-01-21,230.48725509633437
1999-01-22,229.43715217841552
1999-01-25,229.31396384779939
1999-01-26,227.46000818436585
1999-01-27,224.18735105720666
1999-01-28,224.40341421530158
1999-01-29,224.90450948000026
1999-02-01,226.96775721704185
1999-02-02,225.4218253078411
1999-02-03,225.2878480611908
1999-02-04,227.0850286365243
1999-02-05,227.59972778346028
1999-02-08,227.20187293038427
1999-02-09,223.670646255389
1999-02-10,222.95962594432726
1999-02-11,224.00866118015074
1999-02-12,223.47691252105534
1999-02-15,223.1571533704516
1999-02-16,220.3774679606097
1999-02-17,218.8550104515005
1999-02-18,220.89323022905901
1999-02-19,221.04389311369897
1999-02-22,221.44997563545076
1999-02-23,219.42690379880872
1999-02-24,216.88355558666413
1999-02-25,215.57153626935042
1999-02-26,214.89981474924673
1999-03-01,213.5792356976475
1999-03-02,213.7372001514745
1999-03-03,212.26918539970993
1999-03-04,213.23566708633575
1999-03-05,216.1720313570441
1999-03-08,217.59976277023506
1999-03-09,217.10777732447858
1999-03-10,217.84137889401774
1999-03-11,218.85927801607858
1999-03-12,219.31447942983345
1999-03-15,219.37668783543717
1999-03-16,220.67408635841633
1999-03-17,221.90330751047784
1999-03-18,224.2490912262611
1999-03-19,224.38708828786812
1999-03-22,224.52614559214976
1999-03-23,222.00178654324966
1999-03-24,222.778640389521
1999-03-25,222.1041241233531
1999-03-26,223.0460286613637
1999-03-29,224.00853269155252
1999-03-30,222.51775451138377
1999-03-31,222.93026061899636
1999-04-01,223.36295034987705
1999-04-02,224.42227220781362
1999-04-05,225.11857695258428
1999-04-06,223.55958978079858
1999-04-07,222.9408432509889
1999-04-08,224.72721926669198
1999-04-09,224.27610241002841
1999-04-12,224.81772922131623
1999-04-13,225.52099067712155
1999-04-14,225.5687844419531
1999-04-15,229.28821974770906
1999-04-16,233.26585336302932
1999-04-19,235.78283887922336
1999-04-20,233.06394893600304
1999-04-21,234.19315310855734
1999-04-22,235.8370111586293
1999-04-23,238.0602580696313
1999-04-26,236.73020242175573
1999-04-27,237.7440129015792
1999-04-28,241.3769292530183
1999-04-29,245.61701878230767
1999-04-30,248.57562363993156
1999-05-03,249.8964313776055
1999-05-04,248.95950231751775
1999-05-05,248.6612627190904
1999-05-06,250.81634067924418
1999-05-07,248.46001326294865
1999-05-10,248.1123954407553
1999-05-11,248.3906798441715
1999-05-12,246.18082012842098
1999-05-13,247.0774612728915
1999-05-14,246.2005693624043
1999-05-17,245.8805816704519
1999-05-18,245.8024964456072
1999-05-19,246.07448150827253
1999-05-20,245.50600344098595
1999-05-21,247.16452935894887
1999-05-24,247.79123247224038
1999-05-25,244.59496149181544
1999-05-26,241.9103379896181
1999-05-27,240.21994926684755
1999-05-28,241.48838800538198
1999-05-31,241.71386054094532
1999-06-01,239.71821436911256
1999-06-02,240.2114651106668
1999-06-03,241.72298864813774
1999-06-04,244.01084436879407
1999-06-07,245.33866539669475
1999-06-08,245.38671661330574
1999-06-09,245.21262825496774
1999-06-10,247.0648671561665
1999-06-11,246.62102766402708
1999-06-14,246.40141099607615
1999-06-15,246.58688353828558
1999-06-16,246.87767017252165
1999-06-17,246.3075596842953
1999-06-18,246.81345950805954
1999-06-21,245.8309642706598
1999-06-22,246.77828689578743
1999-06-23,246.75590702154813
1999-06-24,246.42300851782875
1999-06-25,247.95656513046254
1999-06-28,248.15089851890355
1999-06-29,246.14244890926736
1999-06-30,246.78292970774615
1999-07-01,248.68249011770232
1999-07-02,251.6661631926421
1999-07-05,254.01270132655912
1999-07-06,253.5058597024142
1999-07-07,253.28106121809486
1999-07-08,253.6121978495699
1999-07-09,254.5157204338053
1999-07-12,252.68924395260967
1999-07-13,251.93959610850837
1999-07-14,254.30783424305062
1999-07-15,256.4119562753648
1999-07-16,258.0208707213361
1999-07-19,255.54103625257375
1999-07-20,252.7466395697668
1999-07-21,249.21211639735128
1999-07-22,248.18855582484147
1999-07-23,247.92241211885192
1999-07-26,245.68028846572244
1999-07-27,245.8424518472524
1999-07-28,247.0762725761613
1999-07-29,245.8994402444275
1999-07-30,247.53523994720726
1999-08-02,246.25631611685927
