Date,SINGAPORE SMALL VALUE
1994-05-31,224.12320091737152
1994-06-30,219.30030995830884
1994-07-29,224.5156325685751
1994-08-31,237.49618178748204
1994-09-30,240.39755617757822
1994-10-31,249.6999951780498
1994-11-30,231.87007468137398
1994-12-30,229.17271591145808
1995-01-31,210.90441987929918
1995-02-28,217.83079666816622
1995-03-31,216.9592910656962
1995-04-28,212.70554842802406
1995-05-31,219.89337190921438
1995-06-30,219.35556183514203
1995-07-31,237.21894452339663
1995-08-31,240.96374783563067
1995-09-29,236.83519711190527
1995-10-31,225.70769336287324
1995-11-30,225.70349221058618
1995-12-29,235.37631584030623
1996-01-31,250.3500443713722
1996-02-29,251.15916567634036
1996-03-29,246.62361313740314
1996-04-30,245.96330373776647
1996-05-31,241.51170316696124
1996-06-28,239.8470375897207
1996-07-31,221.89730378562257
1996-08-30,228.97442114432724
1996-09-30,227.97063708624083
1996-10-31,224.04520607407196
1996-11-29,237.14346349043132
1996-12-31,239.48390913814814
1997-01-01,239.45635181542056
1997-01-02,239.42316299083535
1997-01-03,238.1694774699577
1997-01-06,239.94373155040515
1997-01-07,240.84944906680136
1997-01-08,242.4491776118012
1997-01-09,243.05207495415436
1997-01-10,243.89392732689626
1997-01-13,242.9111474582899
1997-01-14,241.9626945952935
1997-01-15,242.33734052401803
1997-01-16,242.84606505548177
1997-01-17,243.95419710651186
1997-01-20,245.6828094753294
1997-01-21,245.8964444712578
1997-01-22,247.02239908931503
1997-01-23,246.0388455705158
1997-01-24,245.26096356528532
1997-01-27,244.50696986397327
1997-01-28,244.41439126834615
1997-01-29,244.4095085127479
1997-01-30,244.88736219966913
1997-01-31,246.5116239236178
1997-02-03,247.04112964206786
1997-02-04,247.00715922898226
1997-02-05,247.7252073589909
1997-02-06,248.58771578350917
1997-02-07,248.28284088826945
1997-02-10,249.30212088946493
1997-02-11,253.5980840527523
1997-02-12,257.2902469838543
1997-02-13,261.4146641258512
1997-02-14,261.91616680799814
1997-02-17,264.6937548416788
1997-02-18,260.907905503142
1997-02-19,261.2756215853517
1997-02-20,262.1007893667357
1997-02-21,262.3923723721852
1997-02-24,261.3366980641979
1997-02-25,260.6255015326509
1997-02-26,259.6454574383342
1997-02-27,255.57483275130167
1997-02-28,257.5935118652543
1997-03-03,256.25986462012963
1997-03-04,254.56600951211217
1997-03-05,255.76383344545857
1997-03-06,254.11203423829897
1997-03-07,252.99458386433608
1997-03-10,253.35574153865275
1997-03-11,254.69961168895614
1997-03-12,253.74344705282735
1997-03-13,251.707947264251
1997-03-14,250.0027749053091
1997-03-17,249.3318426950632
1997-03-18,247.51331877820684
1997-03-19,247.59960782794226
1997-03-20,242.6276423537098
1997-03-21,240.81295900523216
1997-03-24,242.44582735318752
1997-03-25,243.02947652324096
1997-03-26,242.43511249143432
1997-03-27,242.32764140617286
1997-03-28,242.08582895701733
1997-03-31,240.26042975801693
1997-04-01,239.8302899828838
1997-04-02,239.85024166908065
1997-04-03,239.14238544082133
1997-04-04,237.4737488111844
1997-04-07,238.05404703837456
1997-04-08,239.70949431324286
1997-04-09,240.3771542628782
1997-04-10,241.27577914020918
1997-04-11,239.54071491437415
1997-04-14,236.66677604138522
1997-04-15,235.70600873972674
1997-04-16,237.70345927675763
1997-04-17,237.8183850242963
