Date,FINLAND SMALL VALUE
1994-05-31,98.18566143882055
1994-06-30,87.68691569445922
1994-07-29,97.23589002346239
1994-08-31,97.59814060281789
1994-09-30,97.08708131478281
1994-10-31,103.64525078276952
1994-11-30,90.5448112353167
1994-12-30,91.22578316559205
1995-01-31,89.7988809149611
1995-02-28,92.17460437749281
1995-03-31,92.05438181279015
1995-04-28,104.07536221125535
1995-05-31,104.36747681477786
1995-06-30,97.43302520157803
1995-07-31,101.71310594886975
1995-08-31,100.75719875385556
1995-09-29,104.15844946217517
1995-10-31,97.11503765302582
1995-11-30,97.17728094923055
1995-12-29,96.84196643909323
1996-01-31,97.42051037280943
1996-02-29,111.68988255842179
1996-03-29,109.3425139802473
1996-04-30,112.6585190354793
1996-05-31,122.0841091470054
1996-06-28,123.72381523809382
1996-07-31,129.09230886409696
1996-08-30,137.37968022021872
1996-09-30,137.10938313894354
1996-10-31,138.48168797425012
1996-11-29,144.45367989991053
1996-12-31,148.76942233734374
1997-01-01,148.76942233734374
1997-01-02,148.352806330419
1997-01-03,148.2100331629921
1997-01-06,147.26140561042487
1997-01-07,150.0502064846888
1997-01-08,152.6307651673467
1997-01-09,151.9286428476506
1997-01-10,149.6643492767877
1997-01-13,151.26147793627882
1997-01-14,151.17322892504907
1997-01-15,151.98823099665978
1997-01-16,153.2965973317003
1997-01-17,151.15283517714312
1997-01-20,151.41963327210803
1997-01-21,150.2789159261273
1997-01-22,150.53781198937978
1997-01-23,149.25954735574823
1997-01-24,148.81696747061363
1997-01-27,147.49180274316512
1997-01-28,147.36742148345485
1997-01-29,146.90038593235047
1997-01-30,148.74650522212022
1997-01-31,149.82721872888698
1997-02-03,149.80901842236872
1997-02-04,150.42334180709025
1997-02-05,151.19983499893783
1997-02-06,151.60365294366594
1997-02-07,151.75693692122584
1997-02-10,153.39935726264585
1997-02-11,153.8578266099767
1997-02-12,154.74744372239994
1997-02-13,154.64520404337514
1997-02-14,154.9685594580331
1997-02-17,153.93255106490733
1997-02-18,154.454693575294
1997-02-19,154.43961541582786
1997-02-20,155.65131895937233
1997-02-21,155.28524118915814
1997-02-24,156.22979702339612
1997-02-25,157.68735456962725
1997-02-26,158.15311580642532
1997-02-27,158.56698299867176
1997-02-28,159.15950870877742
1997-03-03,156.70288450882347
1997-03-04,156.91353227642438
1997-03-05,156.99242148893043
1997-03-06,158.1588370207703
1997-03-07,158.1750378521121
1997-03-10,159.97109787089244
1997-03-11,160.93401372179656
1997-03-12,160.07835084517336
1997-03-13,160.58391383992827
1997-03-14,160.67019672527326
1997-03-17,159.91020709265243
1997-03-18,158.65223869317148
1997-03-19,158.64294706834053
1997-03-20,155.90460202794657
1997-03-21,158.33376326494775
1997-03-24,158.80895448537623
1997-03-25,159.81042039097096
1997-03-26,161.47884025739594
1997-03-27,162.7434335847129
1997-03-28,162.85298328230243
1997-03-31,163.6388469540902
1997-04-01,160.3534011281869
1997-04-02,158.43539641474158
1997-04-03,157.06494316406736
1997-04-04,157.7445886153309
1997-04-07,155.29870376541706
1997-04-08,155.66844465286255
1997-04-09,156.43627759021894
1997-04-10,156.48674230304357
1997-04-11,154.9811889033656
1997-04-14,154.48833619171373
1997-04-15,153.96905157614103
1997-04-16,154.62758111123392
1997-04-17,154.2754491784297
1997-04-18,154.23581660176214
1997-04-21,156.35077134640628
1997-04-22,155.22801274969845
1997-04-23,157.75496474474357
1997-04-24,158.40686531254303
1997-04-25,157.55774543929903
1997-04-28,157.59243813933892
1997-04-29,157.25635138079465
1997-04-30,158.2908544982754
1997-05-01,159.59896733493366
1997-05-02,159.6674266391366
1997-05-05,160.27668575455166
1997-05-06,163.09497344723263
1997-05-07,162.18170542791137
1997-05-08,162.77424044115247
1997-05-09,163.6864642896275
1997-05-12,162.22174294963085
1997-05-13,164.0160898130042
1997-05-14,164.6916779744676
1997-05-15,165.29649397224867
1997-05-16,166.11740327309775
1997-05-19,164.48344195850913
1997-05-20,165.422452097185
1997-05-21,166.54597187160547
1997-05-22,166.7730464840257
1997-05-23,167.79440636306336
1997-05-26,167.87192323756955
1997-05-27,166.6817320340992
1997-05-28,166.0009809679066
1997-05-29,166.24992505414693
1997-05-30,164.5250326843919
1997-06-02,164.53634948583422
1997-06-03,166.07189211902
1997-06-04,165.2117572478739
1997-06-05,166.34982288972847
1997-06-06,165.6261163302566
1997-06-09,167.75045600379417
1997-06-10,167.0387338475569
1997-06-11,167.61226221445048
1997-06-12,166.39961283881448
1997-06-13,165.80472717980948
1997-06-16,165.88054265675518
1997-06-17,165.64659335437497
1997-06-18,165.3861828134897
1997-06-19,167.14562636349294
1997-06-20,166.37416766654349
1997-06-23,168.53247003374406
1997-06-24,167.60823575161496
1997-06-25,166.85234361477674
1997-06-26,166.81989856536558
1997-06-27,166.0253634404711
1997-06-30,166.5690707532875
1997-07-01,168.35373462910061
1997-07-02,167.47695496688522
1997-07-03,168.5879802165802
1997-07-04,169.0913292676192
1997-07-07,170.9326175430253
1997-07-08,168.78172787477052
1997-07-09,168.71235926375672
1997-07-10,169.56931893566016
1997-07-11,169.33839957908418
1997-07-14,168.14008528356993
1997-07-15,167.59416902732977
1997-07-16,169.34294684561357
1997-07-17,171.71915059452613
1997-07-18,170.70109683835233
1997-07-21,169.18463660885564
1997-07-22,168.961543462216
1997-07-23,170.41424610246168
1997-07-24,169.57141310128222
1997-07-25,168.22690731319625
1997-07-28,167.6269045557428
1997-07-29,169.51540130727858
1997-07-30,168.7677522344724
1997-07-31,168.36068361178113
1997-08-01,165.80972294210167
