Date,USA SMALL VALUE
1994-05-31,191.71387557905723
1994-06-30,189.3593533842747
1994-07-29,193.14200566121468
1994-08-31,200.01210546997038
1994-09-30,198.07108645181086
1994-10-31,194.82364337456897
1994-11-30,187.47754203246433
1994-12-30,192.54924603852376
1995-01-31,192.1243996866231
1995-02-28,199.4260889731577
1995-03-31,200.68302746975942
1995-04-28,205.26210628337583
1995-05-31,209.9924034207544
1995-06-30,217.0112391951738
1995-07-31,226.2825644971891
1995-08-31,232.66319797812983
1995-09-29,236.77839183387678
1995-10-31,228.12094697147535
1995-11-30,236.9072555810658
1995-12-29,243.9972018109883
1996-01-31,245.47654290186898
1996-02-29,250.50503760436345
1996-03-29,255.00108479557787
1996-04-30,261.7332751176007
1996-05-31,268.9404412655427
1996-06-28,265.36039148575674
1996-07-31,251.01436044881595
1996-08-30,262.92589930405126
1996-09-30,271.3157987356195
1996-10-31,273.5834113470546
1996-11-29,287.11464070933204
1996-12-31,295.8915586702543
1997-01-01,295.8915586702543
1997-01-02,293.3038374606446
1997-01-03,295.1135077516797
1997-01-06,295.3722556216513
1997-01-07,296.221810395084
1997-01-08,296.53656128689374
1997-01-09,297.5469402050391
1997-01-10,297.64513215657007
1997-01-13,298.10261163548824
1997-01-14,299.5412869759912
1997-01-15,299.55460035249763
1997-01-16,299.1866434059385
1997-01-17,300.59614369731344
1997-01-20,301.38719877430293
1997-01-21,301.8639642930847
1997-01-22,302.18273729063196
1997-01-23,302.2550776118223
1997-01-24,300.89355421951825
1997-01-27,299.76459750932696
1997-01-28,300.4393492933357
1997-01-29,300.587696118673
1997-01-30,302.13533569654624
1997-01-31,303.0591237319082
1997-02-03,304.0760451730142
1997-02-04,303.3832477740711
1997-02-05,301.9032897384597
1997-02-06,302.1293675249037
1997-02-07,303.16260074824
1997-02-10,302.55774846242304
1997-02-11,302.46055414988155
1997-02-12,303.58786450294326
1997-02-13,305.8168154844428
1997-02-14,306.50613683067206
1997-02-17,306.50613683067206
1997-02-18,307.82207791906944
1997-02-19,308.55317471491384
1997-02-20,307.27144126739705
1997-02-21,307.3513629606398
1997-02-24,307.75533384382356
1997-02-25,308.44557854279884
1997-02-26,306.9384188565919
1997-02-27,305.75824539986024
1997-02-28,304.97095278245484
1997-03-03,305.85194071327055
1997-03-04,306.60748100991276
1997-03-05,307.9389655998062
1997-03-06,308.1514916999369
1997-03-07,309.71015117122124
1997-03-10,311.39009713269945
1997-03-11,312.18040578200674
1997-03-12,310.58270553742807
1997-03-13,307.45987450662597
1997-03-14,307.83449529779426
1997-03-17,306.3482475641398
1997-03-18,305.05142254350454
1997-03-19,303.70571957842003
1997-03-20,303.65606751607345
1997-03-21,302.90062939926355
1997-03-24,301.86143549339494
1997-03-25,302.52752425923364
1997-03-26,303.0917476018727
1997-03-27,300.4373784969671
1997-03-28,300.4373784969671
1997-03-31,295.8402437223198
1997-04-01,295.0050155256353
1997-04-02,292.99880216293275
1997-04-03,291.5489570812471
1997-04-04,293.4120033026014
1997-04-07,296.12340446942153
1997-04-08,296.75729045384657
1997-04-09,297.6900735853306
1997-04-10,297.3642159994814
1997-04-11,293.05180094985616
1997-04-14,292.3237429847104
1997-04-15,294.4795874450963
