Date,AC PACIFIC VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,988.9188505184146
1999-01-05,990.9183176809227
1999-01-06,1010.6363579363901
1999-01-07,1045.295629815142
1999-01-08,1042.146632949647
1999-01-11,1057.3276410239012
1999-01-12,1038.2590737369069
1999-01-13,1005.1824584747732
1999-01-14,1004.8321269555331
1999-01-15,1016.6494922024302
1999-01-18,1022.5908003102974
1999-01-19,1021.6649921882916
1999-01-20,1037.1905086977697
1999-01-21,1034.1757990403391
1999-01-22,1009.6986156980319
1999-01-25,1004.6064099663013
1999-01-26,1010.8123113320471
1999-01-27,1023.6150075424187
1999-01-28,1019.4467876759173
1999-01-29,1036.8147122140385
1999-02-01,1046.7622490609176
1999-02-02,1050.2683973014027
1999-02-03,1038.521225502065
1999-02-04,1038.5499490136115
1999-02-05,1027.4032621685992
1999-02-08,1028.0080699254863
1999-02-09,1009.1387416996222
1999-02-10,1001.3928618867376
1999-02-11,1008.4759347903554
1999-02-12,1025.0543818670405
1999-02-15,1025.4186195219525
1999-02-16,1018.4559378955337
1999-02-17,1007.1563029246696
1999-02-18,997.3494323996263
1999-02-19,999.6256245180833
1999-02-22,1014.5884918083995
1999-02-23,1020.7125955505953
1999-02-24,1021.2186618856084
1999-02-25,1023.2249400031292
1999-02-26,1040.7834414029408
1999-03-01,1038.6121471713582
1999-03-02,1024.4968201923953
1999-03-03,1024.4060335576905
1999-03-04,1022.3380193801103
1999-03-05,1056.6790214834034
1999-03-08,1066.0753362146068
1999-03-09,1081.8085652868174
1999-03-10,1105.0055193825056
1999-03-11,1122.6173946963374
1999-03-12,1122.5628257664146
1999-03-15,1145.8304661520856
1999-03-16,1169.7750312893172
1999-03-17,1167.8732684954389
1999-03-18,1147.078516238577
1999-03-19,1191.5682428729863
1999-03-22,1191.5339958985112
1999-03-23,1190.0543210755015
1999-03-24,1163.3151077283212
1999-03-25,1182.0670669910535
1999-03-26,1197.8038975800819
1999-03-29,1195.1981196373938
1999-03-30,1192.6476294922886
1999-03-31,1203.7015943491617
1999-04-01,1225.4404794628372
1999-04-02,1227.3102296686322
1999-04-05,1228.3898165127614
1999-04-06,1250.0871246915472
1999-04-07,1253.8295594090785
1999-04-08,1267.3410319241473
1999-04-09,1276.6053636960257
1999-04-12,1255.1297072347068
1999-04-13,1276.17789421626
1999-04-14,1292.7506365272927
1999-04-15,1306.3067970736959
1999-04-16,1337.0538719068313
1999-04-19,1367.4532271046671
1999-04-20,1351.5672006211512
1999-04-21,1330.301734263906
1999-04-22,1340.3362420214928
1999-04-23,1352.5373023133259
1999-04-26,1377.022289069216
1999-04-27,1382.709439386069
1999-04-28,1385.4180875677189
1999-04-29,1381.1569105178157
1999-04-30,1377.4471833807859
1999-05-03,1373.537156229786
1999-05-04,1374.8224664341237
1999-05-05,1366.5227229853824
1999-05-06,1400.4115484803594
1999-05-07,1383.1446369955884
1999-05-10,1384.1450870735487
1999-05-11,1369.223600542821
1999-05-12,1377.296462560398
1999-05-13,1364.2601274632307
1999-05-14,1344.3689650665553
1999-05-17,1309.786150555749
1999-05-18,1320.9923805947462
1999-05-19,1291.5716188775768
1999-05-20,1290.2457331132355
1999-05-21,1304.9379154277592
1999-05-24,1306.2827315461282
1999-05-25,1299.3312455399544
1999-05-26,1324.2109931794275
1999-05-27,1327.51513454926
1999-05-28,1328.6935306050007
1999-05-31,1326.0490714686543
1999-06-01,1349.516900110529
1999-06-02,1372.9344089521933
1999-06-03,1362.2176550698634
1999-06-04,1371.6067395870668
1999-06-07,1400.3983582951253
1999-06-08,1406.1852552578912
1999-06-09,1410.7003262204473
1999-06-10,1431.0722971711002
1999-06-11,1448.9849776177443
1999-06-14,1435.1193060816456
1999-06-15,1435.081337987911
1999-06-16,1455.7207559685958
1999-06-17,1478.5854393012075
1999-06-18,1458.69606508223
1999-06-21,1483.6399108055436
1999-06-22,1499.5882169719473
1999-06-23,1484.6927471232284
1999-06-24,1477.0888821220597
1999-06-25,1459.5299346563097
1999-06-28,1486.247171887841
1999-06-29,1500.6591335569774
1999-06-30,1490.169665115383
1999-07-01,1527.77772742588
1999-07-02,1548.7607770619927
1999-07-05,1559.4543455207927
1999-07-06,1552.941467048742
1999-07-07,1553.803228669688
1999-07-08,1553.6577173392375
1999-07-09,1556.094548464493
1999-07-12,1568.5900360951919
1999-07-13,1561.6047545510464
1999-07-14,1560.0556785764154
1999-07-15,1571.5241046221358
1999-07-16,1565.8289865682998
1999-07-19,1590.7992515435815
1999-07-20,1554.9023227031212
1999-07-21,1529.0355794390273
1999-07-22,1507.3572258464649
1999-07-23,1484.8674600549562
1999-07-26,1447.6993792937033
1999-07-27,1459.4653922999157
1999-07-28,1483.9060718844523
1999-07-29,1498.931838301316
1999-07-30,1510.097899467192
1999-08-02,1505.4646453067196
