Date,AC ASIA ex JAPAN VALUE WEIGHTED
1998-12-31,223.93001987367262
1999-01-01,223.93001987367262
1999-01-04,226.84571122586874
1999-01-05,230.63937757318288
1999-01-06,239.77852647590876
1999-01-07,251.75871216813334
1999-01-08,252.68027146472838
1999-01-11,254.21223693335145
1999-01-12,250.89101199040724
1999-01-13,241.26772267383052
1999-01-14,233.38360075096585
1999-01-15,238.34273083758848
1999-01-18,242.42371880212346
1999-01-19,240.2342184980916
1999-01-20,241.4511730801716
1999-01-21,233.80379019917123
1999-01-22,224.17798515563814
1999-01-25,218.1586150057624
1999-01-26,218.84419528175576
1999-01-27,227.56803019134787
1999-01-28,225.3973625712713
1999-01-29,226.96806887302864
1999-02-01,228.2746147790172
1999-02-02,224.53484397815183
1999-02-03,221.93609113123787
1999-02-04,220.94177734966564
1999-02-05,218.350716408858
1999-02-08,216.90614345368036
1999-02-09,212.71345432379206
1999-02-10,211.10805499671645
1999-02-11,213.73951834476213
1999-02-12,220.74596257208063
1999-02-15,221.6974977408535
1999-02-16,222.97557672658772
1999-02-17,221.73501462888143
1999-02-18,218.91018167585997
1999-02-19,216.92834194252626
1999-02-22,217.41894112589515
1999-02-23,219.10169874632072
1999-02-24,221.51117454659934
1999-02-25,219.34935743259211
1999-02-26,225.14249063768392
1999-03-01,228.99540569125168
1999-03-02,229.62324866054223
1999-03-03,230.39494125384476
1999-03-04,230.66138828846158
1999-03-05,233.08598347118112
1999-03-08,238.60981364880317
1999-03-09,240.5089976944294
1999-03-10,240.97467736660204
1999-03-11,243.9937833177331
1999-03-12,244.6154425789282
1999-03-15,246.9132516317046
1999-03-16,249.56991079920016
1999-03-17,246.7765997954533
1999-03-18,242.79161446218768
1999-03-19,252.29449053784035
1999-03-22,254.9503368695447
1999-03-23,255.79550231293248
1999-03-24,251.6061092882772
1999-03-25,253.28593846397567
1999-03-26,255.36534941441454
1999-03-29,253.33739537622478
1999-03-30,258.3323751824545
1999-03-31,258.2621875510953
1999-04-01,262.6549879492554
1999-04-02,266.18515832516573
1999-04-05,266.8216413713929
1999-04-06,269.43094593356636
1999-04-07,274.03394202970543
1999-04-08,275.6466507481009
1999-04-09,281.1704281914119
1999-04-12,278.2847374825943
1999-04-13,282.0546604461378
1999-04-14,282.1141168296643
1999-04-15,290.8142066381217
1999-04-16,301.43986921075157
1999-04-19,316.965239509658
1999-04-20,312.2915994795384
1999-04-21,311.1662700265709
1999-04-22,314.6837223414123
1999-04-23,315.6756922193636
1999-04-26,323.5730571718039
1999-04-27,329.6419094838483
1999-04-28,327.16221601054747
1999-04-29,322.1950230638302
1999-04-30,325.62377939757795
1999-05-03,327.6916715718666
1999-05-04,335.3425444023662
1999-05-05,336.04730727600554
1999-05-06,341.7265161193626
1999-05-07,336.13998400550855
1999-05-10,337.61982421586134
1999-05-11,335.13932921400107
1999-05-12,336.13262284926685
1999-05-13,333.9980057092144
1999-05-14,330.58837367400474
1999-05-17,324.8576891116722
1999-05-18,329.6524034471002
1999-05-19,329.01292519637116
1999-05-20,325.20677906742833
1999-05-21,326.27942588769133
1999-05-24,325.9005752223375
1999-05-25,324.6088677768368
1999-05-26,330.16964171388867
1999-05-27,330.86783855338723
1999-05-28,327.8419229423804
1999-05-31,330.5608565115502
1999-06-01,333.8485556889322
1999-06-02,340.9305948468408
1999-06-03,343.2574284976192
1999-06-04,348.1605199380295
1999-06-07,359.19965052901824
1999-06-08,360.10088971851775
1999-06-09,355.95797963091894
1999-06-10,360.8955885899948
1999-06-11,361.8237297092848
1999-06-14,360.7325162856808
1999-06-15,357.3815285635008
1999-06-16,368.3764047993505
1999-06-17,374.28615385596345
1999-06-18,373.0034896597204
1999-06-21,389.8526050841709
1999-06-22,395.51128046891625
1999-06-23,394.71062675021346
1999-06-24,390.71807986058144
1999-06-25,384.84247562553037
1999-06-28,392.85798524323945
1999-06-29,394.58691210863606
1999-06-30,389.78654817035886
1999-07-01,396.85912236865283
1999-07-02,407.04000125335153
1999-07-05,414.1670606868677
1999-07-06,414.2084050461001
1999-07-07,413.68582492235925
1999-07-08,413.40549502470174
1999-07-09,416.78309093705286
1999-07-12,418.2675067397076
1999-07-13,411.43954008935617
1999-07-14,400.7759071387578
1999-07-15,402.6383439624195
1999-07-16,402.1991439144304
1999-07-19,403.152905212586
1999-07-20,393.0177603275769
1999-07-21,383.900777647048
1999-07-22,382.39567721144505
1999-07-23,369.24942383814135
1999-07-26,354.5816639019143
1999-07-27,362.63739722188774
1999-07-28,369.5205712903826
1999-07-29,371.8682565548765
1999-07-30,368.82491620509467
1999-08-02,369.24807113526543
1999-08-03,372.74834233368045
1999-08-04,369.8239631377869
1999-08-05,358.5113824870082
1999-08-06,356.0774379264783
1999-08-09,358.4689564406286
1999-08-10,355.1432090390532
1999-08-11,349.20846650475175
1999-08-12,354.13246427903573
1999-08-13,351.77615972014104
1999-08-16,358.7495746763033
1999-08-17,356.4067563042496
