Date,ACWI ex USA VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0003342552444
1999-01-04,1011.9384678439072
1999-01-05,1020.4292675802294
1999-01-06,1045.0106064963559
1999-01-07,1048.2333044434047
1999-01-08,1052.5691809079613
1999-01-11,1048.29164176633
1999-01-12,1030.36967535469
1999-01-13,987.515795013781
1999-01-14,985.729989267624
1999-01-15,1004.6452628228353
1999-01-18,1018.1227443416562
1999-01-19,1015.4350813592918
1999-01-20,1027.346340525769
1999-01-21,1017.0673069507747
1999-01-22,993.7872176651481
1999-01-25,993.2808907610769
1999-01-26,996.2435568855356
1999-01-27,1004.4307511289629
1999-01-28,1011.3658059379432
1999-01-29,1022.1375681534355
1999-02-01,1038.597695385394
1999-02-02,1037.722409421027
1999-02-03,1028.5057755171542
1999-02-04,1030.4923210585205
1999-02-05,1025.5392742010547
1999-02-08,1023.7420215785957
1999-02-09,1004.5688152826048
1999-02-10,998.7267349180424
1999-02-11,1011.1001477691484
1999-02-12,1020.762498886556
1999-02-15,1024.136754777814
1999-02-16,1026.5087359916329
1999-02-17,1015.9089773874507
1999-02-18,1013.9564493269842
1999-02-19,1019.3691949645539
1999-02-22,1031.472852222694
1999-02-23,1038.5063048906363
1999-02-24,1043.0784387711565
1999-02-25,1033.601586148333
1999-02-26,1040.3182794115016
1999-03-01,1033.5443396007215
1999-03-02,1031.1087024060978
1999-03-03,1028.614665677884
1999-03-04,1037.3483443690616
1999-03-05,1062.9905341598821
1999-03-08,1064.3585168860193
1999-03-09,1072.123539184913
1999-03-10,1081.3777044846343
1999-03-11,1099.009821552926
1999-03-12,1098.2818077171441
1999-03-15,1105.2478689052195
1999-03-16,1117.5960128713573
1999-03-17,1111.735379692486
1999-03-18,1105.1041919822258
1999-03-19,1128.0549041193178
1999-03-22,1124.9934513376845
1999-03-23,1113.098931883379
1999-03-24,1100.0673712199732
1999-03-25,1118.6193504924092
1999-03-26,1124.6543190399107
1999-03-29,1133.0375462454806
1999-03-30,1130.1798241592403
1999-03-31,1138.0993220097264
1999-04-01,1143.5895163525388
1999-04-02,1145.386165602329
1999-04-05,1149.6017542073691
1999-04-06,1162.797811951431
1999-04-07,1169.0295967177512
1999-04-08,1175.5532283207049
1999-04-09,1182.5853084459252
1999-04-12,1173.8489241200384
1999-04-13,1189.0674955590816
1999-04-14,1195.2475829429152
1999-04-15,1204.0301360877456
1999-04-16,1219.2747814767467
1999-04-19,1241.2487872836919
1999-04-20,1219.5013459564298
1999-04-21,1214.5957202851748
1999-04-22,1224.8943146339122
1999-04-23,1228.0829738236162
1999-04-26,1239.6055014307713
1999-04-27,1250.0995457386755
