Date,AC EUROPE VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.000600603251
1999-01-04,1026.9838052702555
1999-01-05,1038.7633518337802
1999-01-06,1064.5892632081302
1999-01-07,1052.7892352068486
1999-01-08,1058.807024406792
1999-01-11,1045.289581373776
1999-01-12,1031.4333769367863
1999-01-13,989.0698496979699
1999-01-14,990.1527571048373
1999-01-15,1004.2889881773525
1999-01-18,1024.9944909629355
1999-01-19,1021.310382258385
1999-01-20,1030.6444674804366
1999-01-21,1020.1117751637868
1999-01-22,994.9193263464987
1999-01-25,997.4674970516356
1999-01-26,997.5455166654988
1999-01-27,1003.3768804294363
1999-01-28,1015.8903346262255
1999-01-29,1022.6794245401692
1999-02-01,1039.2107718512948
1999-02-02,1035.9592771279465
1999-02-03,1026.7113409873798
1999-02-04,1029.367373093585
1999-02-05,1027.6628821911677
1999-02-08,1023.5488776946396
1999-02-09,1003.8705018436589
1999-02-10,997.4386222982369
1999-02-11,1011.4298420069966
1999-02-12,1020.0379317647265
1999-02-15,1024.8640953336342
1999-02-16,1032.3208601576328
1999-02-17,1022.9962227957417
1999-02-18,1023.9144916748722
1999-02-19,1028.990404780693
1999-02-22,1040.118585007959
1999-02-23,1050.3660826242608
1999-02-24,1059.5672659797988
1999-02-25,1044.7090404913477
1999-02-26,1044.8385228221998
1999-03-01,1034.6549171812421
1999-03-02,1040.1599250533861
1999-03-03,1034.6723921295284
1999-03-04,1044.3415414562114
1999-03-05,1065.0085769585428
1999-03-08,1059.0940243898056
1999-03-09,1062.3359840103155
1999-03-10,1063.5791846635368
1999-03-11,1083.4691090224026
1999-03-12,1084.791455062911
1999-03-15,1079.772921342644
1999-03-16,1085.386723543647
1999-03-17,1078.1396214450303
1999-03-18,1075.9169108209271
1999-03-19,1089.4568489167166
1999-03-22,1084.0195600537904
1999-03-23,1066.4696959953292
1999-03-24,1057.5138082355406
1999-03-25,1074.1109211398887
1999-03-26,1073.6538379391673
1999-03-29,1088.1029505879117
1999-03-30,1083.892091933941
1999-03-31,1090.421853249218
1999-04-01,1087.542878443345
1999-04-02,1088.7255372151715
1999-04-05,1090.4343765641654
1999-04-06,1100.9295783807336
1999-04-07,1108.844480710858
1999-04-08,1111.3084987127456
1999-04-09,1118.783999993373
1999-04-12,1114.6396351042856
1999-04-13,1127.371955730633
1999-04-14,1127.4727300586223
1999-04-15,1128.8166311495413
1999-04-16,1132.1962241248489
1999-04-19,1152.3845794387394
1999-04-20,1127.8095454333775
1999-04-21,1130.5975279600193
1999-04-22,1140.7926109929542
1999-04-23,1140.0317926261903
1999-04-26,1148.6033270370237
1999-04-27,1166.1571134709052
1999-04-28,1164.5405145507395
1999-04-29,1161.4689049560643
1999-04-30,1169.161446758361
1999-05-03,1175.3167805861847
1999-05-04,1177.0098378642995
1999-05-05,1160.5175176350301
1999-05-06,1157.6544073053033
1999-05-07,1151.987943105759
1999-05-10,1150.4966571846714
1999-05-11,1154.045258041349
1999-05-12,1146.4324909052295
1999-05-13,1155.940993977368
1999-05-14,1135.8544793857125
1999-05-17,1117.7893665872607
1999-05-18,1127.528139137983
1999-05-19,1139.4874298915495
1999-05-20,1148.875697642173
1999-05-21,1148.559289565863
1999-05-24,1144.6417044109492
1999-05-25,1131.5606701678234
1999-05-26,1135.0017856766624
1999-05-27,1125.2238803619114
1999-05-28,1128.0580728159637
1999-05-31,1133.749287271388
1999-06-01,1133.6926826629137
1999-06-02,1143.8443892551113
1999-06-03,1152.720153839535
1999-06-04,1161.5158667803767
1999-06-07,1170.8712157740933
1999-06-08,1167.1186990058038
1999-06-09,1169.9137846792762
1999-06-10,1158.660136151514
1999-06-11,1171.5139799717995
1999-06-14,1168.0209381744367
1999-06-15,1170.0436354361632
1999-06-16,1182.735986389438
1999-06-17,1185.8212832903046
1999-06-18,1189.258019787088
1999-06-21,1202.9815963361232
1999-06-22,1196.8451843898104
1999-06-23,1184.4310484122984
1999-06-24,1174.852835253012
1999-06-25,1167.7598433447479
1999-06-28,1170.8584233674708
1999-06-29,1171.2405208315483
1999-06-30,1171.1372180441565
1999-07-01,1194.4932822411504
1999-07-02,1199.7235595981936
1999-07-05,1218.2434628336403
1999-07-06,1217.0310873246938
1999-07-07,1210.9996201862848
1999-07-08,1211.0617055858088
1999-07-09,1214.2234838052862
1999-07-12,1216.9024777563825
1999-07-13,1197.9697804316072
1999-07-14,1203.9111576865398
1999-07-15,1215.1466054044065
1999-07-16,1211.4046817937324
1999-07-19,1208.5844796174163
1999-07-20,1183.7791956061237
1999-07-21,1168.8639120209727
1999-07-22,1162.975767758039
1999-07-23,1150.632763573149
1999-07-26,1136.1560871802742
1999-07-27,1144.4277941002129
1999-07-28,1147.0482034186093
1999-07-29,1124.9963612155316
1999-07-30,1144.0210529610874
1999-08-02,1145.57651606898
1999-08-03,1143.0338960405102
1999-08-04,1141.0257200574451
1999-08-05,1119.3494116387271
1999-08-06,1121.0459658389696
1999-08-09,1131.2516850094453
1999-08-10,1115.304217814872
1999-08-11,1124.0767273993838
1999-08-12,1144.846671055391
1999-08-13,1162.5832784606791
1999-08-16,1165.7514506004857
1999-08-17,1166.7817415313525
1999-08-18,1166.6133657029704
1999-08-19,1155.3224742314812
1999-08-20,1166.0081510983516
1999-08-23,1182.9218461480039
1999-08-24,1183.3788825384383
1999-08-25,1195.4680055780764
1999-08-26,1195.6124191603885
1999-08-27,1195.9067012089654
1999-08-30,1193.5313655561608
1999-08-31,1171.3963084093077
1999-09-01,1178.2857216060797
1999-09-02,1160.095584430478
1999-09-03,1185.6187791221228
1999-09-06,1194.6563715439484
1999-09-07,1189.439331912245
1999-09-08,1188.3182403152257
1999-09-09,1198.0078138158494
1999-09-10,1200.7925676780292
1999-09-13,1193.0519233319242
1999-09-14,1183.1511296976387
1999-09-15,1178.5031965981836
1999-09-16,1171.83936863848
1999-09-17,1172.0392491724597
1999-09-20,1175.8416985234853
1999-09-21,1159.0976717912854
1999-09-22,1152.1755737096062
1999-09-23,1160.282408391844
1999-09-24,1145.5648823619836
1999-09-27,1162.5307056230488
1999-09-28,1148.6682257809284
1999-09-29,1139.506215562681
1999-09-30,1141.0916718783124
1999-10-01,1135.9620004511646
1999-10-04,1149.861132579412
1999-10-05,1155.9446640798608
1999-10-06,1158.258181931878
1999-10-07,1165.6711572423599
1999-10-08,1166.9726533013436
1999-10-11,1166.7151885849705
1999-10-12,1152.7858984632378
1999-10-13,1141.9952504378082
1999-10-14,1135.4259276947755
1999-10-15,1114.2613085671455
1999-10-18,1104.8825621919482
1999-10-19,1127.973486998355
1999-10-20,1129.9830369691567
1999-10-21,1122.8557644280265
1999-10-22,1143.7573696577924
1999-10-25,1137.9591626703843
1999-10-26,1150.2686303835615
1999-10-27,1146.55777999688
1999-10-28,1164.4134700734664
1999-10-29,1182.1177587646673
1999-11-01,1183.351747338882
1999-11-02,1184.6142089848695
1999-11-03,1189.496997345572
1999-11-04,1199.3980192572276
1999-11-05,1198.1863686696277
1999-11-08,1197.932122177033
1999-11-09,1202.7843744617367
1999-11-10,1208.9236692422853
1999-11-11,1221.989847794848
1999-11-12,1222.483456294237
1999-11-15,1232.2511502848765
