Date,AC ASEAN VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,996.2030412572784
1999-01-05,1008.2554489840587
1999-01-06,1061.2380745314726
1999-01-07,1115.6386645987388
1999-01-08,1122.1485853207284
1999-01-11,1126.8650107447988
1999-01-12,1124.0720572579269
1999-01-13,1067.9445065427783
1999-01-14,1043.1118599208585
1999-01-15,1068.7354526565528
1999-01-18,1103.4226795106426
1999-01-19,1101.448270145868
1999-01-20,1117.79203446176
1999-01-21,1085.5976583179238
1999-01-22,1051.6188246328993
1999-01-25,986.99737946845
1999-01-26,1001.7226037608872
1999-01-27,1032.3736267161057
1999-01-28,1022.2110969222887
1999-01-29,1025.5415763053932
1999-02-01,1019.8665319227887
1999-02-02,1005.8934672554362
1999-02-03,994.4705928916376
1999-02-04,997.8264822223592
1999-02-05,991.4523721258006
1999-02-08,971.3716994215123
1999-02-09,942.3222386843739
1999-02-10,931.0671410816567
1999-02-11,969.7371296667808
1999-02-12,982.7322195450879
1999-02-15,991.7346218526941
1999-02-16,994.8709015217623
1999-02-17,983.1611560328854
1999-02-18,966.9972106503551
1999-02-19,994.9475369287167
1999-02-22,1008.067047517225
1999-02-23,1019.564651281867
1999-02-24,1025.5522841263721
1999-02-25,1015.6016541408239
1999-02-26,1031.1863629171066
1999-03-01,1037.9408629752938
1999-03-02,1034.716724814767
1999-03-03,1031.2979564907341
1999-03-04,1037.0797834564178
1999-03-05,1040.799676711014
1999-03-08,1037.8032234908371
1999-03-09,1024.1005801350047
1999-03-10,1031.4227358478997
1999-03-11,1046.3241593443845
1999-03-12,1049.346010545081
1999-03-15,1071.919481525626
1999-03-16,1071.3845925904036
1999-03-17,1050.4662981186368
1999-03-18,1055.2126015800995
1999-03-19,1064.2320656203692
1999-03-22,1063.7508578144027
1999-03-23,1063.2641871145813
1999-03-24,1055.8137459754141
1999-03-25,1073.8612738839831
1999-03-26,1086.064407121902
1999-03-29,1086.498396855176
1999-03-30,1089.6332155227797
1999-03-31,1089.0598932358719
1999-04-01,1103.0687802308787
1999-04-02,1105.3172562905418
1999-04-05,1129.8508624561975
1999-04-06,1135.7166200046245
1999-04-07,1149.2275613386878
1999-04-08,1158.4552043985555
1999-04-09,1184.1777813320466
1999-04-12,1189.3148327461151
1999-04-13,1206.3564504889605
1999-04-14,1230.1321855869498
1999-04-15,1249.625844798259
1999-04-16,1331.7162659640753
1999-04-19,1412.335762736625
1999-04-20,1370.4250661145632
1999-04-21,1373.6311116189072
1999-04-22,1397.1290519403326
1999-04-23,1393.1390280832218
1999-04-26,1422.5127070044914
1999-04-27,1433.102773532707
1999-04-28,1422.9676218902835
1999-04-29,1433.1895131234983
1999-04-30,1502.59643501542
1999-05-03,1524.0009132650287
1999-05-04,1615.3658000205496
1999-05-05,1628.0155767828662
1999-05-06,1623.1414332748113
1999-05-07,1556.7037918333842
1999-05-10,1546.3237010959026
1999-05-11,1572.5170923938517
1999-05-12,1581.2543539923736
1999-05-13,1557.7856275445652
1999-05-14,1546.9563243782059
1999-05-17,1531.7258459361224
1999-05-18,1527.4040629206954
1999-05-19,1514.9471172324097
1999-05-20,1520.1373588959937
1999-05-21,1541.3686359535236
1999-05-24,1535.7926719999105
1999-05-25,1516.3556178118392
1999-05-26,1519.1689400138314
1999-05-27,1540.7436363742906
1999-05-28,1521.771435960796
1999-05-31,1523.4236625288745
1999-06-01,1533.9778573840065
1999-06-02,1558.072651233466
1999-06-03,1564.2774144747764
1999-06-04,1574.573108287065
1999-06-07,1615.0508491330356
1999-06-08,1652.6298195215904
1999-06-09,1660.572267468217
1999-06-10,1663.8445513184222
1999-06-11,1674.7900578294264
1999-06-14,1694.0250653868702
1999-06-15,1690.9063759824064
1999-06-16,1703.0963692574376
1999-06-17,1731.8742639758395
1999-06-18,1733.0244764068439
1999-06-21,1786.0420028398833
1999-06-22,1818.2346493398643
1999-06-23,1823.6519343989235
1999-06-24,1814.538004087742
1999-06-25,1780.5057382945329
1999-06-28,1787.5744851875806
1999-06-29,1798.2982522058217
1999-06-30,1777.3712213663496
1999-07-01,1819.7406894558023
1999-07-02,1835.0834203264221
1999-07-05,1840.045873404572
1999-07-06,1833.1986158208397
1999-07-07,1810.9394077506538
1999-07-08,1806.4650207482164
1999-07-09,1809.2895482113609
1999-07-12,1838.6665585283683
1999-07-13,1810.200532833445
1999-07-14,1788.260976978549
1999-07-15,1777.8485111359478
1999-07-16,1762.3720065851219
1999-07-19,1762.8905956447945
1999-07-20,1720.9118305190118
1999-07-21,1691.3547098298807
1999-07-22,1667.2464055573346
1999-07-23,1611.2337436417824
1999-07-26,1540.5978485306796
1999-07-27,1546.179973724943
1999-07-28,1618.0728394342098
1999-07-29,1631.4982773259349
1999-07-30,1617.9740585964487
1999-08-02,1611.268271867163
1999-08-03,1628.19771726813
