Date,KUKJE (ACWI ex KOREA) VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.000210262704
1999-01-04,1004.020862697759
1999-01-05,1013.4845261066257
1999-01-06,1039.3198755487363
1999-01-07,1042.1050632482631
1999-01-08,1052.7691950195424
1999-01-11,1046.9432458412966
1999-01-12,1028.9521615859665
1999-01-13,994.2234383847084
1999-01-14,987.1180848550869
1999-01-15,1010.6261352629111
1999-01-18,1018.5909604927224
1999-01-19,1017.6746276247433
1999-01-20,1026.1811358613315
1999-01-21,1015.3775242311738
1999-01-22,999.0224945376336
1999-01-25,1001.9356993367778
1999-01-26,1007.4326744442764
1999-01-27,1009.1558642461658
1999-01-28,1021.5632617508423
1999-01-29,1034.4244649705167
1999-02-01,1044.0465892859725
1999-02-02,1038.3665014388578
1999-02-03,1036.9788859579644
1999-02-04,1035.142999621572
1999-02-05,1030.2969945604325
1999-02-08,1031.6141502205328
1999-02-09,1011.5655171878915
1999-02-10,1008.8414096215968
1999-02-11,1024.5730864453058
1999-02-12,1024.0964415628052
1999-02-15,1027.6302739321186
1999-02-16,1034.2291617086455
1999-02-17,1021.9424158792516
1999-02-18,1026.2812627115468
1999-02-19,1035.527824987927
1999-02-22,1055.7140489462356
1999-02-23,1061.2982820579134
1999-02-24,1060.3140796668404
1999-02-25,1048.5113327401227
1999-02-26,1052.5663171149906
1999-03-01,1049.74093991071
1999-03-02,1046.2799890931815
1999-03-03,1045.2517493441687
1999-03-04,1060.1877300152473
1999-03-05,1084.646691046689
1999-03-08,1083.7450730617168
1999-03-09,1087.222376785863
1999-03-10,1093.7491199471604
1999-03-11,1112.5985885677176
1999-03-12,1106.638481939757
1999-03-15,1114.3995694448574
1999-03-16,1122.0715022757875
1999-03-17,1112.5335027350047
1999-03-18,1116.061566317217
1999-03-19,1126.2312786905159
1999-03-22,1124.0706258885868
1999-03-23,1106.0456169103154
1999-03-24,1098.3631297776337
1999-03-25,1117.923499631991
1999-03-26,1124.7709333962111
1999-03-29,1138.4596887042103
1999-03-30,1130.3446607536116
1999-03-31,1129.7910417914466
1999-04-01,1133.153747200256
1999-04-02,1134.4920748635832
1999-04-05,1147.844797922972
1999-04-06,1151.6269426897395
1999-04-07,1157.6809009538188
1999-04-08,1165.2942700558153
1999-04-09,1172.787211405347
1999-04-12,1169.6041297960298
1999-04-13,1179.816123723673
1999-04-14,1180.057691638251
1999-04-15,1188.4912168597084
1999-04-16,1200.1944299837658
1999-04-19,1213.145760933016
1999-04-20,1200.0236871689401
1999-04-21,1207.9881813248285
1999-04-22,1219.4538350360697
1999-04-23,1217.495181950663
1999-04-26,1223.4129282174486
1999-04-27,1229.2236544079162
1999-04-28,1232.6462114010335
1999-04-29,1235.8459637104531
1999-04-30,1235.1034832098428
1999-05-03,1248.4659208867515
1999-05-04,1240.2079222943557
1999-05-05,1234.6398182935384
1999-05-06,1231.4668450190939
1999-05-07,1229.4878577847485
1999-05-10,1228.4506277087196
1999-05-11,1235.349466808445
1999-05-12,1237.065880309247
1999-05-13,1245.8253980358436
1999-05-14,1220.483389046864
1999-05-17,1208.3955346705625
1999-05-18,1211.5264789772755
1999-05-19,1213.3758718484764
1999-05-20,1218.3104820344588
1999-05-21,1221.312043777532
1999-05-24,1210.6587515858027
1999-05-25,1192.8584207382357
1999-05-26,1212.6945374128206
1999-05-27,1198.962160378302
1999-05-28,1205.63756701853
1999-05-31,1209.8315603332194
1999-06-01,1209.7348928274873
1999-06-02,1223.3064162969429
1999-06-03,1227.401344151936
1999-06-04,1243.0728973578023
1999-06-07,1254.187149608399
1999-06-08,1240.6992203318043
1999-06-09,1242.367830058153
1999-06-10,1233.083861454745
1999-06-11,1238.0828874794117
1999-06-14,1239.8385818885017
1999-06-15,1244.7381357874287
1999-06-16,1268.2944453906644
1999-06-17,1276.4151540357582
1999-06-18,1270.8008772180408
1999-06-21,1282.6909471768504
1999-06-22,1279.7964310112268
1999-06-23,1268.195723921022
1999-06-24,1253.8200221482184
1999-06-25,1241.6426256160094
1999-06-28,1257.9275827815497
1999-06-29,1269.2324804704813
1999-06-30,1275.2765166036875
1999-07-01,1297.5450112806793
1999-07-02,1310.0147834288755
1999-07-05,1319.2040880214706
1999-07-06,1313.9292352902971
1999-07-07,1314.120787267188
1999-07-08,1315.1620381775263
1999-07-09,1318.1412848512769
1999-07-12,1323.6219235347794
1999-07-13,1311.5819613849928
1999-07-14,1313.5802583137506
1999-07-15,1320.290189586846
1999-07-16,1321.3985374568083
1999-07-19,1325.2945190722626
1999-07-20,1286.5065717985249
1999-07-21,1271.9701759488967
1999-07-22,1262.2398067940983
1999-07-23,1254.3827258355332
1999-07-26,1229.5367641935893
1999-07-27,1238.6030311588654
1999-07-28,1244.569909036071
1999-07-29,1223.7060789193558
1999-07-30,1229.5615845391044
1999-08-02,1230.9896667358275
1999-08-03,1229.5633656038706
1999-08-04,1214.6801836944207
1999-08-05,1202.1649311553338
1999-08-06,1195.1795413363477
1999-08-09,1202.9854011208913
1999-08-10,1188.4751991465444
1999-08-11,1201.3649507812045
1999-08-12,1211.758056254958
1999-08-13,1234.0137392794286
1999-08-16,1242.7016541705977
1999-08-17,1252.8431703077126
1999-08-18,1249.2184371707683
1999-08-19,1236.0324822999269
1999-08-20,1247.9393011466864
1999-08-23,1270.7349605718218
1999-08-24,1273.9218584637076
1999-08-25,1285.939184201809
1999-08-26,1277.754597093874
1999-08-27,1269.5463382602466
1999-08-30,1263.473642173025
1999-08-31,1237.7960082225766
1999-09-01,1249.3584964756992
1999-09-02,1229.6483477327515
1999-09-03,1257.9229943443813
1999-09-06,1266.7556957308982
1999-09-07,1256.759763449919
1999-09-08,1253.4293762549412
1999-09-09,1267.589618525615
1999-09-10,1276.8855330958538
1999-09-13,1285.0229909358961
1999-09-14,1274.4214896893398
1999-09-15,1269.8993847075064
1999-09-16,1259.9211596190542
1999-09-17,1262.8750363206584
1999-09-20,1264.7185274544386
