Date,ACWI VALUE WEIGHTED
1998-12-31,629.9132696732597
1999-01-01,629.9133995988292
1999-01-04,633.3191566468346
1999-01-05,639.7328862130735
1999-01-06,656.3123617674063
1999-01-07,658.7456906980849
1999-01-08,665.0734211199091
1999-01-11,661.6820901269292
1999-01-12,650.1046474132771
1999-01-13,628.3964954530056
1999-01-14,623.1255523608395
1999-01-15,638.1028893095988
1999-01-18,643.2186754894586
1999-01-19,642.6520901447681
1999-01-20,647.9704647012662
1999-01-21,640.4663668108004
1999-01-22,629.5713701995987
1999-01-25,631.1472321870567
1999-01-26,634.412921030652
1999-01-27,636.290526726919
1999-01-28,644.1357458508934
1999-01-29,652.1394957524545
1999-02-01,658.3138360672078
1999-02-02,654.5403510433748
1999-02-03,653.3820444094615
1999-02-04,652.1237568989814
1999-02-05,649.1719032840342
1999-02-08,649.8530144631302
1999-02-09,636.8028105148894
1999-02-10,635.1737590100915
1999-02-11,644.8951894812127
1999-02-12,645.3142760426938
1999-02-15,647.5422793792775
1999-02-16,651.6853842027059
1999-02-17,644.0397958301211
1999-02-18,646.2482401565231
1999-02-19,651.5621662014556
1999-02-22,663.7320066855513
1999-02-23,667.190819746915
1999-02-24,666.4854170048388
1999-02-25,659.0558941094471
1999-02-26,662.1454909038489
1999-03-01,660.4948721362327
1999-03-02,658.6645874204988
1999-03-03,657.9314335158003
1999-03-04,667.0668205605551
1999-03-05,682.221136280886
1999-03-08,682.5462387399726
1999-03-09,684.6595545459472
1999-03-10,688.6382487012324
1999-03-11,700.73935333031
1999-03-12,697.1080544659617
1999-03-15,701.9740467514621
1999-03-16,707.0039770268827
1999-03-17,700.9481058030977
1999-03-18,702.6153715202292
1999-03-19,709.7239935621253
1999-03-22,708.5533592081711
1999-03-23,697.5840311793843
1999-03-24,692.8163328484343
1999-03-25,704.8446297368132
1999-03-26,709.329922941308
1999-03-29,717.5991767801393
1999-03-30,713.0329993195504
1999-03-31,712.6167794324285
1999-04-01,715.3107733810989
1999-04-02,716.6106260901508
1999-04-05,724.9295578896194
1999-04-06,727.8738094656877
1999-04-07,731.7083003978788
1999-04-08,736.7007932762831
1999-04-09,741.6824873715725
1999-04-12,739.4666789814927
1999-04-13,745.8813303886752
1999-04-14,745.9903672512488
1999-04-15,752.3736063639012
1999-04-16,759.7880891699596
1999-04-19,769.3499006827947
1999-04-20,761.4452407874772
1999-04-21,765.8250421128683
1999-04-22,772.7883599967914
1999-04-23,772.1353571174495
1999-04-26,777.107315218274
1999-04-27,781.6154732811298
1999-04-28,783.5736730857944
1999-04-29,784.3728663961857
1999-04-30,783.7974078811145
1999-05-03,791.8679552905608
1999-05-04,787.0577479801342
1999-05-05,783.4528964057921
1999-05-06,782.6735866579301
1999-05-07,781.8197320873888
1999-05-10,781.2718608325234
1999-05-11,784.6433916724782
1999-05-12,785.4996155430271
1999-05-13,790.1676817669962
1999-05-14,774.0835756253272
1999-05-17,765.8536849930446
1999-05-18,768.6727949931549
1999-05-19,769.8956422836033
1999-05-20,772.1620614341178
1999-05-21,774.4124204684762
1999-05-24,767.5959252089992
1999-05-25,756.7952494723125
1999-05-26,769.8710234693167
1999-05-27,761.6728614577378
1999-05-28,765.9866612843447
1999-05-31,768.5964019724554
1999-06-01,768.7566589847349
