Date,AC FAR EAST ex JAPAN VALUE WEIGHTED
1999-08-04,1695.1353891922374
1999-08-05,1638.6076013940751
1999-08-06,1627.632506298371
1999-08-09,1633.8504509503477
1999-08-10,1621.0250273406286
1999-08-11,1592.4062125560238
1999-08-12,1616.5596970402896
1999-08-13,1601.5129384957568
1999-08-16,1629.1312325742697
1999-08-17,1607.7423873943833
1999-08-18,1620.7565186049433
1999-08-19,1638.437957782969
1999-08-20,1658.7865760428358
1999-08-23,1701.2967699468697
1999-08-24,1714.9292462044416
1999-08-25,1758.161328080765
1999-08-26,1766.1320695795057
1999-08-27,1752.1756784851034
1999-08-30,1752.366411066829
1999-08-31,1718.8585019617071
1999-09-01,1695.2287851121282
1999-09-02,1659.5634809767375
1999-09-03,1666.3499553668078
1999-09-06,1701.3542810965946
1999-09-07,1698.2395605357763
1999-09-08,1680.099488447464
1999-09-09,1724.0263435123159
1999-09-10,1752.3005218353157
1999-09-13,1786.4035228236712
1999-09-14,1767.4207891906822
1999-09-15,1736.1644552260666
1999-09-16,1701.684386555987
1999-09-17,1710.2506685687065
1999-09-20,1711.1402437502416
1999-09-21,1709.6763832308852
1999-09-22,1674.5186934978274
1999-09-23,1681.5614285266483
1999-09-24,1660.894092180095
1999-09-27,1620.6592118057536
1999-09-28,1604.6469024290086
1999-09-29,1568.7400834896541
1999-09-30,1540.0447335666158
1999-10-01,1545.3947897599699
1999-10-04,1537.1746629973434
1999-10-05,1532.0158033476725
1999-10-06,1563.762802844796
1999-10-07,1577.9800690085574
1999-10-08,1580.9013135107232
1999-10-11,1571.1778060725226
1999-10-12,1567.7856219518644
1999-10-13,1544.1398300993856
1999-10-14,1548.860515030791
1999-10-15,1517.9958918262519
1999-10-18,1491.436772592543
1999-10-19,1481.7470842827736
1999-10-20,1519.5728765284105
1999-10-21,1512.6269121085709
1999-10-22,1546.853625365354
1999-10-25,1540.7315763141812
1999-10-26,1544.4992188577667
1999-10-27,1542.2860662564058
1999-10-28,1570.9932686162351
1999-10-29,1601.2826396100427
1999-11-01,1640.1184712371544
1999-11-02,1645.7218065750671
1999-11-03,1643.0755015390157
1999-11-04,1684.6508698935472
1999-11-05,1690.0868579897974
1999-11-08,1691.086281691089
1999-11-09,1702.9170434222738
1999-11-10,1702.1256788371545
1999-11-11,1721.3920718054644
1999-11-12,1752.2674213888358
1999-11-15,1761.12283961771
1999-11-16,1781.7562410240862
1999-11-17,1740.404487018341
1999-11-18,1757.487333208215
1999-11-19,1800.471012927383
1999-11-22,1798.4310237783623
1999-11-23,1796.577380538253
1999-11-24,1805.929181872742
1999-11-25,1784.9596925524409
1999-11-26,1793.4676583946396
1999-11-29,1827.28266191936
1999-11-30,1842.94577217967
1999-12-01,1855.6285399338324
1999-12-02,1877.6359447721854
1999-12-03,1898.4605803594143
1999-12-06,1885.519332636698
1999-12-07,1870.0437380229555
1999-12-08,1873.7091201104977
1999-12-09,1891.4577640876507
1999-12-10,1921.887809846269
1999-12-13,1936.6838627473855
1999-12-14,1928.22266623491
1999-12-15,1884.4559334820485
1999-12-16,1841.2006833563207
1999-12-17,1869.66809702857
1999-12-20,1881.068012685561
1999-12-21,1863.2415464330622
1999-12-22,1866.82885232441
1999-12-23,1853.866531373555
1999-12-24,1882.0979792213438
1999-12-27,1883.2959698629102
1999-12-28,1903.8189469323088
1999-12-29,1899.8400084656273
1999-12-30,1918.7124159022424
1999-12-31,1919.5240785742399
2000-01-03,1918.7339391334192
2000-01-04,1937.6818912859076
2000-01-05,1836.839383469151
2000-01-06,1774.0527893138656
2000-01-07,1817.7882255324614
2000-01-10,1856.6080940550316
2000-01-11,1829.679373011481
2000-01-12,1836.9548237554584
2000-01-13,1834.5261719576674
2000-01-14,1862.582592815614
2000-01-17,1885.0618967386192
2000-01-18,1871.257569246297
2000-01-19,1811.0227743089667
