Date,AC ASIA PACIFIC VALUE WEIGHTED
1998-12-31,1000.0000000000001
1999-01-01,1000.0000000000001
1999-01-04,989.9235324712267
1999-01-05,992.0651496547662
1999-01-06,1011.5410225981631
1999-01-07,1046.2753169798564
1999-01-08,1045.0695020538838
1999-01-11,1060.847412372813
1999-01-12,1041.5708385167957
1999-01-13,1008.2045305605943
1999-01-14,1007.2504998938921
1999-01-15,1017.981590242494
1999-01-18,1024.2323223489261
1999-01-19,1022.4039974375966
1999-01-20,1037.524930030206
1999-01-21,1035.5334253240403
1999-01-22,1011.5170097010507
1999-01-25,1006.5230752437018
1999-01-26,1012.4391304769723
1999-01-27,1025.469722437486
1999-01-28,1020.9087887245415
1999-01-29,1037.601273015309
1999-02-01,1046.6122163365574
1999-02-02,1049.34844313237
1999-02-03,1038.3995082678907
1999-02-04,1037.9177976422595
1999-02-05,1026.6106105001702
1999-02-08,1026.882367463001
1999-02-09,1008.6325380452517
1999-02-10,1001.4297429990577
1999-02-11,1008.6694081902299
1999-02-12,1024.887876124807
1999-02-15,1025.2860214064071
1999-02-16,1019.0228838110663
1999-02-17,1008.0343379171135
1999-02-18,998.9865704269989
1999-02-19,1001.6857287448183
1999-02-22,1015.8873467169124
1999-02-23,1021.9483701880422
1999-02-24,1022.6220711660177
1999-02-25,1024.1335567937829
1999-02-26,1040.967853894616
1999-03-01,1040.2807337799343
1999-03-02,1026.7699811555128
1999-03-03,1027.7392905537506
1999-03-04,1025.8010648218503
1999-03-05,1059.4562540107063
1999-03-08,1069.4214483831847
1999-03-09,1085.1948590966158
1999-03-10,1107.219591795066
1999-03-11,1123.6643065222001
1999-03-12,1123.360254048037
1999-03-15,1146.4777777903091
1999-03-16,1169.2569497852878
1999-03-17,1166.710314299013
1999-03-18,1146.6370740414407
1999-03-19,1190.1275710000216
1999-03-22,1190.9538262506653
1999-03-23,1189.8350185673648
1999-03-24,1163.204416317162
1999-03-25,1181.3724850929048
1999-03-26,1196.0320108988963
1999-03-29,1193.570511859475
1999-03-30,1191.5469381234564
1999-03-31,1202.7900553397005
1999-04-01,1223.3509833842675
1999-04-02,1225.1935289083822
1999-04-05,1224.6751920872032
1999-04-06,1245.5114781105783
1999-04-07,1248.914737311981
1999-04-08,1261.4280473640224
1999-04-09,1269.4836147346584
1999-04-12,1248.438813138311
1999-04-13,1268.8441430753646
1999-04-14,1284.8468549683064
1999-04-15,1297.3800971562778
1999-04-16,1329.0399508690243
1999-04-19,1357.7632283897328
1999-04-20,1342.5392047979628
1999-04-21,1322.0830462478782
1999-04-22,1331.1374317403902
1999-04-23,1342.608981049913
1999-04-26,1364.9980826096998
1999-04-27,1370.3740464393807
1999-04-28,1373.8872167318532
1999-04-29,1370.607949307629
1999-04-30,1367.1067805378514
1999-05-03,1364.2588209928817
1999-05-04,1366.914400642173
1999-05-05,1359.2857622291785
1999-05-06,1392.5952778209576
1999-05-07,1376.8932801451276
1999-05-10,1379.2234906242438
1999-05-11,1366.2876978742065
1999-05-12,1373.3561132828388
1999-05-13,1362.7732642787098
1999-05-14,1344.728057114402
1999-05-17,1311.7528118292719
1999-05-18,1323.6129976451346
1999-05-19,1296.5936131634023
1999-05-20,1294.770408416755
1999-05-21,1307.5677776160132
1999-05-24,1309.1395618091665
1999-05-25,1302.6472028326657
1999-05-26,1325.359546212113
1999-05-27,1326.909053789553
1999-05-28,1326.6815644315427
1999-05-31,1326.8604407897933
1999-06-01,1348.5844857958637
1999-06-02,1372.113717691913
1999-06-03,1362.681798482855
1999-06-04,1373.127421023623
1999-06-07,1400.99670413982
1999-06-08,1406.6892967789147
1999-06-09,1410.5952576204957
1999-06-10,1430.2845117295883
1999-06-11,1446.5154791098623
1999-06-14,1432.7510466500544
1999-06-15,1431.8367012385136
1999-06-16,1453.7027524989044
1999-06-17,1476.9087362733335
1999-06-18,1457.0207564087252
1999-06-21,1482.9805553360125
1999-06-22,1498.7584974885167
1999-06-23,1483.2523589833088
1999-06-24,1475.394477825452
1999-06-25,1457.83901773217
1999-06-28,1484.8052572323445
1999-06-29,1498.8316235601053
1999-06-30,1488.4246009205401
1999-07-01,1524.8171955987195
1999-07-02,1546.1964122668458
1999-07-05,1558.7886466094565
1999-07-06,1553.0518839502574
1999-07-07,1554.378189102804
1999-07-08,1554.5976335042822
1999-07-09,1558.1076773315356
1999-07-12,1574.0707205923045
1999-07-13,1567.3238600580373
1999-07-14,1566.382139230626
1999-07-15,1576.3308082017454
1999-07-16,1570.6423675307085
1999-07-19,1595.3973362449913
1999-07-20,1558.077491720677
1999-07-21,1533.0416626448532
1999-07-22,1512.6256173226525
1999-07-23,1489.9203997882598
1999-07-26,1452.242797495001
1999-07-27,1463.282607797587
1999-07-28,1486.9353738613731
1999-07-29,1500.6829086376506
1999-07-30,1510.759565342496
1999-08-02,1505.2803101861628
1999-08-03,1515.19428223628
1999-08-04,1492.5040098790055
1999-08-05,1464.5383688234272
1999-08-06,1448.3606370614532
1999-08-09,1450.9993815854998
1999-08-10,1448.8883318413748
1999-08-11,1438.2511806114392
1999-08-12,1456.7222125986998
1999-08-13,1461.9905381901378
1999-08-16,1497.342182946905
1999-08-17,1505.0322402651352
1999-08-18,1520.9088634678396
1999-08-19,1513.5460046821595
1999-08-20,1535.867722631878
1999-08-23,1566.5345049214068
1999-08-24,1568.2440256754062
1999-08-25,1572.6089825693605
1999-08-26,1561.4639262782416
1999-08-27,1550.309195721519
1999-08-30,1568.4780781773409
1999-08-31,1524.00272567927
1999-09-01,1551.0399504095342
1999-09-02,1535.1194911976283
1999-09-03,1536.745991337354
1999-09-06,1562.9568001877021
1999-09-07,1543.4528381296902
1999-09-08,1536.1039618511024
1999-09-09,1577.110377602634
1999-09-10,1593.3340990661297
1999-09-13,1642.350586713244
1999-09-14,1633.8750445384876
1999-09-15,1636.5747127044474
1999-09-16,1601.835800364066
1999-09-17,1591.0772754824493
1999-09-20,1599.5637076144135
1999-09-21,1624.1666845292714
1999-09-22,1583.8378608772023
1999-09-23,1593.0373984403352
1999-09-24,1554.954567334457
1999-09-27,1530.8254238203367
1999-09-28,1547.9165888549855
1999-09-29,1516.5272855999667
1999-09-30,1533.7594794878028
1999-10-01,1544.894228771823
1999-10-04,1531.6826723365443
1999-10-05,1525.009423661891
1999-10-06,1528.0862522332825
1999-10-07,1537.928039285697
1999-10-08,1555.954605778653
1999-10-11,1560.0528578254534
1999-10-12,1559.600753656865
1999-10-13,1527.8023077978532
1999-10-14,1538.0685925415278
1999-10-15,1512.3217747773365
1999-10-18,1484.4582753411148
1999-10-19,1488.2005954594595
1999-10-20,1516.7129638053495
1999-10-21,1507.3002948258902
1999-10-22,1534.3394833531647
1999-10-25,1551.0384606590821
1999-10-26,1567.4253027885384
1999-10-27,1564.6277134404772
1999-10-28,1563.5213534260633
1999-10-29,1603.0086430738672
1999-11-01,1609.451256997138
1999-11-02,1621.5629907273083
1999-11-03,1613.6591228149844
1999-11-04,1645.2658240205146
1999-11-05,1631.5633236426877
1999-11-08,1628.8569697633031
1999-11-09,1631.3569636832908
1999-11-10,1645.4972384718942
1999-11-11,1639.9004692083479
1999-11-12,1657.6047876691298
1999-11-15,1651.863315814719
1999-11-16,1647.3875348142178
1999-11-17,1650.8831056323932
1999-11-18,1681.2482297497943
1999-11-19,1700.666626939428
1999-11-22,1712.7516056680995
1999-11-23,1723.3048245943778
1999-11-24,1725.3763342968375
1999-11-25,1710.3020467734457
1999-11-26,1754.4552387144333
1999-11-29,1770.4082153166876
1999-11-30,1743.5720295427898
1999-12-01,1749.0265782718852
1999-12-02,1767.3486840623702
1999-12-03,1769.774494909807
1999-12-06,1730.535282102338
1999-12-07,1737.666037473019
1999-12-08,1714.481435810559
1999-12-09,1730.034672563014
1999-12-10,1747.683012012955
1999-12-13,1738.1021449956468
1999-12-14,1738.2255532244596
1999-12-15,1737.8111841217515
1999-12-16,1712.492249670908
1999-12-17,1735.995241890123
1999-12-20,1744.0747536606507
1999-12-21,1738.7143112920562
1999-12-22,1763.3945817776596
1999-12-23,1746.0354891578422
1999-12-24,1742.380485150564
1999-12-27,1740.3134196467793
1999-12-28,1767.9668435305427
1999-12-29,1773.1633106360468
1999-12-30,1784.8097073996073
1999-12-31,1784.948291079202
2000-01-03,1781.7498110014524
2000-01-04,1744.1181989798547
2000-01-05,1691.7155043711593
2000-01-06,1639.7309090466883
2000-01-07,1662.3861122175088
2000-01-10,1676.3398409850183
2000-01-11,1698.0421292104713
2000-01-12,1689.8934934276774
2000-01-13,1699.757275858761
2000-01-14,1741.0716137164718
2000-01-17,1783.557422956975
2000-01-18,1761.3914365234336
2000-01-19,1727.3399310678503
2000-01-20,1738.7501728518912
2000-01-21,1743.9304525159273
2000-01-24,1748.070642277637
2000-01-25,1714.705665447941
2000-01-26,1736.9430215226455
2000-01-27,1778.8610673312799
2000-01-28,1796.651074927937
2000-01-31,1789.301399241695
2000-02-01,1775.8460362399044
2000-02-02,1788.8309641141614
2000-02-03,1777.4941292375731
2000-02-04,1797.9177505487412
2000-02-07,1796.6578783747161
2000-02-08,1752.7313043882775
2000-02-09,1755.9969449469465
2000-02-10,1754.9927777499668
2000-02-11,1750.296434096275
2000-02-14,1734.1950645303677
2000-02-15,1693.3607148924393
2000-02-16,1692.4355717616245
2000-02-17,1699.930116476857
2000-02-18,1684.5261949973035
2000-02-21,1642.22626319941
2000-02-22,1596.1813404809782
2000-02-23,1618.4956649154942
2000-02-24,1639.4759757255292
2000-02-25,1685.8030291793675
2000-02-28,1709.7242246662881
2000-02-29,1707.5199477699327
2000-03-01,1735.0994964635659
2000-03-02,1738.6087916931376
2000-03-03,1736.8002962320625
2000-03-06,1734.3288938582684
2000-03-07,1766.2872317868193
2000-03-08,1755.5292948666547
2000-03-09,1736.799141015426
2000-03-10,1758.3419433218353
2000-03-13,1726.6027816359062
2000-03-14,1733.3739771361386
2000-03-15,1702.4214338660538
2000-03-16,1717.2121008750782
2000-03-17,1745.979313301813
2000-03-20,1736.73181562862
2000-03-21,1727.8248963730925
2000-03-22,1738.5129380480776
2000-03-23,1726.769134770411
2000-03-24,1739.1772717242588
2000-03-27,1775.6864440243319
2000-03-28,1814.3047519145593
2000-03-29,1878.744621978851
2000-03-30,1847.6842262576527
