Date,AC ASIA PACIFIC ex JAPAN VALUE WEIGHTED
2010-11-30,1000.0
2010-12-01,1010.1301930059786
2010-12-02,1019.2693787580189
2010-12-03,1010.602269632377
2010-12-06,1019.7922584868352
2010-12-07,1022.1594081529036
2010-12-08,1017.8621599809499
2010-12-09,1030.0125447340865
2010-12-10,1026.1606590399304
2010-12-13,1020.4551092151128
2010-12-14,1027.705387550604
2010-12-15,1021.8179475786861
2010-12-16,1026.8699271644475
2010-12-17,1033.773875418346
2010-12-20,1035.060576268173
2010-12-21,1043.7834732389965
2010-12-22,1049.3090146627019
2010-12-23,1053.7729005492706
2010-12-24,1047.4731678708981
2010-12-27,1045.8207544254956
2010-12-28,1049.3669347512584
2010-12-29,1056.3163948008068
2010-12-30,1051.117052262327
2010-12-31,1043.4924706831634
2011-01-03,1056.9365907251622
2011-01-04,1061.74481546238
2011-01-05,1066.741931115288
2011-01-06,1075.9602792526885
2011-01-07,1074.9200108666075
2011-01-10,1070.0358049898978
2011-01-11,1074.7096843706072
2011-01-12,1075.0515005320851
2011-01-13,1060.495673861162
2011-01-14,1056.7270504373737
2011-01-17,1056.7614743932436
2011-01-18,1053.4846314164813
2011-01-19,1057.6335423425721
2011-01-20,1045.034353994079
2011-01-21,1023.9371014468948
2011-01-24,1020.7044437640682
2011-01-25,1022.5726499588162
2011-01-26,1028.3071105859967
2011-01-27,1025.8260539800199
2011-01-28,1029.4176905837471
2011-01-31,1014.7105856359016
2011-02-01,1013.7291919471485
2011-02-02,1019.1656452435652
2011-02-03,1035.4927231636136
2011-02-04,1043.7599235175928
2011-02-07,1044.2059325725904
2011-02-08,1033.8034981612984
2011-02-09,1018.931767015674
2011-02-10,1008.1062419758117
2011-02-11,1000.5201739962149
2011-02-14,1024.5260239507534
2011-02-15,1017.6368379220962
2011-02-16,1018.1674227666266
2011-02-17,1017.4201785224865
2011-02-18,1022.6503946446062
2011-02-21,1014.9915103062867
2011-02-22,992.9117737968902
2011-02-23,983.499348220065
2011-02-24,971.3548208967462
2011-02-25,986.9391300267287
2011-02-28,984.0088164846346
2011-03-01,992.3050173243593
2011-03-02,980.1620941507969
2011-03-03,984.4674364431858
2011-03-04,994.2790861917715
2011-03-07,984.0516626041705
2011-03-08,998.4374048118406
2011-03-09,997.270556370856
2011-03-10,990.581109420323
2011-03-11,975.7038869513274
2011-03-14,970.5206007583967
2011-03-15,941.7123116225019
2011-03-16,952.4902634152278
2011-03-17,937.9288132799356
2011-03-18,940.9657835141802
2011-03-21,950.538353472334
2011-03-22,955.9174235618607
2011-03-23,963.2064088074286
2011-03-24,968.792811423455
2011-03-25,985.1670010152909
2011-03-28,984.5041144023517
2011-03-29,991.0409444957085
2011-03-30,1003.7841320211245
2011-03-31,1005.0151692350861
2011-04-01,1016.9433167213025
2011-04-04,1017.0180454997421
2011-04-05,1019.9589544541598
2011-04-06,1018.1695577963275
2011-04-07,1022.7111568546479
2011-04-08,1017.766785636896
2011-04-11,1014.5902414859414
2011-04-12,994.2991179926989
2011-04-13,1004.9134505966915
2011-04-14,1007.0744302658644
2011-04-15,1005.808089738457
2011-04-18,1015.478611968793
2011-04-19,1000.0685149050518
2011-04-20,1010.9218334746347
2011-04-21,1019.807008286901
2011-04-22,1019.8201817407696
2011-04-25,1018.7130517577531
2011-04-26,1012.0638052700413
2011-04-27,1013.926759349281
2011-04-28,1005.7537672954085
2011-04-29,1001.7407610486803
2011-05-02,1003.8848837303857
2011-05-03,995.7875483834058
2011-05-04,979.5637041232858
2011-05-05,993.1374514402875
2011-05-06,997.937838263413
2011-05-09,1018.7382205935397
2011-05-10,1013.1704527737235
2011-05-11,1025.481004866315
2011-05-12,1011.4848349177979
2011-05-13,1013.7315965286282
2011-05-16,998.3795430615103
2011-05-17,1002.5046009029434
2011-05-18,1004.914541651619
2011-05-19,1006.3966829291362
2011-05-20,1014.4844493035483
2011-05-23,995.9645654911321
2011-05-24,994.0886172978105
2011-05-25,986.909482044649
2011-05-26,1001.5107955196438
2011-05-27,1001.5644367028817
2011-05-30,1001.048658204495
2011-05-31,1008.3486621199597
2011-06-01,1008.4794161899529
2011-06-02,990.4769316088904
2011-06-03,980.1661405927777
2011-06-06,976.738352631806
2011-06-07,969.751799777798
2011-06-08,965.7390161941657
2011-06-09,968.6940567103618
2011-06-10,970.3484959788252
2011-06-13,966.9795758593177
2011-06-14,970.7278509184555
2011-06-15,980.34197868184
2011-06-16,968.2226176557059
2011-06-17,954.0708494660827
2011-06-20,946.3434966693801
2011-06-21,956.5031221888215
2011-06-22,956.7767372428808
2011-06-23,966.9588468293915
2011-06-24,978.6540268344638
2011-06-27,961.683556696498
2011-06-28,959.3332190867521
2011-06-29,970.7757353958872
2011-06-30,979.6573008168983
2011-07-01,984.6320257506312
2011-07-04,993.7969422723074
2011-07-05,994.9966777649367
2011-07-06,1004.1756990068676
2011-07-07,1003.6250221276171
2011-07-08,1017.0851277405886
2011-07-11,1018.9243022014374
2011-07-12,993.5498385983208
2011-07-13,994.5306257563259
2011-07-14,992.7700872721528
2011-07-15,993.0377610115435
2011-07-18,992.2373067259209
2011-07-19,986.0030964825331
2011-07-20,1000.9168414270522
2011-07-21,990.4881978221217
2011-07-22,1006.2249542638546
2011-07-25,997.4060232300421
2011-07-26,999.4187826771536
2011-07-27,1007.7990767062694
2011-07-28,1004.2510238462901
2011-07-29,989.5074984544558
2011-08-01,1015.7051658475925
2011-08-02,995.5763569001383
2011-08-03,965.3113076699308
2011-08-04,958.8060627841364
2011-08-05,913.9745864271231
2011-08-08,881.3764182547881
2011-08-09,855.8153877490503
2011-08-10,875.2361151105746
2011-08-11,869.4252690472623
2011-08-12,872.5425017114816
2011-08-15,880.4240755777538
2011-08-16,889.7046253316023
2011-08-17,892.0384328674888
2011-08-18,883.0822286587946
2011-08-19,844.2757646429823
2011-08-22,843.1869179935645
2011-08-23,865.0213073476096
2011-08-24,853.3655602591044
2011-08-25,861.1479334463859
2011-08-26,861.2456433893456
2011-08-29,870.5194115975271
2011-08-30,885.2696103703512
2011-08-31,902.1330902786322
2011-09-01,915.5337422755019
2011-09-02,907.8684467599622
2011-09-05,885.2560612019479
2011-09-06,880.7076259536454
2011-09-07,905.1217757704399
2011-09-08,909.9364160052247
2011-09-09,917.7752033986736
2011-09-12,897.863114736165
2011-09-13,888.9509353444688
2011-09-14,868.2275413497617
2011-09-15,869.1807792935432
2011-09-16,892.4506276303471
2011-09-19,878.3985793548694
2011-09-20,874.1524784446071
2011-09-21,873.7356041343711
2011-09-22,837.7712898822416
2011-09-23,816.2620617734772
2011-09-26,799.4746991755485
2011-09-27,832.953716291323
2011-09-28,835.1943495570259
2011-09-29,834.3946329106913
2011-09-30,839.0112778855008
2011-10-03,820.5067473021096
2011-10-04,797.5724995798912
2011-10-05,800.3082252283525
2011-10-06,825.3058454497237
2011-10-07,844.6328433933137
2011-10-10,843.7047736130477
2011-10-11,859.2270956378692
2011-10-12,860.4609614952465
2011-10-13,875.4448031712728
2011-10-14,866.1869259187608
2011-10-17,887.7718122824886
2011-10-18,867.380843008333
2011-10-19,872.8751673685887
2011-10-20,857.7612128080915
2011-10-21,851.3764628546687
2011-10-24,882.7229789485779
2011-10-25,886.5157783687399
2011-10-26,891.8419477673157
2011-10-27,902.6063772015332
2011-10-28,913.2989659551066
2011-10-31,915.278782015766
2011-11-01,910.4837838279044
2011-11-02,903.6923224176286
2011-11-03,894.1289523091461
2011-11-04,919.1455114894796
2011-11-07,915.4762039113738
2011-11-08,910.762953752123
2011-11-09,927.3798972713263
2011-11-10,890.4245931159307
2011-11-11,897.1342694781508
2011-11-14,914.9481763459816
2011-11-15,913.771601804501
2011-11-16,899.9549638236577
2011-11-17,898.570266841849
2011-11-18,878.7283253273913
2011-11-21,863.5005434397069
2011-11-22,861.4743711325696
2011-11-23,847.0778034393845
2011-11-24,852.054570619805
2011-11-25,844.7500790013353
2011-11-28,863.581936363721
2011-11-29,878.4027303594185
2011-11-30,876.0057412258236
2011-12-01,914.6537747130045
2011-12-02,922.289881364699
2011-12-05,923.3800242738444
2011-12-06,915.2292936850056
2011-12-07,927.549171019092
2011-12-08,924.3200362128694
2011-12-09,897.750169466999
2011-12-12,910.5481601905502
2011-12-13,907.1451384457914
2011-12-14,908.3955656081996
2011-12-15,889.392961665283
2011-12-16,897.3897079433268
2011-12-19,877.8675301915376
2011-12-20,877.3143861483801
2011-12-21,908.4497088609328
2011-12-22,904.8475783383394
2011-12-23,918.2731326894706
2011-12-26,916.8879715975395
2011-12-27,911.2946404343371
2011-12-28,910.9850087354778
2011-12-29,912.5557480960978
2011-12-30,910.2700256060851
2012-01-02,908.9106510721743
2012-01-03,924.7070070742385
2012-01-04,937.838282356267
2012-01-05,941.8966328433447
2012-01-06,938.039991736882
2012-01-09,938.0410445960518
2012-01-10,952.4588547142121
2012-01-11,962.1813892574005
2012-01-12,956.8663537223435
2012-01-13,973.2821057445428
2012-01-16,962.0236470772015
2012-01-17,983.4736798459007
2012-01-18,978.7517603673058
2012-01-19,984.4627909611255
2012-01-20,991.6686407807018
2012-01-23,983.9082259683482
2012-01-24,987.9855926856872
2012-01-25,995.5704307581163
2012-01-26,993.7364171875327
2012-01-27,1000.5256060618902
2012-01-30,991.0242101621509
2012-01-31,1004.4499161697992
2012-02-01,996.5438879515523
2012-02-02,1015.520546791529
2012-02-03,1020.3045843167796
2012-02-06,1023.721910415487
2012-02-07,1012.1911243486929
2012-02-08,1025.648929895395
2012-02-09,1024.0901040059334
2012-02-10,1016.1919718548334
2012-02-13,1021.9109841385724
2012-02-14,1023.1797476015253
2012-02-15,1044.264483447087
2012-02-16,1030.3750839308798
2012-02-17,1031.5434376721576
2012-02-20,1030.9908327439978
2012-02-21,1031.4861282406916
2012-02-22,1032.9701189386205
2012-02-23,1020.9009469143153
2012-02-24,1014.4919703444798
2012-02-27,1009.2326461857198
2012-02-28,1017.9569930976455
2012-02-29,1035.959849447719
2012-03-01,1030.1045004472974
2012-03-02,1044.5021394759885
2012-03-05,1028.1739999387412
2012-03-06,1017.416112999486
2012-03-07,1007.264203341313
2012-03-08,1010.6302099302466
2012-03-09,1031.4792153255278
2012-03-12,1020.947364017366
2012-03-13,1037.2315374316286
2012-03-14,1046.8944003751365
2012-03-15,1042.4315047562657
2012-03-16,1033.3479893333833
2012-03-19,1026.5158955982342
2012-03-20,1018.8853168021762
2012-03-21,1015.570809293655
2012-03-22,1013.3097701758771
2012-03-23,1007.0231660129709
2012-03-26,997.2139477255995
2012-03-27,1013.4285591901103
2012-03-28,1011.5861644229154
2012-03-29,1001.9893694329077
2012-03-30,1003.1696555488268
2012-04-02,1007.6839216454824
2012-04-03,1013.2924342795477
2012-04-04,1019.735500140406
2012-04-05,1021.472313426657
2012-04-06,1022.1856529165844
2012-04-09,1012.2347232617113
2012-04-10,1005.8623349930863
2012-04-11,998.3704573513049
2012-04-12,1003.0806375599064
2012-04-13,1021.778347517956
2012-04-16,1016.0941604299553
2012-04-17,1005.9404523383706
2012-04-18,1016.3373664042498
2012-04-19,1015.8506021912842
2012-04-20,1006.177798282138
2012-04-23,1002.413985753603
2012-04-24,997.7588477231681
2012-04-25,1001.2773861534774
2012-04-26,1002.5437068240808
2012-04-27,1001.287008097301
2012-04-30,1010.5273974659951
2012-05-01,1011.8926517499331
2012-05-02,1025.090420759568
2012-05-03,1019.6270259798981
2012-05-04,1015.0292023321668
2012-05-07,999.0497868708787
2012-05-08,1001.8851269208923
2012-05-09,993.0190519292634
2012-05-10,992.0430929446175
2012-05-11,981.7034261252586
2012-05-14,982.6383089145239
2012-05-15,984.8468544288784
2012-05-16,956.6761711852982
2012-05-17,962.525696222765
2012-05-18,936.0334422474352
2012-05-21,937.8433998625655
2012-05-22,951.843503060352
2012-05-23,944.6318089187263
2012-05-24,944.193796978677
2012-05-25,947.2547268874059
2012-05-28,953.7398838095902
2012-05-29,970.8746065467626
2012-05-30,970.4579859459639
2012-05-31,968.6271584392089
2012-06-01,959.0621868146616
2012-06-04,928.0464063292384
2012-06-05,939.3534413163394
2012-06-06,950.0216601403747
2012-06-07,960.6809762549826
2012-06-08,956.1668376573563
2012-06-11,969.8048804189576
2012-06-12,970.6834035388042
2012-06-13,966.4863616780599
2012-06-14,960.5052957569894
2012-06-15,970.2424337881398
2012-06-18,988.4918932058291
2012-06-19,983.7250539257461
2012-06-20,987.945229795764
2012-06-21,982.0796985903593
2012-06-22,971.269384009369
2012-06-25,965.3963363013221
2012-06-26,966.4919512001
2012-06-27,975.7875385317416
2012-06-28,974.3550116317707
2012-06-29,980.0689756231304
2012-07-02,992.6812661159844
2012-07-03,1003.5967501857368
2012-07-04,1016.5157794997325
2012-07-05,1027.4957174932995
2012-07-06,1027.428893240852
