Date,ACWI ex USA SRI
2011-05-31,1000.0
2011-06-01,995.508968906507
2011-06-02,984.7769338554453
2011-06-03,987.0402343456133
2011-06-06,982.565759344697
2011-06-07,986.5944252713707
2011-06-08,976.7494730900552
2011-06-09,977.56447023211
2011-06-10,963.5443900316448
2011-06-13,963.4543599616301
2011-06-14,976.3742152095566
2011-06-15,962.9797985436497
2011-06-16,946.7648836201287
2011-06-17,952.5775997060309
2011-06-20,949.33444201662
2011-06-21,964.7756648951586
2011-06-22,965.7047806874136
2011-06-23,943.8447463507996
2011-06-24,945.4142123031776
2011-06-27,946.5404777747729
2011-06-28,955.4030279405206
2011-06-29,972.3715314453599
2011-06-30,987.2240095327427
2011-07-01,991.8810843335565
2011-07-04,997.695518519534
2011-07-05,996.4848203075796
2011-07-06,989.7528093364806
2011-07-07,994.9773760750719
2011-07-08,989.3393170691295
2011-07-11,968.6688290318826
2011-07-12,960.8033728673821
2011-07-13,977.3130555597437
2011-07-14,970.2985940628458
2011-07-15,969.3929533464508
2011-07-18,956.2643689679164
2011-07-19,968.105793976983
2011-07-20,978.156026103684
2011-07-21,991.3267434943504
2011-07-22,998.4248320859516
2011-07-25,993.293497414539
2011-07-26,1000.7369720251204
2011-07-27,989.142050312418
2011-07-28,984.000330712945
2011-07-29,981.6459228241432
2011-08-01,975.9219094222572
2011-08-02,957.6810871884472
2011-08-03,945.6578409610786
2011-08-04,911.4092128909904
2011-08-05,891.3244658096877
2011-08-08,858.9202016933208
2011-08-09,865.7333108795078
2011-08-10,857.0284242270202
2011-08-11,871.6428639610966
2011-08-12,884.0311838974267
2011-08-15,899.906613785025
2011-08-16,898.1367087450068
2011-08-17,904.8666957351445
2011-08-18,869.629473501649
2011-08-19,856.082852477528
2011-08-22,855.8789117964303
2011-08-23,867.8432622072448
2011-08-24,871.741203960712
2011-08-25,862.2490264736344
2011-08-26,862.6655948637592
2011-08-29,880.6209530219988
2011-08-30,886.2159825700901
2011-08-31,903.0933258656088
2011-09-01,904.5721002748438
2011-09-02,887.8498867721331
2011-09-05,858.135606819125
2011-09-06,848.1383478058117
2011-09-07,868.6025382340234
2011-09-08,873.5481763047446
2011-09-09,848.0600688542143
2011-09-12,825.7847721412892
2011-09-13,831.9470383470901
2011-09-14,832.5479846916578
2011-09-15,851.4244932910436
2011-09-16,857.3349510733896
