Date,ACWI ex JAPAN SRI
2011-05-31,1000.0
2011-06-01,985.8732317997958
2011-06-02,980.2063057379071
2011-06-03,977.2303845913875
2011-06-06,971.9985301865107
2011-06-07,973.4015530269796
2011-06-08,963.5070424907083
2011-06-09,966.9500621892219
2011-06-10,952.1083078701649
2011-06-13,952.4733170777263
2011-06-14,965.7479665373886
2011-06-15,950.1014316872868
2011-06-16,942.7025700665586
2011-06-17,948.3949495385216
2011-06-20,949.3461569846817
2011-06-21,963.7446453197294
2011-06-22,959.8458500176708
2011-06-23,945.663529150303
2011-06-24,940.8520039816293
2011-06-27,946.304650568307
2011-06-28,957.001574899709
2011-06-29,970.0405910254798
2011-06-30,983.1850909116661
2011-07-01,993.3258047159749
2011-07-04,996.0842261480864
2011-07-05,994.0655780332803
2011-07-06,989.1198076261592
2011-07-07,997.6291043978091
2011-07-08,988.8468569980532
2011-07-11,967.759862553032
2011-07-12,961.8327062066259
2011-07-13,972.9396657965741
2011-07-14,966.1094995786159
2011-07-15,966.9494956502168
2011-07-18,954.126076086411
2011-07-19,970.0969090257803
2011-07-20,974.966965944606
2011-07-21,989.0679780400513
2011-07-22,992.4966172281263
2011-07-25,987.6600771615749
2011-07-26,989.026924650078
2011-07-27,972.0229340998809
2011-07-28,969.2387218727754
2011-07-29,965.2634635840265
2011-08-01,956.7540856815585
2011-08-02,935.7043128825468
2011-08-03,931.8121075458803
2011-08-04,893.6511310491068
2011-08-05,882.5858668040107
2011-08-08,838.0371387052718
2011-08-09,859.3670656248776
2011-08-10,835.6550747379957
2011-08-11,865.3904517305288
2011-08-12,875.8636343843812
2011-08-15,893.3496902805653
2011-08-16,888.2099428565045
2011-08-17,891.6901778229313
2011-08-18,851.8961090498785
2011-08-19,838.2585297560256
2011-08-22,841.007239389581
2011-08-23,860.3851266762316
2011-08-24,870.1644715342408
2011-08-25,856.7577829705109
2011-08-26,862.0284796875184
2011-08-29,884.5899643085044
2011-08-30,887.6405495077508
2011-08-31,899.8158182064083
2011-09-01,895.9393675712147
2011-09-02,875.6815279449004
2011-09-05,858.3121031241506
2011-09-06,851.2505074276564
2011-09-07,874.4143398983117
2011-09-08,873.4133596476481
2011-09-09,846.8609778146684
2011-09-12,835.2794248783109
2011-09-13,842.4363877964643
2011-09-14,849.491797081026
2011-09-15,867.5988232299866
2011-09-16,871.5927052546397
2011-09-19,853.8874413318943
2011-09-20,860.623283091827
2011-09-21,842.9704848096588
2011-09-22,804.8739770692615
2011-09-23,805.7830833764018
2011-09-26,817.4150184165463
2011-09-27,844.7949039992545
2011-09-28,833.5559527584215
2011-09-29,840.0060268156028
2011-09-30,821.4062967623693
2011-10-03,801.0217923948561
2011-10-04,798.6036444136095
2011-10-05,814.2251339663492
