Date,NORTH AMERICA MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,991.925525502132
1999-01-05,1005.9149589880848
1999-01-06,1031.6063869125742
1999-01-07,1033.2218571961212
1999-01-08,1044.6892801551712
1999-01-11,1036.8201413049717
1999-01-12,1012.8880843545099
1999-01-13,1001.0800662695267
1999-01-14,987.3184498302368
1999-01-15,1021.2744381293884
1999-01-18,1020.7825790401527
1999-01-19,1033.9172727961422
1999-01-20,1043.4686268972528
1999-01-21,1017.7831025471243
1999-01-22,1009.9928847413123
1999-01-25,1018.5258292067726
1999-01-26,1045.140868364835
1999-01-27,1046.816062246832
1999-01-28,1075.4538653620289
1999-01-29,1093.3198054066875
1999-02-01,1091.1768391693479
1999-02-02,1075.0390324104656
1999-02-03,1085.72447791248
1999-02-04,1065.5265370534928
1999-02-05,1053.1628738989436
1999-02-08,1062.5322549415826
1999-02-09,1029.1639364331272
1999-02-10,1033.7478977770554
1999-02-11,1067.8779291444366
1999-02-12,1048.0002679653028
1999-02-15,1051.8761400287294
1999-02-16,1071.4037437185548
1999-02-17,1047.7639182304442
1999-02-18,1061.6140437716954
1999-02-19,1076.9593328627122
1999-02-22,1114.7916079888312
1999-02-23,1122.9468791587376
1999-02-24,1108.8392495529993
1999-02-25,1091.3748731533283
1999-02-26,1093.9216539315898
1999-03-01,1093.6109047534635
1999-03-02,1082.4272899771538
1999-03-03,1086.0385514577702
1999-03-04,1110.658736385839
1999-03-05,1135.1929066412622
1999-03-08,1144.334415731133
1999-03-09,1145.0740627259622
1999-03-10,1138.3137191748287
1999-03-11,1161.6952707629894
1999-03-12,1142.95265161857
1999-03-15,1157.6909817935414
1999-03-16,1163.4399010204954
1999-03-17,1145.2266566286671
1999-03-18,1165.7613003901192
1999-03-19,1155.707703359346
1999-03-22,1156.1606715502921
1999-03-23,1124.9186881106657
1999-03-24,1127.6812493774084
1999-03-25,1154.9036962197795
1999-03-26,1162.0677166025246
1999-03-29,1193.5698451107107
1999-03-30,1188.0764745031038
1999-03-31,1169.6939547544728
1999-04-01,1178.2559393137772
1999-04-02,1180.9202044280887
1999-04-05,1219.162907130561
1999-04-06,1216.3847833113507
1999-04-07,1218.6138921250108
1999-04-08,1232.8298613865447
1999-04-09,1244.2469129979568
1999-04-12,1243.5345919352203
1999-04-13,1235.6859936777691
1999-04-14,1196.106727862167
1999-04-15,1188.1287590175116
1999-04-16,1173.4009958413194
1999-04-19,1131.513156370431
1999-04-20,1155.1969129419113
1999-04-21,1201.7306235860115
1999-04-22,1232.3481420883659
1999-04-23,1228.6591994898533
1999-04-26,1243.3644440132548
1999-04-27,1228.86071594887
1999-04-28,1207.0060536858248
1999-04-29,1195.121114282739
1999-04-30,1191.923792578883
1999-05-03,1202.5838933861837
1999-05-04,1174.2627619609339
1999-05-05,1185.4948189929808
1999-05-06,1154.8801363778741
1999-05-07,1165.3140236522129
1999-05-10,1162.4164328198717
1999-05-11,1191.2988948562086
1999-05-12,1208.254672309064
1999-05-13,1215.660356131498
1999-05-14,1177.5424830554352
1999-05-17,1191.0115853134805
1999-05-18,1185.6781194866471
1999-05-19,1196.407661161922
1999-05-20,1190.8793371309123
1999-05-21,1184.6182762832743
1999-05-24,1159.468527023696
1999-05-25,1133.24474233937
1999-05-26,1167.4275428830213
1999-05-27,1150.7062919071193
1999-05-28,1170.8102048796236
1999-05-31,1173.9580591894699
1999-06-01,1155.099974462701
1999-06-02,1174.2352816552238
1999-06-03,1177.3822443374563
1999-06-04,1216.8181500247197
1999-06-07,1224.0305400141383
1999-06-08,1188.1569596992838
1999-06-09,1195.2136703787878
1999-06-10,1173.357138675702
1999-06-11,1160.99866697256
1999-06-14,1159.580815380819
1999-06-15,1169.9024264442894
1999-06-16,1220.4226062377013
1999-06-17,1229.7504143222134
1999-06-18,1229.3673392522387
1999-06-21,1253.0515701633842
1999-06-22,1235.4982233475625
1999-06-23,1237.479267794848
1999-06-24,1212.5666458090363
1999-06-25,1198.3149417684876
1999-06-28,1229.6152285136086
1999-06-29,1251.830563719616
1999-06-30,1273.1940689292294
1999-07-01,1289.1377032090568
1999-07-02,1309.1631395008176
1999-07-05,1308.3561523109622
1999-07-06,1303.493498432397
1999-07-07,1314.787365052821
1999-07-08,1327.0128504889076
1999-07-09,1334.1194224621672
1999-07-12,1336.0269171772957
1999-07-13,1327.031514353035
1999-07-14,1330.2812737443357
1999-07-15,1334.5152252825437
1999-07-16,1346.3444976121539
1999-07-19,1344.9080912607792
1999-07-20,1273.2906355678972
1999-07-21,1268.4113136278468
1999-07-22,1243.2185575058577
1999-07-23,1246.6303938290816
1999-07-26,1207.9306570100655
1999-07-27,1227.9729496010173
1999-07-28,1238.1133954366874
1999-07-29,1202.081889849271
1999-07-30,1193.156915117811
1999-08-02,1191.6093250228823
