Date,EUROPE MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0005835645749
1999-01-04,1045.352746839152
1999-01-05,1064.4101496573846
1999-01-06,1083.5919860430822
1999-01-07,1066.981563508828
1999-01-08,1066.9842457807754
1999-01-11,1048.901143118653
1999-01-12,1031.1405005016254
1999-01-13,994.9554602730722
1999-01-14,1008.736272943181
1999-01-15,1030.4963604686743
1999-01-18,1059.1726383590249
1999-01-19,1053.6639713808745
1999-01-20,1068.2844845580942
1999-01-21,1056.330258044549
1999-01-22,1024.9431726169944
1999-01-25,1030.898690514348
1999-01-26,1033.350853897618
1999-01-27,1033.885003448197
1999-01-28,1047.449595082113
1999-01-29,1052.9302915930873
1999-02-01,1067.5454276496077
1999-02-02,1053.7990290399985
1999-02-03,1037.589354884358
1999-02-04,1036.4439201080993
1999-02-05,1025.1254015558666
1999-02-08,1014.3004948726134
1999-02-09,990.5282695269573
1999-02-10,984.0730260488294
1999-02-11,1004.2167536582199
1999-02-12,1015.0134250022483
1999-02-15,1020.7091031463808
1999-02-16,1021.9385424665317
1999-02-17,1009.1750151409257
1999-02-18,1016.309789764533
1999-02-19,1027.4938933071849
1999-02-22,1041.7573577360195
1999-02-23,1059.3853614842446
1999-02-24,1070.8552476458892
1999-02-25,1052.1500653868718
1999-02-26,1046.6363928528342
1999-03-01,1030.9156356777949
1999-03-02,1034.3966421882114
1999-03-03,1021.4485031647088
1999-03-04,1027.709213188572
1999-03-05,1049.419469214038
1999-03-08,1042.8562743104549
1999-03-09,1044.0605377273375
1999-03-10,1039.3276547459845
1999-03-11,1048.1728992330316
1999-03-12,1050.1133080074376
1999-03-15,1043.6396936068993
1999-03-16,1043.2290764323643
1999-03-17,1032.3616842930683
1999-03-18,1025.4993998685854
1999-03-19,1038.1304583964125
1999-03-22,1034.0568653282517
1999-03-23,1013.2331443995658
1999-03-24,1003.8635934208819
1999-03-25,1018.5037920438274
1999-03-26,1012.5161101191023
1999-03-29,1030.280408782547
1999-03-30,1024.8925789155578
1999-03-31,1040.7204791444053
1999-04-01,1045.2447851304025
1999-04-02,1045.6559492433262
1999-04-05,1046.858894872046
1999-04-06,1063.2300283697853
1999-04-07,1067.891328665007
1999-04-08,1069.8918595027747
1999-04-09,1072.5514822640025
1999-04-12,1065.1978560903767
1999-04-13,1075.7519240539566
1999-04-14,1067.1856314631034
1999-04-15,1051.2573301243992
1999-04-16,1040.7756894508002
1999-04-19,1051.0058679355564
1999-04-20,1019.2838917843236
1999-04-21,1028.6439977764444
1999-04-22,1044.2509385163996
1999-04-23,1038.2975014426218
1999-04-26,1048.9996053692105
1999-04-27,1071.595796875284
1999-04-28,1067.7548137787333
1999-04-29,1056.9077550194575
1999-04-30,1061.550725905383
1999-05-03,1066.5784603972963
1999-05-04,1059.018723403479
1999-05-05,1041.7576906664483
1999-05-06,1033.2769359775864
1999-05-07,1029.9339170932656
1999-05-10,1034.6976766890987
1999-05-11,1039.92570946688
1999-05-12,1038.0453827101478
1999-05-13,1047.418714222078
1999-05-14,1028.184550344737
1999-05-17,1012.4666507159392
1999-05-18,1026.1506975481211
1999-05-19,1041.2006175109705
1999-05-20,1057.2252736433848
