Date,SWITZERLAND IMI MINIMUM VOLATILITY (CHF)
2001-05-31,1000.0
2001-06-01,1005.5203496381656
2001-06-04,1006.4528381365176
2001-06-05,1015.4998834360978
2001-06-06,1012.4946699005332
2001-06-07,1012.3562330665735
2001-06-08,1007.5722235447199
2001-06-11,1006.6359327489054
2001-06-12,994.4997293852533
2001-06-13,998.5038010685822
2001-06-14,988.1918610727448
2001-06-15,982.9181101235544
2001-06-18,978.2875465886154
2001-06-19,977.0557621624721
2001-06-20,970.0010141894992
2001-06-21,973.2995652461846
2001-06-22,970.6038192390484
2001-06-25,969.817907219887
2001-06-26,960.6291654161798
2001-06-27,953.2009841922736
2001-06-28,969.8748186527437
2001-06-29,975.3281037458598
2001-07-02,981.6145140928287
2001-07-03,974.8646678506709
2001-07-04,970.540723416057
2001-07-05,964.6111520814984
2001-07-06,952.1379356944377
2001-07-09,951.438002286636
2001-07-10,942.8638598029268
2001-07-11,938.6054015671679
2001-07-12,952.8876913912266
2001-07-13,953.9946654516208
2001-07-16,953.4956969758133
2001-07-17,949.1612290143038
2001-07-18,950.984601205641
2001-07-19,964.0077749565143
2001-07-20,957.8915081712638
2001-07-23,957.1245683640041
2001-07-24,942.8805209646687
2001-07-25,933.164541420909
2001-07-26,931.760323754743
2001-07-27,939.7518107727434
2001-07-30,945.2410189947856
2001-07-31,946.3151233018679
2001-08-01,955.5522833727017
2001-08-02,958.8228008510332
2001-08-03,953.9496500580437
2001-08-06,954.7043891591494
2001-08-07,955.1203271704384
2001-08-08,954.3115167670976
2001-08-09,937.5382702264957
2001-08-10,925.7468976892244
2001-08-13,933.2513306518257
2001-08-14,942.1436606891136
2001-08-15,937.1828824131951
2001-08-16,927.7337456007454
2001-08-17,922.2049441459216
2001-08-20,919.8263143392634
2001-08-21,928.1213545046155
2001-08-22,917.9287676012534
2001-08-23,916.379105801432
2001-08-24,924.7039775316233
2001-08-27,930.1815065147003
2001-08-28,918.7694212359547
2001-08-29,909.8705171642374
2001-08-30,907.5045406558751
2001-08-31,912.4441567008333
2001-09-03,896.9600094196368
2001-09-04,908.3622421354303
2001-09-05,905.2829642639399
2001-09-06,894.0650975052575
2001-09-07,877.2231730004877
2001-09-10,863.8511773154604
2001-09-11,814.5875001576336
2001-09-12,831.6138409963206
2001-09-13,842.0722587687245
2001-09-14,815.0895759931736
2001-09-17,835.4800939964637
2001-09-18,828.9618989169663
2001-09-19,821.0733996573
2001-09-20,787.1993246070289
2001-09-21,763.8995795480506
2001-09-24,788.1484041747248
2001-09-25,806.9001103079363
2001-09-26,810.0813519873135
2001-09-27,811.451476520181
2001-09-28,837.4369730662656
2001-10-01,826.6727100302923
2001-10-02,824.0966519599502
2001-10-03,822.1367785403495
2001-10-04,836.6182538705455
2001-10-05,830.5928047259765
2001-10-08,834.0666503759753
2001-10-09,831.3191015151777
2001-10-10,836.1085725677505
2001-10-11,850.374873163886
2001-10-12,843.5775496709023
2001-10-15,839.7694529145523
2001-10-16,838.3618319682611
2001-10-17,844.1766719352715
2001-10-18,850.9113080764054
2001-10-19,848.090070176572
2001-10-22,858.0056396069657
2001-10-23,869.9370964238184
2001-10-24,869.3407866746985
2001-10-25,864.210892429545
2001-10-26,873.431242143194
2001-10-29,860.4427353641412
2001-10-30,848.4535419118544
2001-10-31,857.3032082941266
2001-11-01,856.0330017884298
2001-11-02,857.288956963195
2001-11-05,869.2864461742921
2001-11-06,869.6080095880251
2001-11-07,874.0011028908084
2001-11-08,891.7277335746377
2001-11-09,887.5358930852576
2001-11-12,877.3261226073864
2001-11-13,888.5106944288806
2001-11-14,894.5084327806296
2001-11-15,910.1424984567228
2001-11-16,917.528875090053
2001-11-19,927.4265138032974
2001-11-20,918.1093143895789
2001-11-21,917.3593362772158
2001-11-22,921.909965954386
2001-11-23,911.5267322699254
2001-11-26,911.3548964995952
2001-11-27,905.8345469171059
2001-11-28,895.6057018332275
2001-11-29,891.875569771482
2001-11-30,884.335367353724
2001-12-03,884.1576071721696
2001-12-04,897.9538288088028
2001-12-05,904.8533363889582
2001-12-06,903.1326369317824
2001-12-07,899.7928978357335
2001-12-10,889.5305310623729
2001-12-11,886.9801113416074
2001-12-12,888.7609801118041
2001-12-13,881.7832497301373
2001-12-14,875.0186689152491
2001-12-17,886.9920908207279
2001-12-18,886.4972519405059
2001-12-19,877.9540726016133
2001-12-20,891.908800898049
2001-12-21,900.1491828177103
2001-12-24,889.6986611968637
2001-12-25,889.6986611968637
2001-12-26,888.7551505685286
2001-12-27,896.7295032510203
2001-12-28,901.072945125976
2001-12-31,902.3134478838806
2002-01-01,902.3134478838806
2002-01-02,894.3253206953352
2002-01-03,894.5529115736891
2002-01-04,903.3265004175082
2002-01-07,904.3547667092143
2002-01-08,894.5123130350892
