Date,USA IMI MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1004.4410843795607
2001-06-04,1008.3828065693394
2001-06-05,1015.0863109757928
2001-06-06,1007.8404257583186
2001-06-07,1005.1496355999435
2001-06-08,1004.196026317586
2001-06-11,1009.451733485779
2001-06-12,1003.9335763905009
2001-06-13,994.7437329412701
2001-06-14,974.9763212958005
2001-06-15,968.8162492275835
2001-06-18,967.750571967636
2001-06-19,973.462089044225
2001-06-20,985.0646760523904
2001-06-21,982.4218868622373
2001-06-22,974.0693025953856
2001-06-25,961.4558655799615
2001-06-26,963.7430003333611
2001-06-27,962.2688121028333
2001-06-28,981.7717053756389
2001-06-29,984.1013754755116
2001-07-02,990.4109709873692
2001-07-03,989.2863760850809
2001-07-04,990.3976052394182
2001-07-05,997.1124592831105
2001-07-06,976.814687531323
2001-07-09,972.5318804871894
2001-07-10,959.4823655649982
2001-07-11,951.007567233473
2001-07-12,969.7599418422141
2001-07-13,974.774837018019
2001-07-16,966.7634085985064
2001-07-17,976.5030195589384
2001-07-18,954.7321107607285
2001-07-19,960.5893115452628
2001-07-20,954.28504275064
2001-07-23,946.6956148471215
2001-07-24,926.5290447574552
2001-07-25,934.9463521193973
2001-07-26,943.9381879407913
2001-07-27,947.5222337370615
2001-07-30,946.1612140402851
2001-07-31,950.9513492487152
2001-08-01,947.3135065839203
2001-08-02,946.3852079596742
2001-08-03,940.5242700392591
2001-08-06,940.0962728772818
2001-08-07,946.948640420731
2001-08-08,938.5348637191612
2001-08-09,927.7077433164004
2001-08-10,927.7580320359989
2001-08-13,925.3209629361882
2001-08-14,927.5554309850043
2001-08-15,913.6761814317479
2001-08-16,914.0747773160266
2001-08-17,903.9174894271798
2001-08-20,913.4794941620066
2001-08-21,911.3309244253534
2001-08-22,906.6624850601648
2001-08-23,914.2530647150492
2001-08-24,921.5070032198373
2001-08-27,923.3034489629094
2001-08-28,915.334160167858
2001-08-29,908.9190029371753
2001-08-30,900.6032843805742
2001-08-31,901.0735647165334
2001-09-03,903.0121055938471
2001-09-04,923.2982048944023
2001-09-05,926.555888710155
2001-09-06,912.4069281945165
2001-09-07,888.9276919231684
2001-09-10,894.393597202104
2001-09-11,886.505071755537
2001-09-12,888.2268324858878
2001-09-13,885.6353967200753
2001-09-14,873.8025535963985
2001-09-17,850.694035453301
2001-09-18,847.0254589875054
2001-09-19,827.7697176245485
