Date,NIHONKABU IMI MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,998.9020114024754
2001-06-04,998.289098754617
2001-06-05,989.9379640380657
2001-06-06,990.2458001828876
2001-06-07,994.0904131251276
2001-06-08,990.1164342223768
2001-06-11,984.8953395153877
2001-06-12,957.7929510226213
2001-06-13,958.7175168253427
2001-06-14,953.4317843832156
2001-06-15,943.2346729645316
2001-06-18,938.6039017590971
2001-06-19,940.2388159624103
2001-06-20,946.5143342865798
2001-06-21,952.8539406879856
2001-06-22,963.3896687719233
2001-06-25,952.0379321307482
2001-06-26,958.4373872203007
2001-06-27,953.3093789423175
2001-06-28,955.6368675124128
2001-06-29,972.5089262022169
2001-07-02,968.1673060743238
2001-07-03,971.7637132468825
2001-07-04,965.9685916932185
2001-07-05,970.637233823349
2001-07-06,946.6967997286145
2001-07-09,939.899926144951
2001-07-10,935.9256421134626
2001-07-11,927.2153904439788
2001-07-12,949.7248929373552
2001-07-13,939.6520846436407
2001-07-16,932.4053120862635
2001-07-17,930.9516216243994
2001-07-18,899.9565663716177
2001-07-19,906.5426890913991
2001-07-20,906.1694888678862
2001-07-23,884.3996459729617
2001-07-24,888.4923254031943
2001-07-25,889.021602048641
2001-07-26,890.9827787958667
2001-07-27,895.8302803956154
2001-07-30,880.3619352757489
2001-07-31,892.9888636760361
2001-08-01,896.1140860196502
2001-08-02,912.9247449535098
2001-08-03,900.1163212407758
2001-08-06,905.5952031312202
2001-08-07,915.1736179707166
2001-08-08,917.4208612551445
2001-08-09,886.4248038775243
2001-08-10,888.0079986919451
2001-08-13,875.8148772229941
2001-08-14,898.1790683467043
2001-08-15,895.692967846555
2001-08-16,883.7863544800811
2001-08-17,876.2354123272897
2001-08-20,870.0824650741852
2001-08-21,879.2241860037599
2001-08-22,878.0905982431678
2001-08-23,875.2549274729242
2001-08-24,874.2076675923205
2001-08-27,879.0274037244635
2001-08-28,871.8639167124063
2001-08-29,863.8664248440235
2001-08-30,854.1810578375444
2001-08-31,855.8243444615889
2001-09-03,842.2258678808934
2001-09-04,871.956411989034
