Date,UK IMI MINIMUM VOLATILITY (GBP)
2001-05-31,1000.0
2001-06-01,1001.4074812086758
2001-06-04,1006.3146406041639
2001-06-05,1009.2896796298081
2001-06-06,997.9402140536897
2001-06-07,997.7156226761736
2001-06-08,993.7566057270167
2001-06-11,987.9120014910997
2001-06-12,979.8020459412304
2001-06-13,983.9899135330493
2001-06-14,978.4805692548681
2001-06-15,972.9835881494804
2001-06-18,970.0575853899505
2001-06-19,974.944940663661
2001-06-20,980.2723564054497
2001-06-21,984.0442711451476
2001-06-22,982.8062588295614
2001-06-25,977.3927381447254
2001-06-26,966.0903439879486
2001-06-27,973.9436772617584
2001-06-28,985.2712287265581
2001-06-29,987.2032646630946
2001-07-02,999.0843221436197
2001-07-03,984.0463183691375
2001-07-04,980.698587926962
2001-07-05,984.1462571465336
2001-07-06,974.117735445149
2001-07-09,967.9353160864937
2001-07-10,960.7474206503284
2001-07-11,953.5062659963736
2001-07-12,966.5821981491579
2001-07-13,968.7954309321849
2001-07-16,962.5108993437792
2001-07-17,958.5263957811547
2001-07-18,944.7227114591676
2001-07-19,952.2743624150988
2001-07-20,952.9474892401291
2001-07-23,952.708179887904
2001-07-24,936.0515291016927
2001-07-25,929.7108158095236
2001-07-26,932.0078747619298
2001-07-27,944.792849960841
2001-07-30,946.5272288912561
2001-07-31,958.1956623443517
2001-08-01,962.7779678419718
2001-08-02,962.7037608067081
2001-08-03,952.3942934222308
2001-08-06,948.3242198464726
2001-08-07,952.4639508746976
2001-08-08,944.1320026516842
2001-08-09,928.1304696510899
2001-08-10,928.3972600771352
2001-08-13,923.5280564335077
2001-08-14,931.5716497304265
2001-08-15,926.0571018359659
2001-08-16,921.4868044340379
2001-08-17,914.4844870586494
2001-08-20,920.9501150436943
2001-08-21,931.4697373040365
2001-08-22,926.7959587722892
2001-08-23,928.2073124864753
2001-08-24,936.9546287647229
2001-08-27,938.3358982011215
2001-08-28,939.0860579159546
2001-08-29,936.232177350059
2001-08-30,925.4420977022492
2001-08-31,927.686913869562
2001-09-03,927.3307295439224
2001-09-04,944.8090581672639
2001-09-05,944.4883569677761
2001-09-06,927.7464843363063
2001-09-07,901.5828531823879
2001-09-10,894.0966789538929
2001-09-11,850.724782150799
2001-09-12,862.8014836915388
2001-09-13,874.5220228343741
2001-09-14,840.8421098795944
2001-09-17,852.4876987378273
2001-09-18,836.9342065600218
2001-09-19,818.4924532842407
2001-09-20,795.488127291817
2001-09-21,776.4371681179848
2001-09-24,805.6532934552952
2001-09-25,808.4822902273212
2001-09-26,816.0292901234183
2001-09-27,827.1977589596321
2001-09-28,855.4331457014918
2001-10-01,840.2283635547662
2001-10-02,839.5631090646755
2001-10-03,849.7948847711148
2001-10-04,872.015993195876
2001-10-05,872.619358812313
2001-10-08,863.5662065952747
2001-10-09,857.6128719003534
2001-10-10,872.7848739309314
2001-10-11,881.5205731512775
2001-10-12,882.6798656025544
2001-10-15,867.9841987536038
2001-10-16,867.6951538777924
2001-10-17,886.9732558321384
2001-10-18,875.789785031323
2001-10-19,864.7284377660744
2001-10-22,866.6365261566656
2001-10-23,878.9844821004084
2001-10-24,876.1602345110269
2001-10-25,865.2448804417933
2001-10-26,883.6568963555981
2001-10-29,870.4841210116375
2001-10-30,859.1143059010424
2001-10-31,870.8924364309079
2001-11-01,875.2756235943522
2001-11-02,884.9788225344314
2001-11-05,898.1565466377616
2001-11-06,899.5083755934189
2001-11-07,901.1301677707078
2001-11-08,913.2349622278352
2001-11-09,911.1441131870347
2001-11-12,896.2679298893828
2001-11-13,915.9217481393538
2001-11-14,910.1381788201456
2001-11-15,902.6687209071007
2001-11-16,902.359144983988
2001-11-19,904.4338199417247
2001-11-20,896.5050257666807
2001-11-21,904.1886416617739
2001-11-22,904.693006718826
2001-11-23,897.4780680880405
2001-11-26,899.1598951441694
2001-11-27,892.5846000261303
2001-11-28,887.5242949015327
2001-11-29,886.0912315363463
2001-11-30,879.9909595791737
2001-12-03,876.9858178179998
2001-12-04,880.4620435654257
2001-12-05,890.8377685296858
2001-12-06,898.8087523055697
2001-12-07,887.8832827131473
2001-12-10,883.5982424104363
2001-12-11,881.8371423593328
2001-12-12,874.5437127471305
2001-12-13,868.4511732733292
2001-12-14,863.8858448371366
2001-12-17,874.4238298734947
2001-12-18,878.9040266930638
2001-12-19,875.6150502614231
2001-12-20,872.3385629644631
2001-12-21,890.0699419812277
2001-12-24,901.0625244671928
2001-12-25,900.9776306339309
2001-12-26,905.5474701754451
2001-12-27,906.4692846571288
2001-12-28,913.0295775870143
2001-12-31,907.0894022633734
2002-01-01,907.0047418348968
2002-01-02,887.4332597788317
2002-01-03,898.8108283321642
2002-01-04,904.2090036014372
2002-01-07,900.551911488517
2002-01-08,900.3719190138689
2002-01-09,897.9265712559337
2002-01-10,894.2311113475511
2002-01-11,897.6152207004629
2002-01-14,890.1368631968912
2002-01-15,897.7013546603338
2002-01-16,899.0993739045446
2002-01-17,904.7895095348292
2002-01-18,902.8236397805831
2002-01-21,906.2627727629306
2002-01-22,904.5932662396501
2002-01-23,906.5910378785796
2002-01-24,914.1946373841776
2002-01-25,915.3311147351787
2002-01-28,922.4324469124588
