Date,CANADA IMI MINIMUM VOLATILITY (CAD)
2001-05-31,1000.0
2001-06-01,1017.737579857094
2001-06-04,1020.7446665862273
2001-06-05,1015.7876260379064
2001-06-06,1018.3785798134347
2001-06-07,1017.2160470418304
2001-06-08,1018.8117267400961
2001-06-11,1029.1322474492792
2001-06-12,1019.5403976808299
2001-06-13,1017.2204677553193
2001-06-14,1000.5628663330679
2001-06-15,986.669291089197
2001-06-18,980.2468324747393
2001-06-19,983.2753102895444
2001-06-20,987.2297800744634
2001-06-21,987.3105948246858
2001-06-22,985.8939167035863
2001-06-25,978.2814410703073
2001-06-26,974.4718423725975
2001-06-27,969.6157326217401
2001-06-28,984.4406032436417
2001-06-29,1003.2571047223034
2001-07-02,1005.1458124778484
2001-07-03,1010.8770298103179
2001-07-04,1008.757723929834
2001-07-05,1017.0139475505331
2001-07-06,1000.0583454574584
2001-07-09,992.8478199527183
2001-07-10,981.1240532191761
2001-07-11,972.3049866546904
2001-07-12,987.2902996984594
2001-07-13,989.5264584088155
2001-07-16,975.8568143843607
2001-07-17,986.7362078633926
2001-07-18,963.8485192044507
2001-07-19,965.2744467313712
2001-07-20,961.3767186043195
2001-07-23,963.7141192547173
2001-07-24,958.2696512037891
2001-07-25,956.1876175785964
2001-07-26,956.8917181151716
2001-07-27,966.9269328166798
2001-07-30,967.2344007337299
2001-07-31,973.998210690867
2001-08-01,970.6053670557333
2001-08-02,970.9733647336179
2001-08-03,968.7990919266464
2001-08-06,979.9267385397891
2001-08-07,985.3824884997005
2001-08-08,979.6872329070071
2001-08-09,965.8585842652208
2001-08-10,951.3697107756665
2001-08-13,949.0758641964444
2001-08-14,947.8886810667183
2001-08-15,936.0590518000562
2001-08-16,938.6362213900929
2001-08-17,924.2502894391525
2001-08-20,928.9446548275873
2001-08-21,927.6805543706332
2001-08-22,925.8840845782098
2001-08-23,935.4369994822582
2001-08-24,944.7922497985985
2001-08-27,948.4745346046701
2001-08-28,943.5969378396223
2001-08-29,934.7947241093863
2001-08-30,929.626119401231
2001-08-31,925.4511391809176
2001-09-03,926.5882647735796
2001-09-04,954.7508698145243
2001-09-05,956.0785951155752
2001-09-06,951.028635149288
2001-09-07,929.5258007869292
2001-09-10,930.3681176366597
2001-09-11,885.9403509269916
2001-09-12,895.0821971830745
2001-09-13,898.1101642308925
2001-09-14,861.5080184088391
2001-09-17,869.3212758020252
2001-09-18,859.178946540444
2001-09-19,837.2904671315117
2001-09-20,819.8165044676762
2001-09-21,830.1841523287475
