Date,CHINA A INCLUSION RMB
2014-08-29,567.3835498208557
2014-09-01,572.2242357142112
2014-09-02,579.7378409774002
2014-09-03,585.6425070707547
2014-09-04,597.8914347838296
2014-09-05,604.0975523708262
2014-09-08,604.5640910064759
2014-09-09,604.3675215310436
2014-09-10,601.3454610658982
2014-09-11,596.8937132736055
2014-09-12,600.3127969950175
2014-09-15,598.2406834326399
2014-09-16,587.8551789998272
2014-09-17,590.4498127842902
2014-09-18,593.4576228998047
2014-09-19,600.8719991905858
2014-09-22,589.3026816055485
2014-09-23,592.3809552381473
2014-09-24,605.8367747527888
2014-09-25,606.7498456748399
2014-09-26,609.7182541154722
2014-09-29,609.4288425028136
2014-09-30,613.2848184586421
2014-10-01,615.0863776093681
2014-10-02,612.2669987891725
2014-10-03,619.2159588521597
2014-10-06,616.3832022578404
2014-10-07,613.4547841617544
2014-10-08,616.5882866665329
2014-10-09,617.0667669582856
2014-10-10,617.0022718512597
2014-10-13,610.8287352809971
2014-10-14,608.9848848974934
2014-10-15,608.9307086000725
2014-10-16,606.0320367987449
2014-10-17,606.6117246092027
2014-10-20,608.0000321778402
2014-10-21,605.5216946873479
2014-10-22,606.64202008011
2014-10-23,602.8304364348354
2014-10-24,600.4050568747193
2014-10-27,591.9336302437323
2014-10-28,602.0108015184496
2014-10-29,610.2050491218633
2014-10-30,621.9430084398732
2014-10-31,638.2223830318596
2014-11-03,640.3207393521379
2014-11-04,635.9896446838338
2014-11-05,636.7247416413459
2014-11-06,639.1513796757224
2014-11-07,639.3440137667407
2014-11-10,655.9489853690084
2014-11-11,657.8500915384694
2014-11-12,662.2312794005388
2014-11-13,660.0566102778872
2014-11-14,659.7321283355992
2014-11-17,657.3883081699332
2014-11-18,644.9367281836332
2014-11-19,642.6038941049507
2014-11-20,642.0569296087968
2014-11-21,659.7740693069203
2014-11-24,671.8632858232646
2014-11-25,678.8362301632774
2014-11-26,686.8589923154998
2014-11-27,698.791111914589
2014-11-28,715.1958276948892
2014-12-01,717.2739851963934
2014-12-02,749.1922824746102
2014-12-03,762.7217303373171
2014-12-04,790.95981770179
2014-12-05,810.4289604833496
2014-12-08,841.060734446267
2014-12-09,790.9470937591555
2014-12-10,819.9197469266804
2014-12-11,810.4107977693807
