Date,CHINA A 50
2004-11-30,1000.0
2004-12-02,989.6488679933395
2004-12-03,982.8933522509748
2004-12-06,979.1741625734605
2004-12-07,972.3135781925992
2004-12-08,984.7309765289258
2004-12-09,995.565165330868
2004-12-10,989.5868247502027
2004-12-13,980.3887090514517
2004-12-14,978.0894012746893
2004-12-15,973.4825897322071
2004-12-16,982.8809449290559
2004-12-17,975.1688351269582
2004-12-20,951.4502454974105
2004-12-21,952.4896387196434
2004-12-22,973.5764067830731
2004-12-23,951.4476137260683
2004-12-24,949.8462370100182
2004-12-27,939.6591004827211
2004-12-28,941.7464539845624
2004-12-29,939.7495023109029
2005-01-04,939.7986538034244
2005-01-05,946.5755963902652
2005-01-06,942.8122450769532
2005-01-07,951.1216400522832
2005-01-10,956.9225220703349
2005-01-11,956.5382008813599
2005-01-12,944.9736578834546
2005-01-13,949.7193550523327
2005-01-14,950.481012371058
2005-01-17,933.3270287745471
2005-01-18,945.1208775185057
2005-01-19,938.1265480989173
2005-01-20,937.6612772583836
2005-01-21,964.5768549917367
2005-01-24,974.7510305762958
2005-01-25,982.4387954069146
2005-01-26,965.8480609142746
2005-01-27,953.3703416053239
2005-02-02,1000.5134692138698
2005-02-03,992.8681863619937
2005-02-04,1019.8109081625237
2005-02-07,1028.6452990895998
2005-02-08,1033.6272116287612
2005-02-09,1032.0108431833507
2005-02-10,1023.765963071046
2005-02-11,1025.0380677119915
2005-02-14,1018.0803485590237
2005-02-15,1017.8448181140132
2005-02-16,1020.4206686787369
2005-02-17,1007.2322610248482
2005-02-18,993.8472659539543
2005-02-21,1013.8972654840326
2005-02-22,1018.7183654729656
2005-02-23,1012.3833462384982
2005-02-24,1010.6823675444737
2005-03-02,995.3938167852376
2005-03-03,1001.355402708672
2005-03-04,990.6607426507663
2005-03-07,1001.0744069610511
2005-03-08,1005.0589250231546
2005-03-09,998.8009717443225
2005-03-10,975.0019840974202
2005-03-11,976.3508032234929
2005-03-14,989.1460804299398
2005-03-15,973.4825040161054
2005-03-16,956.2871039931672
2005-03-17,951.3978519808153
2005-03-18,951.2221112877648
2005-03-21,961.2908978753965
2005-03-22,945.8085644346914
