Date,THAILAND
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,98.22956492566236
2001-01-03,99.50203357694976
2001-01-04,103.32910275012826
2001-01-05,107.38006104001143
2001-01-08,114.11660556774895
2001-01-09,118.14444284596252
2001-01-10,115.20154298859856
2001-01-11,114.77328571982761
2001-01-12,123.89008311836089
2001-01-15,125.17741424666471
2001-01-16,121.38800893315477
2001-01-17,125.46020039508119
2001-01-18,124.32396803877796
2001-01-19,126.99474839235694
2001-01-22,127.28457235465295
2001-01-23,128.65084629796814
2001-01-24,131.53223014076832
2001-01-25,137.87941585740484
2001-01-26,133.34730633077194
2001-01-29,131.33790776088432
2001-01-30,126.7110927345464
2001-01-31,132.12932108545417
2001-02-01,129.4787992152603
2001-02-02,133.15234262558906
2001-02-05,129.81435993568036
2001-02-06,128.52524858719414
2001-02-07,129.27436210919035
2001-02-08,131.36888393295314
2001-02-09,129.28582391742216
2001-02-12,126.28075255503278
2001-02-13,129.38982470656094
2001-02-14,127.99226148496979
2001-02-15,128.60654129235456
2001-02-16,127.66683303200827
2001-02-19,123.95562880280194
2001-02-20,125.82991056290476
2001-02-21,124.0452739009815
2001-02-22,123.78907531308138
2001-02-23,129.84812657994775
2001-02-26,128.99378352734965
2001-02-27,130.4105627742776
2001-02-28,128.65534956855146
2001-03-01,122.19287997521677
2001-03-02,115.31768287802872
2001-03-05,112.86967797574195
2001-03-06,113.72786941981282
2001-03-07,116.27793722141696
2001-03-08,114.36165681148475
2001-03-09,117.37412905656055
2001-03-12,119.09700742858708
2001-03-13,119.58885216958686
2001-03-14,116.72600414158605
2001-03-15,114.43997239241817
2001-03-16,113.24163156171487
2001-03-19,112.99838394353813
2001-03-20,112.8817944630832
2001-03-21,112.2120714718255
2001-03-22,112.80656784440617
2001-03-23,113.09366361414612
2001-03-26,113.21616346815559
2001-03-27,111.45891087863622
2001-03-28,111.54172432599036
2001-03-29,111.81967893431471
2001-03-30,111.12307252455996
2001-04-02,110.7029865080866
2001-04-03,109.3755729589778
2001-04-04,104.6573196902047
2001-04-05,106.03260610041772
2001-04-06,105.03333917065548
2001-04-09,103.31168692686984
2001-04-10,105.39761770553382
2001-04-11,107.54496241782748
2001-04-12,111.03518406665228
2001-04-13,111.03518406665228
2001-04-16,111.80275620948345
2001-04-17,109.43816083299444
2001-04-18,115.79539259548345
2001-04-19,114.02785773731479
2001-04-20,108.91837368005393
2001-04-23,109.05114383766232
2001-04-24,111.54221301364986
2001-04-25,110.69317173472403
2001-04-26,109.33772866486804
2001-04-27,111.11386415156171
2001-04-30,113.73544882857524
2001-05-01,113.1480710430349
2001-05-02,113.20829500689963
2001-05-03,111.8887051954306
2001-05-04,111.7443573468789
2001-05-07,112.26338204297721
2001-05-08,112.981795063594
