Date,COLOMBIA
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.67880419175205
2001-01-03,98.1110745566291
2001-01-04,97.4164941001881
2001-01-05,96.63015022576762
2001-01-08,96.68395359564201
2001-01-09,98.42927180043829
2001-01-10,99.10794270029642
2001-01-11,97.86197766932273
2001-01-12,98.42266397657954
2001-01-15,99.15047978424249
2001-01-16,99.80681557419454
2001-01-17,100.65260008951903
2001-01-18,99.33430611456241
2001-01-19,100.51621562144835
2001-01-22,100.58817928949722
2001-01-23,100.90186297861763
2001-01-24,104.99367797283341
2001-01-25,105.65516214348058
2001-01-26,107.56714971670704
2001-01-29,110.60430096424741
2001-01-30,113.00955397064884
2001-01-31,116.98535029032709
2001-02-01,121.51583653208172
2001-02-02,123.57903422129061
2001-02-05,119.98384175379076
2001-02-06,119.91761479111538
2001-02-07,119.10609784435198
2001-02-08,121.40994645968094
2001-02-09,123.46147150750846
2001-02-12,123.5454185237963
2001-02-13,125.26276946012004
2001-02-14,126.71366546173257
2001-02-15,128.45973770426122
2001-02-16,127.59337879554361
2001-02-19,126.65188680208404
2001-02-20,127.14517717963396
2001-02-21,125.32152160472411
2001-02-22,125.48805282800008
2001-02-23,125.59919952184805
2001-02-26,124.76977198297958
2001-02-27,122.47298144750971
2001-02-28,121.50649843021276
2001-03-01,117.65509314514088
2001-03-02,117.49678214461842
2001-03-05,118.40177919147794
2001-03-06,116.83937473720138
2001-03-07,117.52253494827347
2001-03-08,116.0485883881211
2001-03-09,117.50104242131343
2001-03-12,117.68399246831122
2001-03-13,119.09975351159122
2001-03-14,117.72246511513282
2001-03-15,117.9909119346238
2001-03-16,118.979340091259
2001-03-19,118.71463886629138
2001-03-20,115.84902668433644
2001-03-21,113.18804568752344
2001-03-22,113.41310022712929
2001-03-23,112.40163963906093
2001-03-26,111.51784126987377
2001-03-27,110.67902085866727
2001-03-28,111.17410105154747
2001-03-29,111.24720521582249
2001-03-30,110.68595966833793
2001-04-02,112.10034559774651
2001-04-03,112.31068874667194
2001-04-04,111.93656411943252
2001-04-05,114.33342718618307
2001-04-06,115.01186451182845
2001-04-09,115.51437701689301
2001-04-10,116.43400452674868
2001-04-11,116.43164021396589
2001-04-12,115.3321605540655
2001-04-13,115.35851372887558
2001-04-16,116.50742796844898
2001-04-17,115.85516621465386
2001-04-18,116.5443244595777
2001-04-19,114.29014124778226
2001-04-20,112.86531944600645
2001-04-23,112.8095031799271
2001-04-24,111.40554640610469
2001-04-25,110.98279237631719
2001-04-26,110.13888577235628
2001-04-27,111.81654708001649
2001-04-30,112.99568553056233
2001-05-01,112.35183105376109
2001-05-02,112.10717821097333
2001-05-03,112.19375727782203
2001-05-04,113.26904299169342
2001-05-07,116.19792857691479
2001-05-08,125.65289651847436
