Date,INDIA DOMESTIC
2015-03-23,1887.3517642887566
2015-03-24,1890.038080878746
2015-03-25,1870.4081072174426
2015-03-26,1830.3875270356605
2015-03-27,1843.2131189758838
2015-03-30,1880.5713828162632
2015-03-31,1899.2760197708692
2015-04-01,1917.19063509335
2015-04-02,1895.2572343059287
2015-04-03,1895.257234305929
2015-04-06,1898.6617773392306
2015-04-07,1927.9170481547842
2015-04-08,1953.2998952474327
2015-04-09,1986.6631017382958
2015-04-10,1994.8819582466235
2015-04-13,2012.0175042980936
2015-04-14,1989.0649459246893
2015-04-15,1985.4064381243304
2015-04-16,1962.2692607410854
2015-04-17,1921.2026639423111
2015-04-20,1875.0569325840754
2015-04-21,1859.991765368999
2015-04-22,1874.3493821159398
2015-04-23,1844.6736167278516
2015-04-24,1800.863839564392
2015-04-27,1777.8530243935584
2015-04-28,1790.3509711142804
2015-04-29,1750.069770188682
2015-04-30,1725.468447894061
2015-05-01,1722.8546841503146
2015-05-04,1761.956880541717
2015-05-05,1759.6451619764541
2015-05-06,1684.4285158727362
2015-05-07,1667.1785408332562
2015-05-08,1712.462060671471
2015-05-11,1753.8192016120522
2015-05-12,1691.8873015565598
2015-05-13,1704.6843376745292
2015-05-14,1707.272074452303
2015-05-15,1710.2535487187702
2015-05-18,1741.862289517099
2015-05-19,1775.547787862707
2015-05-20,1787.5552339424619
2015-05-21,1789.0794835607148
2015-05-22,1816.642791175371
2015-05-25,1798.558163363513
2015-05-26,1799.5547614550053
2015-05-27,1797.064641581002
2015-05-28,1792.5489522645587
2015-05-29,1807.7064837018775
2015-06-01,1820.2448178524746
2015-06-02,1736.4780961335493
2015-06-03,1696.105922809537
2015-06-04,1693.6769223508138
2015-06-05,1722.1963195468338
2015-06-08,1683.3881956495775
2015-06-09,1678.4314281616141
2015-06-10,1693.7574783208665
2015-06-11,1667.5908743829145
2015-06-12,1662.744276599406
2015-06-15,1674.2064040937773
2015-06-16,1679.6276012731103
2015-06-17,1693.8232674144692
2015-06-18,1693.9322410434067
2015-06-19,1721.2434011109528
2015-06-22,1739.0541424539356
2015-06-23,1774.5585184257995
2015-06-24,1769.4360490290987
2015-06-25,1776.323427452593
2015-06-26,1781.5089746829442
2015-06-29,1757.9822949509385
2015-06-30,1776.202788160798
2015-07-01,1803.0516941253804
2015-07-02,1806.1764083973624
2015-07-03,1816.4073602815424
2015-07-06,1827.9099366747125
2015-07-07,1849.7343443765849
2015-07-08,1793.7516934490282
2015-07-09,1794.656972167776
2015-07-10,1781.989103601983
2015-07-13,1827.1700811201292
2015-07-14,1829.2875848799956
2015-07-15,1852.2283832426053
2015-07-16,1878.1641295632776
2015-07-17,1889.8247545065017
2015-07-20,1883.2562276232104
2015-07-21,1857.3879654499488
2015-07-22,1884.717558655067
2015-07-23,1855.522380644629
2015-07-24,1836.8995989330176
2015-07-27,1775.9790671697886
2015-07-28,1787.3206263787208
2015-07-29,1800.56159582107
2015-07-30,1823.7342541575374
2015-07-31,1823.4575081025612
2015-08-03,1840.3246001339412
2015-08-04,1845.7675693420272
2015-08-05,1875.73463529876
2015-08-06,1871.8335773106762
2015-08-07,1859.9277511548562
2015-08-10,1845.9301014123891
2015-08-11,1811.185390141961
2015-08-12,1749.2165357510298
2015-08-13,1750.6467428472884
2015-08-14,1792.433929058863
2015-08-17,1782.7284843410016
2015-08-18,1788.793869660051
2015-08-19,1795.923567247145
2015-08-20,1737.4659941955963
2015-08-21,1696.2436355714972
2015-08-24,1538.8243497162152
2015-08-25,1594.4249270058954
2015-08-26,1572.023743580937
2015-08-27,1636.0909839066294
2015-08-28,1643.1025727796364
2015-08-31,1630.6383835274632
2015-09-01,1592.181658705888
2015-09-02,1583.922376753848
2015-09-03,1623.892479484639
2015-09-04,1580.4823709530087
2015-09-07,1543.46840357106
2015-09-08,1570.400735131339
2015-09-09,1603.459531928437
2015-09-10,1589.322591407397
2015-09-11,1578.1963354598142
2015-09-14,1600.9380356248219
2015-09-15,1591.8932198763307
2015-09-16,1599.7529185254843
2015-09-17,1596.7842611412195
2015-09-18,1621.0643800545888
2015-09-21,1647.5277485555052
2015-09-22,1619.9156170386866
2015-09-23,1619.1482529914701
2015-09-24,1598.9166316881951
2015-09-25,1615.3730162269824
2015-09-28,1600.2939304183244
2015-09-29,1610.4169571569767
2015-09-30,1647.321057350871
2015-10-01,1645.3698872915581
2015-10-02,1634.9362970346879
2015-10-05,1686.6673488590927
2015-10-06,1682.3089516950613
2015-10-07,1699.119017836117
2015-10-08,1680.4160544987162
2015-10-09,1689.5523180961907
2015-10-12,1676.4048125099246
2015-10-13,1663.5761344806538
2015-10-14,1653.402115938809
2015-10-15,1679.257549104856
2015-10-16,1691.5079991412456
2015-10-19,1712.301537904451
2015-10-20,1699.9625171100631
2015-10-21,1691.9283901197025
2015-10-22,1721.3387308466613
2015-10-23,1755.6003063026778
2015-10-26,1745.349468283281
2015-10-27,1739.3379321553914
2015-10-28,1724.7222213782075
2015-10-29,1721.9819948499317
2015-10-30,1699.5647818868274
2015-11-02,1692.592861395869
2015-11-03,1706.1760168597186
2015-11-04,1720.0283761350122
2015-11-05,1694.3065554543011
2015-11-06,1710.7204211689932
2015-11-09,1687.966176170742
2015-11-10,1668.274145997454
2015-11-11,1672.8758787175736
2015-11-12,1668.8315463128442
2015-11-13,1666.1283864358224
2015-11-16,1678.0080357207796
2015-11-17,1693.9887719031042
2015-11-18,1666.4031107452952
2015-11-19,1679.202378363682
2015-11-20,1693.6641579191842
2015-11-23,1693.9250204293496
2015-11-24,1689.6600117507971
2015-11-25,1695.7958267340462
2015-11-26,1696.6859944607515
2015-11-27,1708.6600231748034
2015-11-30,1714.021412860108
2015-12-01,1714.3922253961878
2015-12-02,1713.1279264532868
2015-12-03,1654.287643843118
2015-12-04,1629.1948997117672
2015-12-07,1635.7114592014939
2015-12-08,1618.656876628212
2015-12-09,1581.5788158514656
2015-12-10,1602.7234884692145
2015-12-11,1576.4947919328442
2015-12-14,1574.3361352177453
2015-12-15,1604.6770468079528
2015-12-16,1615.3658660144465
2015-12-17,1659.6592512806021
2015-12-18,1643.7946139452554
2015-12-21,1648.8398127113344
2015-12-22,1632.841544480408
2015-12-23,1665.0662287711857
2015-12-24,1651.6569248357753
2015-12-25,1651.6569248357753
2015-12-28,1663.2583736187764
2015-12-29,1669.6489428342002
2015-12-30,1661.9735431656288
2015-12-31,1686.131702323877
2016-01-01,1690.9171232139097
2016-01-04,1654.132234070824
2016-01-05,1664.814634314595
2016-01-06,1647.5778800718276
2016-01-07,1594.8157426811604
2016-01-08,1597.6715016797937
2016-01-11,1593.426133997467
2016-01-12,1584.0195081707027
2016-01-13,1591.6117331992998
2016-01-14,1577.123114410328
2016-01-15,1528.4311503322654
2016-01-18,1518.0380692934987
2016-01-19,1535.0613882073944
2016-01-20,1502.8318618361702
2016-01-21,1506.4876540210664
2016-01-22,1542.726402598089
2016-01-25,1541.7245256591636
2016-01-26,1539.4507004842046
2016-01-27,1530.859052765533
2016-01-28,1513.7473194523463
2016-01-29,1567.7332090448213
2016-02-01,1557.1620075981655
2016-02-02,1531.7945952433365
2016-02-03,1489.8917169882054
2016-02-04,1491.3136894213526
2016-02-05,1514.6845821459697
2016-02-08,1490.2449699178835
2016-02-09,1447.552292832592
2016-02-10,1447.167391574503
2016-02-11,1372.0787529452066
2016-02-12,1389.905058107626
2016-02-15,1441.704046311452
2016-02-16,1409.8425503779058
2016-02-17,1422.1901071264529
2016-02-18,1440.5875016414716
2016-02-19,1443.0206356896617
2016-02-22,1458.1772485257045
2016-02-23,1435.1659214087226
2016-02-24,1416.6545897815647
2016-02-25,1402.0608363295783
2016-02-26,1427.6248387355288
2016-02-29,1434.7154123187827
2016-03-01,1493.2495920520805
2016-03-02,1534.743643026929
2016-03-03,1547.0094618909025
2016-03-04,1543.7558881492796
2016-03-07,1547.0588665597597
2016-03-08,1532.1350767486877
2016-03-09,1550.810052414374
2016-03-10,1527.0539741169043
2016-03-11,1529.19337532208
2016-03-14,1544.0330334066555
2016-03-15,1519.956333658313
2016-03-16,1535.356652342278
2016-03-17,1518.1698348340105
2016-03-18,1543.0177283199816
2016-03-21,1570.6358066155422
2016-03-22,1572.3733507489737
2016-03-23,1580.9321860003079
2016-03-24,1582.5607720296894
2016-03-25,1582.5607720296894
2016-03-28,1556.863284068131
2016-03-29,1559.7413981068642
2016-03-30,1566.1345365164127
2016-03-31,1567.7673287282248
2016-04-01,1569.1084845658463
2016-04-04,1573.3846484842043
2016-04-05,1537.6599309564963
2016-04-06,1535.6253246627482
2016-04-07,1525.162097269876
2016-04-08,1523.3464099701444
2016-04-11,1542.6940131683707
2016-04-12,1561.3937266945447
2016-04-13,1597.9468386041826
2016-04-14,1600.8552919639794
2016-04-15,1595.9666433627178
2016-04-18,1607.04888058576
2016-04-19,1600.4090583900295
2016-04-20,1615.0873747655578
2016-04-21,1616.4897930562702
2016-04-22,1616.6971831858043
2016-04-25,1600.8200796290384
2016-04-26,1619.679058010818
2016-04-27,1624.1118353841252
2016-04-28,1596.274005221211
2016-04-29,1581.6233832855964
2016-05-02,1566.8170213824935
2016-05-03,1553.600599484582
2016-05-04,1543.9585268701799
2016-05-05,1563.5667414474603
2016-05-06,1560.0384021359814
2016-05-09,1589.3520581689297
2016-05-10,1592.3146010637902
2016-05-11,1581.7938226896279
2016-05-12,1596.6303814360524
2016-05-13,1591.9859335503602
2016-05-16,1595.3536712343714
2016-05-17,1600.1980199808236
2016-05-18,1599.9543596729366
2016-05-19,1583.9634290266267
2016-05-20,1572.139074457194
2016-05-23,1569.4698857761648
2016-05-24,1573.4451058831594
2016-05-25,1618.3439767883274
2016-05-26,1643.796282836876
2016-05-27,1673.4879245312518
2016-05-30,1675.531607676023
2016-05-31,1670.323212881307
2016-06-01,1664.3688854981315
2016-06-02,1678.0327586273938
2016-06-03,1653.2586123651693
2016-06-06,1651.3218938527405
2016-06-07,1672.0596109697815
2016-06-08,1670.4398396893469
2016-06-09,1665.6523513434113
2016-06-10,1662.5019987637472
2016-06-13,1642.4139332009665
2016-06-14,1651.6855011266077
2016-06-15,1669.1253466919795
2016-06-16,1668.5388932888527
2016-06-17,1663.0651818660563
2016-06-20,1656.0990759259896
2016-06-21,1659.3913721257732
2016-06-22,1657.105608102648
2016-06-23,1663.9139214000106
2016-06-24,1648.9120302492663
2016-06-27,1670.354722444757
2016-06-28,1667.1633157111041
2016-06-29,1681.7703142143635
2016-06-30,1704.326862285764
2016-07-01,1713.4153633191474
2016-07-04,1723.0828674838756
2016-07-05,1715.5478841499598
2016-07-06,1721.3585733660216
2016-07-07,1724.3529046250903
2016-07-08,1729.5954477591474
2016-07-11,1762.4719273134042
2016-07-12,1771.1162568623122
2016-07-13,1766.9402667680267
2016-07-14,1778.7357928276679
2016-07-15,1778.3060687328816
2016-07-18,1769.7812520462526
2016-07-19,1783.2532193737206
2016-07-20,1789.9426751959286
2016-07-21,1782.412421747662
2016-07-22,1797.6975409642782
2016-07-25,1812.3674788473338
2016-07-26,1804.165032165296
2016-07-27,1812.7471515504744
2016-07-28,1810.5355679505353
2016-07-29,1792.6670540270147
2016-08-01,1801.7570531939043
2016-08-02,1788.7941611547067
2016-08-03,1772.5888850099632
2016-08-04,1780.7917765332516
2016-08-05,1824.674207716438
2016-08-08,1830.6872019196803
2016-08-09,1815.3798246046963
2016-08-10,1789.5674755027858
2016-08-11,1786.7602037438621
2016-08-12,1802.8172796318888
2016-08-15,1799.8387469528816
2016-08-16,1786.9983665992897
2016-08-17,1781.6242857259938
2016-08-18,1782.6055836883227
2016-08-19,1776.4194184467312
2016-08-22,1763.303424625659
2016-08-23,1768.5499926380182
2016-08-24,1783.2421311571582
2016-08-25,1768.406205562248
2016-08-26,1765.5622299542508
2016-08-29,1785.8961694182333
2016-08-30,1818.810735466755
2016-08-31,1831.1685834598202
2016-09-01,1819.7697445279932
2016-09-02,1835.6681280743312
2016-09-05,1838.4680345995887
2016-09-06,1861.4499838559598
2016-09-07,1859.96698450253
2016-09-08,1860.4583080053271
2016-09-09,1843.4258220784304
2016-09-12,1803.5538217083686
2016-09-13,1800.024362174693
2016-09-14,1803.5779731729283
2016-09-15,1803.6916960974518
2016-09-16,1823.0693601201
2016-09-19,1826.0773081554012
2016-09-20,1820.8552159359767
2016-09-21,1826.7510484701857
2016-09-22,1837.5953480745306
2016-09-23,1836.286918074978
2016-09-26,1808.5193020580132
2016-09-27,1821.9834415952475
2016-09-28,1832.0125860578291
2016-09-29,1778.6376135479209
2016-09-30,1793.8420433228425
2016-10-03,1827.8326254102144
2016-10-04,1844.9764455588493
2016-10-05,1833.4998661186978
2016-10-06,1827.803364952217
2016-10-07,1822.018224830761
2016-10-10,1831.2829080090182
2016-10-11,1847.594466216631
2016-10-12,1855.312000422848
2016-10-13,1812.5595482218973
2016-10-14,1824.1640296821545
2016-10-17,1808.4214097740319
2016-10-18,1850.4918148594056
2016-10-19,1848.7190108884163
2016-10-20,1860.2782317734027
2016-10-21,1868.5510244305171
2016-10-24,1869.017897515597
2016-10-25,1870.2263326187615
2016-10-26,1844.1516520524633
2016-10-27,1840.0353488328935
2016-10-28,1847.3723423980098
2016-10-31,1840.326006395547
2016-11-01,1828.8301463712523
2016-11-02,1792.7159872199936
2016-11-03,1789.2142509369733
2016-11-04,1771.5689980492414
2016-11-07,1798.4177315859267
2016-11-08,1809.341474288088
2016-11-09,1803.878463708608
2016-11-10,1831.3509231278215
2016-11-11,1769.402153837103
2016-11-14,1791.1834728995384
2016-11-15,1729.7792016609355
2016-11-16,1738.8401851012038
2016-11-17,1733.3343666182407
2016-11-18,1739.115445378911
2016-11-21,1699.4963133839938
2016-11-22,1721.1780998636655
2016-11-23,1730.8536909674865
2016-11-24,1706.757585590256
2016-11-25,1739.4020258114592
2016-11-28,1739.0694006777112
2016-11-29,1738.2309515080226
2016-11-30,1764.095504702783
2016-12-01,1757.200283103213
2016-12-02,1729.30636326149
2016-12-05,1728.1062129422671
2016-12-06,1738.4627872168385
2016-12-07,1730.5496706196814
2016-12-08,1797.7003898192825
2016-12-09,1808.7454122519289
2016-12-12,1775.4761099111704
2016-12-13,1775.7369841895215
2016-12-14,1764.572801377984
2016-12-15,1790.7028597469043
2016-12-16,1791.740717258408
2016-12-19,1776.004355433839
