Date,UNITED ARAB EMIRATES
2005-05-31,632.6086928686212
2005-06-01,641.2760188008766
2005-06-02,640.6686992171524
2005-06-03,641.2866322043427
2005-06-06,685.8753935825604
2005-06-07,699.2765071450794
2005-06-08,688.8050306958105
2005-06-09,714.5340518078202
2005-06-10,718.6600475699607
2005-06-13,766.944824902052
2005-06-14,736.7936261022082
2005-06-15,748.4322756070604
2005-06-16,815.2908459319789
2005-06-17,805.5584176987857
2005-06-20,833.9273444015694
2005-06-21,832.362023768911
2005-06-22,842.42277762157
2005-06-23,858.5961336283905
2005-06-24,856.0268885400769
2005-06-27,891.4594707996506
2005-06-28,893.7062363599157
2005-06-29,862.556379514492
2005-06-30,879.0893593119976
2005-07-01,889.2997976612239
2005-07-04,906.230629313354
2005-07-05,866.7186789148477
2005-07-06,834.7036184467572
2005-07-07,845.6170635650712
2005-07-08,846.8925575227676
2005-07-11,744.8757519635288
2005-07-12,770.1958264724005
2005-07-13,799.8071866722514
2005-07-14,800.7666497541247
2005-07-15,804.8228478554328
2005-07-18,750.9922307408301
2005-07-19,794.6891740686916
2005-07-20,781.8450442183835
2005-07-21,746.4959648672759
2005-07-22,746.7837333457467
2005-07-25,677.8052333598027
2005-07-26,711.9475560631358
2005-07-27,715.5033937502595
2005-07-28,711.533483267766
2005-07-29,707.8622596944017
2005-08-01,685.2461867195724
2005-08-02,671.9577712250031
2005-08-03,687.7454397088335
2005-08-04,708.6463658011924
2005-08-05,710.4843948756107
2005-08-08,746.1174910214509
2005-08-09,743.4142607906938
2005-08-10,744.3993369344342
2005-08-11,759.5305546992925
2005-08-12,760.0296400395815
2005-08-15,805.2923057523006
2005-08-16,815.3052079237698
2005-08-17,838.3158386228779
2005-08-18,846.2615334839213
2005-08-19,848.4103257157368
2005-08-22,876.609954883094
2005-08-23,875.7966529272709
2005-08-24,870.6393645389519
2005-08-25,878.2662249393294
2005-08-26,875.2037063752948
2005-08-29,881.9782746847873
2005-08-30,873.4471707831234
2005-08-31,865.8479637844006
2005-09-01,842.5445287070148
2005-09-02,837.1282996861287
2005-09-05,848.1664972356887
2005-09-06,863.3846296740456
2005-09-07,894.0562602570034
2005-09-08,919.4052744749848
2005-09-09,918.19666625738
2005-09-12,923.9693004636777
2005-09-13,956.9958395484748
2005-09-14,982.4334867069772
2005-09-15,989.9397729616533
2005-09-16,989.737784628576
2005-09-19,1038.3936001504835
2005-09-20,1049.8229096907785
2005-09-21,1048.1803665143743
2005-09-22,1055.6672116042976
2005-09-23,1062.3441523732286
2005-09-26,1012.3432856895233
2005-09-27,1032.9969534303384
2005-09-28,1043.7944248784192
2005-09-29,1035.491543933064
2005-09-30,1031.7708383414754
2005-10-03,1002.3950610458878
2005-10-04,977.4967013293987
2005-10-05,976.3427850829016
2005-10-06,985.3155257270778
2005-10-07,986.7525430319838
2005-10-10,1028.2995453549752
2005-10-11,1020.5956168928764
