Date,PERU
2000-12-29,100.00000000000001
2001-01-01,100.00000000000001
2001-01-02,100.70708218011204
2001-01-03,100.86286210836592
2001-01-04,100.74284178430234
2001-01-05,99.95154404213801
2001-01-08,100.93870889976861
2001-01-09,101.16963210585142
2001-01-10,101.28778894839775
2001-01-11,101.39434246479905
2001-01-12,100.75289412083572
2001-01-15,101.49344405039766
2001-01-16,102.01438541563341
2001-01-17,103.98009330607479
2001-01-18,103.18144844381482
2001-01-19,104.68694314118675
2001-01-22,106.90354157858052
2001-01-23,108.1153032389348
2001-01-24,110.06169542952435
2001-01-25,110.17452635806355
2001-01-26,109.18493778197082
2001-01-29,109.88809712331664
2001-01-30,111.9847520372443
2001-01-31,112.91399322928365
2001-02-01,114.24205379319561
2001-02-02,114.54068067758281
2001-02-05,113.94867783595404
2001-02-06,115.98651116214324
2001-02-07,114.83974144001039
2001-02-08,116.671510713564
2001-02-09,116.66634784765651
2001-02-12,115.03795519004959
2001-02-13,115.39235226052965
2001-02-14,116.05993170421776
2001-02-15,118.18065599624613
2001-02-16,117.6400207608339
2001-02-19,115.46571630058116
2001-02-20,116.15145316655746
2001-02-21,116.07241916514226
2001-02-22,116.56484280836843
2001-02-23,114.72652641825856
2001-02-26,116.29522644572991
2001-02-27,115.32208750927781
2001-02-28,114.6301498711823
2001-03-01,112.7119719885703
2001-03-02,111.36366031195284
2001-03-05,110.63701195008538
2001-03-06,110.49529502028963
2001-03-07,112.16316420172535
2001-03-08,112.68724704158232
2001-03-09,115.32938692695524
2001-03-12,114.70029407019085
2001-03-13,113.64437411224188
2001-03-14,112.38246948166994
2001-03-15,113.76940099330147
2001-03-16,116.05485833643814
2001-03-19,116.07504497335772
2001-03-20,114.91787462521543
2001-03-21,114.16418570538588
2001-03-22,116.55993088145472
2001-03-23,116.76698735687162
2001-03-26,116.9380661384438
2001-03-27,115.72162407761763
2001-03-28,116.96273396220587
2001-03-29,119.46860685118384
2001-03-30,118.98618699819541
2001-04-02,119.89914522811425
2001-04-03,118.09145938678414
2001-04-04,116.4518696826119
2001-04-05,117.10135468710692
2001-04-06,115.5685447291663
2001-04-09,110.22241898250613
2001-04-10,111.1349681812634
2001-04-11,108.06229900894758
2001-04-12,107.01939983568256
2001-04-13,107.01939983568256
2001-04-16,108.19064351362687
2001-04-17,107.38995200604612
2001-04-18,108.54649137757751
2001-04-19,108.25958226738446
2001-04-20,107.52448993331421
2001-04-23,106.9036531880053
