Date,KOREA
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,102.63008396838522
2001-01-03,103.34376077049744
2001-01-04,111.96967485780857
2001-01-05,116.84334761196571
2001-01-08,117.82883001241488
2001-01-09,120.02314835179277
2001-01-10,112.78639161599433
2001-01-11,111.07846309384551
2001-01-12,116.46185753538832
2001-01-15,117.98389968456
2001-01-16,120.14162156906956
2001-01-17,121.31852263061852
2001-01-18,121.08114101757255
2001-01-19,126.72994962996596
2001-01-22,127.95604352522194
2001-01-23,127.42473815418298
2001-01-24,129.55701702240347
2001-01-25,129.82520578847547
2001-01-26,121.26918068473998
2001-01-29,123.50739267401985
2001-01-30,121.77308537091727
2001-01-31,128.72542623361278
2001-02-01,125.83464458995678
2001-02-02,126.64423093833311
2001-02-05,117.91621722903757
2001-02-06,121.16364722352854
2001-02-07,118.31335046530234
2001-02-08,123.44330438113242
2001-02-09,123.96726912606547
2001-02-12,123.73696983231099
2001-02-13,126.0531673008019
2001-02-14,128.07738471514992
2001-02-15,130.33677516724825
2001-02-16,130.14569677381766
2001-02-19,127.34953349823485
2001-02-20,132.95581316560987
2001-02-21,128.06398857686972
2001-02-22,125.45659093006837
2001-02-23,124.18833541013825
2001-02-26,124.6204036629991
2001-02-27,121.41438751117632
2001-02-28,120.82653698747706
2001-03-01,118.85994945808572
2001-03-02,113.96041092306704
2001-03-05,116.04537044722574
2001-03-06,117.1878378469317
2001-03-07,117.17662331778087
2001-03-08,119.13452384441031
2001-03-09,115.87892560842664
2001-03-12,110.30268933859833
2001-03-13,108.8360340952392
2001-03-14,112.923310669606
2001-03-15,112.78453959043831
2001-03-16,112.61885142585162
2001-03-19,111.43674416409422
2001-03-20,109.79690460990813
2001-03-21,109.77651462710969
2001-03-22,109.38409347376601
2001-03-23,112.4947983084839
2001-03-26,113.67606932980577
2001-03-27,110.0834435475837
2001-03-28,111.13299021988196
2001-03-29,108.93169912616432
2001-03-30,108.33954812043518
2001-04-02,105.06365372703765
2001-04-03,101.9746142869003
2001-04-04,96.07281251638693
2001-04-05,96.73715719361381
2001-04-06,101.51418992080757
2001-04-09,99.28597414395787
2001-04-10,99.80310258478976
2001-04-11,105.32269846453927
2001-04-12,107.18273905506011
2001-04-13,107.62840254230919
2001-04-16,105.51732825047331
2001-04-17,107.36816780414952
2001-04-18,115.79043973216444
2001-04-19,121.54623802243664
2001-04-20,116.48834247135679
2001-04-23,118.0395678401859
2001-04-24,117.9814552044548
2001-04-25,120.03800063924824
2001-04-26,117.72144289533637
2001-04-27,116.62377588959093
2001-04-30,123.14666332243017
2001-05-01,122.49725034333852
2001-05-02,125.62204130447469
2001-05-03,126.31234106902292
2001-05-04,126.28613606585228
2001-05-07,129.18032950349115
2001-05-08,127.76558775254684
