Date,CHILE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.07140577965149
2001-01-03,100.05503442150604
2001-01-04,101.22392545983077
2001-01-05,100.83675803812463
2001-01-08,100.43760926362295
2001-01-09,101.24932819009301
2001-01-10,101.60079698300407
2001-01-11,101.46564356821307
2001-01-12,101.84480747385244
2001-01-15,102.69064412345334
2001-01-16,103.25064949147979
2001-01-17,105.65160069784456
2001-01-18,105.48838197505657
2001-01-19,107.56573451462542
2001-01-22,108.18616487186918
2001-01-23,108.44413688050443
2001-01-24,109.2570086075128
2001-01-25,109.57660064001134
2001-01-26,108.87160626516496
2001-01-29,109.46059574700105
2001-01-30,109.37006961975872
2001-01-31,109.63235494610618
2001-02-01,108.24449389067959
2001-02-02,108.41144514719916
2001-02-05,107.19377520497514
2001-02-06,107.62486470049262
2001-02-07,106.16850004113763
2001-02-08,108.28109928376192
2001-02-09,107.51850722937822
2001-02-12,105.92024482420534
2001-02-13,107.27096710177202
2001-02-14,106.18466181078392
2001-02-15,107.86373776975923
2001-02-16,105.4912301337254
2001-02-19,105.30275417171949
2001-02-20,106.96334941258758
2001-02-21,105.20922234616145
2001-02-22,104.74142481705232
2001-02-23,103.6365395225475
2001-02-26,104.44991554501134
2001-02-27,103.32753077073606
2001-02-28,102.40828034302614
2001-03-01,100.83070108952418
2001-03-02,99.3898483307251
2001-03-05,98.88770978945935
2001-03-06,99.76880963722947
2001-03-07,101.38556172988234
2001-03-08,101.42371691011687
2001-03-09,100.59182654818005
2001-03-12,99.71149087746369
2001-03-13,101.42688596876778
2001-03-14,102.15029528957238
2001-03-15,102.65714356586106
2001-03-16,102.84401706734039
2001-03-19,103.02650227246262
2001-03-20,102.7547045886521
2001-03-21,102.64504313722557
2001-03-22,102.39505231412564
2001-03-23,100.94101630857173
2001-03-26,101.78528252976422
2001-03-27,101.35276356661427
2001-03-28,102.00770903143614
2001-03-29,102.96646665615748
2001-03-30,103.52934793170277
2001-04-02,103.78976373531604
2001-04-03,101.65735175666293
2001-04-04,99.90690629809961
2001-04-05,101.53588147026848
2001-04-06,100.71980304369676
2001-04-09,100.43639209133127
2001-04-10,101.3754187994117
2001-04-11,102.35384676911197
2001-04-12,100.8194833874346
2001-04-13,100.8194833874346
2001-04-16,101.3428927395359
2001-04-17,102.30330188950698
2001-04-18,105.23759593230494
2001-04-19,105.33855322459178
2001-04-20,102.36379374749909
2001-04-23,102.75081615034362
2001-04-24,103.09006370633554
2001-04-25,102.38032272298794
2001-04-26,103.1285265853001
2001-04-27,107.09541553687326
2001-04-30,108.74071360710606
2001-05-01,107.62719904218702
2001-05-02,107.76477362941287
2001-05-03,106.99265632015945
2001-05-04,108.22647290806796
2001-05-07,109.40886664540376
2001-05-08,111.14302917055701
