Date,KUWAIT DOMESTIC
2005-05-31,656.4876289198826
2005-06-01,672.3675104737624
2005-06-02,671.2180707375244
2005-06-03,671.6772856281622
2005-06-06,722.1190585231833
2005-06-07,726.8154122145021
2005-06-08,727.5031287734841
2005-06-09,735.6179883603771
2005-06-10,739.8657309205114
2005-06-13,732.7363103343885
2005-06-14,733.5896154496533
2005-06-15,733.6248944415664
2005-06-16,735.1425925143902
2005-06-17,726.242567208634
2005-06-20,743.7922904260813
2005-06-21,739.647345661865
2005-06-22,750.9678805928044
2005-06-23,755.8858200416087
2005-06-24,753.7324463345631
2005-06-27,732.4123281730339
2005-06-28,726.9513750164826
2005-06-29,728.712781492186
2005-06-30,726.4254907230371
2005-07-01,734.8627702894044
2005-07-04,740.9173402441985
2005-07-05,753.0014100952089
2005-07-06,765.6333883532758
2005-07-07,764.0959075918253
2005-07-08,765.2484383947457
2005-07-11,738.9577527588802
2005-07-12,725.1802002644207
2005-07-13,731.9634846957288
2005-07-14,731.2982557675961
2005-07-15,735.0025691246086
2005-07-18,723.8710491903553
2005-07-19,745.2221276604309
2005-07-20,745.427924842061
2005-07-21,739.0347621590494
2005-07-22,739.3397829036772
2005-07-25,731.5008375183622
2005-07-26,762.6045216853067
2005-07-27,764.8397882932134
2005-07-28,761.9914587137708
2005-07-29,758.0392533954513
2005-08-01,759.3413928407543
2005-08-02,766.7860397507596
2005-08-03,759.4490102395444
2005-08-04,756.0655113038036
2005-08-05,758.0265322855034
2005-08-08,757.3400091727954
2005-08-09,762.7721193349412
2005-08-10,769.8623815790237
2005-08-11,766.3040770944133
2005-08-12,766.9284753686705
2005-08-15,774.4237712400372
2005-08-16,770.1145442123959
2005-08-17,760.2320195657728
2005-08-18,768.2182754405725
2005-08-19,770.3112681473257
2005-08-22,777.8354601302757
2005-08-23,772.7018585109354
2005-08-24,775.3194654505935
2005-08-25,773.1112072180371
2005-08-26,770.2834662889306
2005-08-29,777.7860678923589
2005-08-30,782.409977285945
2005-08-31,775.968138911668
2005-09-01,765.5111022664862
2005-09-02,760.6996033523211
2005-09-05,754.0313334623695
2005-09-06,757.7730034140488
