Date,ETH
2018-02-12,864.79
2018-02-13,840.98
2018-02-14,921.77
2018-02-15,927.92
2018-02-16,939.16
2018-02-17,977.38
2018-02-18,914.87
2018-02-19,938.7
2018-02-20,884.6
2018-02-21,839.07
2018-02-22,804.37
2018-02-23,853.29
2018-02-24,834.24
2018-02-25,841.52
2018-02-26,869.48
2018-02-27,871.47
2018-02-28,851.06
2018-03-01,869.87
2018-03-02,854.93
2018-03-03,853.99
2018-03-04,863.23
2018-03-05,848.16
2018-03-06,814.04
2018-03-07,750.86
2018-03-08,697.22
2018-03-09,726.48
2018-03-10,681.93
2018-03-11,719.07
2018-03-12,696.58
2018-03-13,690.64
2018-03-14,612.29
2018-03-15,610.22
2018-03-16,599.31
2018-03-17,549.35
2018-03-18,537.87
2018-03-19,555.19
2018-03-20,557.2
2018-03-21,560.08
2018-03-22,539.21
2018-03-23,543.07
2018-03-24,519.94
2018-03-25,522.63
2018-03-26,485.59
2018-03-27,448.93
2018-03-28,445.96
2018-03-29,383.35
2018-03-30,393.67
2018-03-31,393.59
2018-04-01,378.36
2018-04-02,384.56
2018-04-03,415.49
2018-04-04,378.16
2018-04-05,381.37
2018-04-06,369.95
2018-04-07,384.8
2018-04-08,399.91
2018-04-09,398.85
2018-04-10,415.13
2018-04-11,430.01
2018-04-12,493.75
2018-04-13,495.91
2018-04-14,502.91
2018-04-15,533.77
2018-04-16,510.95
2018-04-17,502.9
2018-04-18,525.44
2018-04-19,566.56
2018-04-20,616.83
2018-04-21,605
2018-04-22,620.78
2018-04-23,643.51
2018-04-24,703.53
2018-04-25,617.3
2018-04-26,661.11
2018-04-27,643.09
2018-04-28,683.08
2018-04-29,689.03
2018-04-30,670.04
2018-05-01,670.38
2018-05-02,686.97
2018-05-03,776.46
2018-05-04,781.69
2018-05-05,815.88
2018-05-06,787.41
2018-05-07,751.42
2018-05-08,747.39
2018-05-09,749.55
2018-05-10,723.08
2018-05-11,678.13
2018-05-12,684.34
2018-05-13,729.61
2018-05-14,727.43
2018-05-15,706.07
2018-05-16,707.74
2018-05-17,668.46
2018-05-18,693.23
2018-05-19,696.39
2018-05-20,716.03
2018-05-21,697.58
2018-05-22,640.89
2018-05-23,577.75
2018-05-24,602.76
2018-05-25,585.29
2018-05-26,585.43
2018-05-27,570.53
2018-05-28,512.06
2018-05-29,567.1
2018-05-30,556.75
2018-05-31,577.04
2018-06-01,578.42
2018-06-02,590.71
2018-06-03,619.12
2018-06-04,591.14
2018-06-05,607.76
2018-06-06,606.12
2018-06-07,604.41
2018-06-08,599.23
2018-06-09,593.12
2018-06-10,525.38
2018-06-11,531.58
2018-06-12,494.17
2018-06-13,476.25
2018-06-14,520
2018-06-15,487.56
2018-06-16,496.99
2018-06-17,497.1
2018-06-18,517.27
2018-06-19,538.28
2018-06-20,535.62
2018-06-21,525.57
2018-06-22,462.6
2018-06-23,474.52
2018-06-24,455.01
2018-06-25,458.28
2018-06-26,429.45
2018-06-27,441.49
2018-06-28,420.12
2018-06-29,434.73
2018-06-30,453.8
2018-07-01,452.25
2018-07-02,476.12
2018-07-03,461.89
2018-07-04,466.72
2018-07-05,467.46
2018-07-06,470.26
2018-07-07,485.16
2018-07-08,486.11
2018-07-09,471.46
2018-07-10,432.64
2018-07-11,445
2018-07-12,431.03
2018-07-13,432.19
2018-07-14,432.93
2018-07-15,449.39
2018-07-16,478.5
2018-07-17,498.59
2018-07-18,479.28
2018-07-19,468.34
2018-07-20,448.4
2018-07-21,461.11
2018-07-22,456.94
2018-07-23,449.53
2018-07-24,478.86
2018-07-25,471.11
2018-07-26,461.73
2018-07-27,469.4
2018-07-28,468.46
2018-07-29,466.01
2018-07-30,456.18
2018-07-31,431.84
2018-08-01,419.7
2018-08-02,410.76
2018-08-03,417.54
2018-08-04,406.37
2018-08-05,408.49
2018-08-06,404.75
2018-08-07,378.02
2018-08-08,355.41
2018-08-09,363.76
2018-08-10,331.61
2018-08-11,317.64
2018-08-12,317.93
2018-08-13,283.8
2018-08-14,278.54
2018-08-15,281.28
2018-08-16,286.72
2018-08-17,317.57
2018-08-18,294.58
2018-08-19,299.59
2018-08-20,270.67
2018-08-21,281.14
2018-08-22,270.23
2018-08-23,275.87
2018-08-24,280.96
2018-08-25,277.65
2018-08-26,274.25
2018-08-27,287.99
2018-08-28,295.72
2018-08-29,288.74
2018-08-30,284.07
2018-08-31,281.33
2018-09-01,295.33
2018-09-02,294.94
2018-09-03,288.66
2018-09-04,285.3
2018-09-05,227.94
2018-09-06,229.1
2018-09-07,214.61
2018-09-08,196.92
2018-09-09,195.85
2018-09-10,196.82
2018-09-11,185.03
2018-09-12,182.8
2018-09-13,211.1
2018-09-14,208.51
2018-09-15,221.79
2018-09-16,220.11
2018-09-17,195.79
2018-09-18,208.31
2018-09-19,209.61
2018-09-20,224.17
2018-09-21,247.34
2018-09-22,240.11
2018-09-23,244.25
2018-09-24,227.85
2018-09-25,219.29
2018-09-26,214.18
2018-09-27,228.69
2018-09-28,220.82
2018-09-29,230.44
2018-09-30,232.02
2018-10-01,230.04
2018-10-02,224.71
2018-10-03,219.32
2018-10-04,221.01
2018-10-05,226.56
2018-10-06,223.33
2018-10-07,224.8
2018-10-08,227.65
2018-10-09,226.3
2018-10-10,223.27
2018-10-11,188.31
2018-10-12,193.84
2018-10-13,196.78
2018-10-14,192.1
2018-10-15,204.69
2018-10-16,205.52
2018-10-17,203.32
2018-10-18,199.16
2018-10-19,200.07
2018-10-20,202.53
2018-10-21,202.19
2018-10-22,201.2
2018-10-23,200.99
2018-10-24,200.56
2018-10-25,199.74
2018-10-26,200.72
2018-10-27,201.42
2018-10-28,202.47
2018-10-29,194.34
2018-10-30,195.41
2018-10-31,196.88
2018-11-01,196.8
2018-11-02,199.72
2018-11-03,198.87
2018-11-04,200.16
2018-11-05,207.24
2018-11-06,218.38
2018-11-07,217.12
2018-11-08,212.06
2018-11-09,211.47
2018-11-10,210.76
2018-11-11,209.96
2018-11-12,210.51
2018-11-13,203.68
2018-11-14,176.24
2018-11-15,177.33
2018-11-16,174.86
2018-11-17,172.13
2018-11-18,177.37
2018-11-19,147.32
2018-11-20,130.92
2018-11-21,130.94
2018-11-22,134.6
2018-11-23,120.31
2018-11-24,123.33
2018-11-25,101.05
2018-11-26,106.57
2018-11-27,103.95
2018-11-28,122.8
2018-11-29,119.54
2018-11-30,115.35
2018-12-01,118.63
2018-12-02,116.4
2018-12-03,108.44
2018-12-04,108.86
2018-12-05,101.72
2018-12-06,95.12
2018-12-07,92.95
2018-12-08,92.95
2018-12-09,92.95
2018-12-10,89.07
2018-12-11,87.97
2018-12-12,90
2018-12-13,84.38
2018-12-14,81.87
2018-12-15,81.87
2018-12-16,81.87
2018-12-17,93.95
2018-12-18,93.88
2018-12-19,98.92
2018-12-20,114.16
2018-12-21,108
2018-12-22,108
2018-12-23,108
2018-12-24,142.26
2018-12-25,135.01
2018-12-26,132.73
2018-12-27,115.49
2018-12-28,134.57
2018-12-29,134.57
2018-12-30,134.57
2018-12-31,135.21
2019-01-01,143.36
2019-01-02,154.57
2019-01-03,148.05
2019-01-04,154.03
2019-01-05,154.03
2019-01-06,154.03
2019-01-07,150.61
2019-01-08,153.05
2019-01-09,152.79
2019-01-10,127.04
2019-01-11,128.05
2019-01-12,128.05
2019-01-13,128.05
2019-01-14,128.03
2019-01-15,120.3
2019-01-16,122.31
2019-01-17,124.29
2019-01-18,119.59
2019-01-19,119.59
2019-01-20,119.59
2019-01-21,116.72
2019-01-22,117.68
2019-01-23,116.31
2019-01-24,116.5
2019-01-25,115.04
2019-01-26,115.04
2019-01-27,115.04
2019-01-28,103.53
2019-01-29,104.67
2019-01-30,107.25
2019-01-31,105.75
2019-02-01,106.34
2019-02-02,106.34
2019-02-03,106.34
2019-02-04,106.54
2019-02-05,106.03
2019-02-06,103.22
2019-02-07,105.68
2019-02-08,117.36
2019-02-09,117.36
2019-02-10,117.36
2019-02-11,119.58
2019-02-12,119.76
2019-02-13,123.32
2019-02-14,120.38
2019-02-15,123.82
2019-02-16,123.82
2019-02-17,123.82
2019-02-18,145.59
2019-02-19,143.04
2019-02-20,144.91
2019-02-21,143.52
2019-02-22,146.88
2019-02-23,146.88
2019-02-24,146.88
2019-02-25,135.73
2019-02-26,134.82
2019-02-27,130.97
2019-02-28,135.07
2019-03-01,136.16
2019-03-02,136.16
2019-03-03,136.16
2019-03-04,125.38
2019-03-05,138.79
2019-03-06,136.41
2019-03-07,141.24
2019-03-08,135.42
2019-03-09,135.42
2019-03-10,135.42
2019-03-11,131.96
2019-03-12,132.88
2019-03-13,131.24
2019-03-14,131.29
2019-03-15,139.57
2019-03-16,139.57
2019-03-17,139.57
2019-03-18,140.74
2019-03-19,137.65
2019-03-20,137.71
2019-03-21,135.08
2019-03-22,138.41
2019-03-23,138.41
2019-03-24,138.41
2019-03-25,131.89
2019-03-26,135.54
2019-03-27,140.32
2019-03-28,139.78
2019-03-29,140.44
2019-03-30,140.44
2019-03-31,140.44
2019-04-01,140.54
2019-04-02,159.72
2019-04-03,178.38
2019-04-04,157.61
2019-04-05,163.84
2019-04-06,163.84
2019-04-07,163.84
2019-04-08,181.39
2019-04-09,179
2019-04-10,176.17
2019-04-11,164.76
2019-04-12,163.73
2019-04-13,163.73
2019-04-14,163.73
2019-04-15,160.31
2019-04-16,165.6
2019-04-17,167.82
2019-04-18,175.73
2019-04-19,173.31
2019-04-20,173.31
2019-04-21,173.31
2019-04-22,171.8
2019-04-23,172.57
2019-04-24,164.32
2019-04-25,166.07
2019-04-26,151.02
2019-04-27,151.02
2019-04-28,151.02
2019-04-29,161.7
2019-04-30,156.47
2019-05-01,166.96
2019-05-02,158.92
2019-05-03,165.91
2019-05-04,165.91
2019-05-05,165.91
2019-05-06,183.74
2019-05-07,180.82
2019-05-08,176.23
2019-05-09,167.99
