Date,BTC
2014-07-17,626.3
2014-07-18,629.45
2014-07-19,631.3
2014-07-20,628.5
2014-07-21,624.81
2014-07-22,621.31
2014-07-23,620.47
2014-07-24,612.46
2014-07-25,603.45
2014-07-26,599.58
2014-07-27,594.42
2014-07-28,591.25
2014-07-29,587.91
2014-07-30,574.89
2014-07-31,573.69
2014-08-01,590.69
2014-08-02,593.72
2014-08-03,589.26
2014-08-04,588.71
2014-08-05,585.13
2014-08-06,582.25
2014-08-07,584.29
2014-08-08,587.42
2014-08-09,589.41
2014-08-10,590.4
2014-08-11,582.48
2014-08-12,571.69
2014-08-13,559.62
2014-08-14,528.92
2014-08-15,505.11
2014-08-16,512.86
2014-08-17,510.74
2014-08-18,486.72
2014-08-19,483.71
2014-08-20,505.71
2014-08-21,520.11
2014-08-22,517.72
2014-08-23,505.81
2014-08-24,502.4
2014-08-25,505.8
2014-08-26,509.08
2014-08-27,513.14
2014-08-28,509.41
2014-08-29,508.12
2014-08-30,505.4
2014-08-31,490.25
2014-09-01,477.46
2014-09-02,475.2
2014-09-03,474.69
2014-09-04,482.24
2014-09-05,483.63
2014-09-06,478.82
2014-09-07,478.7
2014-09-08,472.86
2014-09-09,470.84
2014-09-10,475.57
2014-09-11,477.62
2014-09-12,475.97
2014-09-13,476.24
2014-09-14,476.74
2014-09-15,472.48
2014-09-16,466.48
2014-09-17,458.24
2014-09-18,439.81
2014-09-19,411.24
2014-09-20,403.39
2014-09-21,405.86
2014-09-22,400.53
2014-09-23,420.56
2014-09-24,432.27
2014-09-25,416.96
2014-09-26,407.06
2014-09-27,402.82
2014-09-28,388.56
2014-09-29,374.77
2014-09-30,382.59
2014-10-01,387.93
2014-10-02,380.57
2014-10-03,367.5
2014-10-04,342.78
2014-10-05,325.08
2014-10-06,325.94
2014-10-07,331.69
2014-10-08,345.27
2014-10-09,360.28
2014-10-10,362.85
2014-10-11,361.82
2014-10-12,371.37
2014-10-13,386.53
2014-10-14,398.22
2014-10-15,398.94
2014-10-16,389.36
2014-10-17,383.7
2014-10-18,387.09
2014-10-19,390.01
2014-10-20,385.21
2014-10-21,383.58
2014-10-22,384.36
2014-10-23,370.06
2014-10-24,357.98
2014-10-25,353.74
2014-10-26,351.94
2014-10-27,353.11
2014-10-28,353.37
2014-10-29,345.86
2014-10-30,341.08
2014-10-31,342.07
2014-11-01,331.27
2014-11-02,324.39
2014-11-03,325.34
2014-11-04,328.21
2014-11-05,334.17
2014-11-06,344.18
2014-11-07,346.08
2014-11-08,344.09
2014-11-09,355.69
2014-11-10,366.03
2014-11-11,368.66
2014-11-12,398.63
2014-11-13,423.38
2014-11-14,410.06
2014-11-15,388.48
2014-11-16,383.42
2014-11-17,389.28
2014-11-18,381.79
2014-11-19,376.96
2014-11-20,367.75
2014-11-21,353.84
2014-11-22,352.75
2014-11-23,361.32
2014-11-24,372.16
2014-11-25,376.68
2014-11-26,372.94
2014-11-27,369.24
2014-11-28,373.42
2014-11-29,376.17
2014-11-30,375.99
2014-12-01,376.52
2014-12-02,378.03
2014-12-03,378.07
2014-12-04,373.01
2014-12-05,372.71
2014-12-06,375.53
2014-12-07,376.16
2014-12-08,370
2014-12-09,357.39
2014-12-10,349.14
2014-12-11,347.57
2014-12-12,351.11
2014-12-13,351.95
2014-12-14,353.95
2014-12-15,353.17
2014-12-16,339.03
2014-12-17,325.51
2014-12-18,317.32
2014-12-19,315.62
2014-12-20,325.18
2014-12-21,326.33
2014-12-22,326.71
2014-12-23,334.71
2014-12-24,329.97
2014-12-25,321.45
2014-12-26,324.58
2014-12-27,322.89
2014-12-28,317.06
2014-12-29,315.51
2014-12-30,312.49
2014-12-31,316.3
2015-01-01,317.89
2015-01-02,315.1
2015-01-03,298.71
2015-01-04,273.28
2015-01-05,271.12
2015-01-06,277.68
2015-01-07,277.68
2015-01-08,277.68
2015-01-09,285.79
2015-01-10,284.8
2015-01-11,271.02
2015-01-12,266.88
2015-01-13,247.55
2015-01-14,199.84
2015-01-15,191.35
2015-01-16,209.36
2015-01-17,203.86
2015-01-18,205.77
2015-01-19,214.1
2015-01-20,214.15
2015-01-21,219.86
2015-01-22,230.92
2015-01-23,233.83
2015-01-24,241.46
2015-01-25,252.26
2015-01-26,264.98
2015-01-27,269.37
2015-01-28,250.02
2015-01-29,235.92
2015-01-30,232.37
2015-01-31,223.6
2015-02-01,222.8
2015-02-02,232.88
2015-02-03,233.19
2015-02-04,227.5
2015-02-05,221.91
2015-02-06,220.05
2015-02-07,226.14
2015-02-08,226.44
2015-02-09,222.36
2015-02-10,220.8
2015-02-11,220.44
2015-02-12,221.57
2015-02-13,230.03
2015-02-14,247.01
2015-02-15,246.31
2015-02-16,235.16
2015-02-17,239.81
2015-02-18,241.15
2015-02-19,239.04
2015-02-20,243.26
2015-02-21,245.75
2015-02-22,241.09
2015-02-23,238.07
2015-02-24,239.79
2015-02-25,238.97
2015-02-26,237.41
2015-02-27,244.81
2015-02-28,253.13
2015-03-01,255.8
2015-03-02,267.04
2015-03-03,278.55
2015-03-04,275.96
2015-03-05,272.15
2015-03-06,273.08
2015-03-07,274.81
2015-03-08,275.99
2015-03-09,281.06
2015-03-10,288.56
2015-03-11,293.27
2015-03-12,296.09
2015-03-13,289.46
2015-03-14,282.83
2015-03-15,284.57
2015-03-16,288.01
2015-03-17,286.04
2015-03-18,269.85
2015-03-19,259.39
2015-03-20,261.91
2015-03-21,260.96
2015-03-22,264.16
2015-03-23,267.15
2015-03-24,255.64
2015-03-25,246.11
2015-03-26,248.09
2015-03-27,248.59
2015-03-28,250.43
2015-03-29,247.57
2015-03-30,245.09
2015-03-31,246.1
2015-04-01,245.47
2015-04-02,249.99
2015-04-03,253.74
2015-04-04,253.99
2015-04-05,257.33
2015-04-06,258.23
2015-04-07,254.71
2015-04-08,249.35
2015-04-09,244.31
2015-04-10,239.89
2015-04-11,236.33
2015-04-12,236.54
2015-04-13,229.7
2015-04-14,219.39
2015-04-15,219.32
2015-04-16,225.16
2015-04-17,225.1
2015-04-18,223.03
2015-04-19,222.94
2015-04-20,223.41
2015-04-21,230.02
2015-04-22,234.52
2015-04-23,234.54
2015-04-24,233.37
2015-04-25,228.59
2015-04-26,222.87
2015-04-27,223.35
2015-04-28,226.21
2015-04-29,225.38
2015-04-30,230.99
2015-05-01,233.76
2015-05-02,232.44
2015-05-03,236.78
2015-05-04,239.04
2015-05-05,237.12
2015-05-06,232.51
2015-05-07,233.4
2015-05-08,240.45
2015-05-09,242.6
2015-05-10,240.56
2015-05-11,240.22
2015-05-12,241.18
2015-05-13,238.51
2015-05-14,236.55
2015-05-15,237.26
2015-05-16,236.54
2015-05-17,235.82
2015-05-18,234.58
2015-05-19,232.34
2015-05-20,232.95
2015-05-21,234.71
2015-05-22,236.9
2015-05-23,238.46
2015-05-24,238.91
2015-05-25,237.71
2015-05-26,235.72
2015-05-27,235.52
2015-05-28,235.89
2015-05-29,236.25
