Date,FM EMEA
2002-05-31,240.37827424365815
2002-06-03,245.27151601619659
2002-06-04,245.22372098934773
2002-06-05,245.3825887236429
2002-06-06,246.15965201125312
2002-06-07,246.59752527737618
2002-06-10,247.44499254441715
2002-06-11,247.21163734632006
2002-06-12,246.1727799736579
2002-06-13,246.72327770786487
2002-06-14,247.8828189728543
2002-06-17,245.8106602397851
2002-06-18,246.2689055658275
2002-06-19,245.59230716835276
2002-06-20,245.20881911749677
2002-06-21,245.4659543374473
2002-06-24,245.8514631935842
2002-06-25,245.10162344808592
2002-06-26,246.00677872496658
2002-06-27,245.4210417449011
2002-06-28,245.87378942305432
2002-07-01,246.22277705179624
2002-07-02,247.07410202082116
2002-07-03,247.4870447340412
2002-07-04,247.73029046443688
2002-07-05,247.85035290595562
2002-07-08,250.1471520192995
2002-07-09,251.36004164200364
2002-07-10,250.90752108735177
2002-07-11,249.78220440745878
2002-07-12,249.11113773105316
2002-07-15,248.8941274871191
2002-07-16,247.56287445420762
2002-07-17,248.05175981269753
2002-07-18,247.54320727247065
2002-07-19,247.7414898694503
2002-07-22,245.9624353082335
2002-07-23,244.7206081522396
2002-07-24,242.08609876062192
2002-07-25,243.52899787889788
2002-07-26,243.59013130173264
2002-07-29,239.75842335179465
2002-07-30,242.49372626947132
2002-07-31,242.11543526387092
2002-08-01,243.05348453350092
2002-08-02,244.41772327940217
2002-08-05,245.31247188979506
2002-08-06,243.14810130976764
2002-08-07,243.82314087403577
2002-08-08,243.64241513467636
2002-08-09,243.7160800717452
2002-08-12,243.3740226392322
2002-08-13,243.15123308191198
2002-08-14,243.17296974468226
2002-08-15,243.27468449607105
2002-08-16,243.23102452951431
2002-08-19,243.15542682337107
2002-08-20,241.79829478713444
2002-08-21,242.64800949985457
2002-08-22,244.75202151398392
2002-08-23,245.85240155238566
2002-08-26,248.67206360295486
2002-08-27,250.92664056152285
2002-08-28,250.32561653034819
2002-08-29,250.82991846815474
2002-08-30,250.3385156803838
2002-09-02,249.7294059342142
2002-09-03,248.91505810894898
2002-09-04,250.38712784463158
2002-09-05,250.76767372665242
2002-09-06,248.93095801326027
2002-09-09,247.81053228805925
2002-09-10,245.73990706437283
2002-09-11,246.88444213960244
2002-09-12,245.9625694180006
2002-09-13,246.06246843391213
2002-09-16,243.71374723706523
