Date,FM CENTRAL & EASTERN EUROPE + CIS
2002-05-31,221.3498506796424
2002-06-03,221.45729274146473
2002-06-04,226.48726977786677
2002-06-05,223.86553705683605
2002-06-06,224.6762092569782
2002-06-07,224.62821493627806
2002-06-10,224.03335934423563
2002-06-11,223.82144790181925
2002-06-12,225.3449657033944
2002-06-13,224.4223245999712
2002-06-14,224.85306035287329
2002-06-17,224.10554652113993
2002-06-18,228.230897058486
2002-06-19,230.32653454013646
2002-06-20,231.851253901448
2002-06-21,231.58607699956534
2002-06-24,232.41279567566846
2002-06-25,230.63066430608117
2002-06-26,232.50453081385757
2002-06-27,229.141001503848
2002-06-28,232.36854757606906
2002-07-01,228.98975659439492
2002-07-02,227.37940955675444
2002-07-03,225.2977138384535
2002-07-04,227.35344884099564
2002-07-05,226.78845789143284
2002-07-08,228.54535006921682
2002-07-09,229.58842041791698
2002-07-10,226.3946034501874
2002-07-11,219.31326112683712
2002-07-12,217.5551081624024
2002-07-15,216.9263506931922
2002-07-16,216.5982891794313
2002-07-17,217.07826410619043
2002-07-18,217.07743389828795
2002-07-19,216.15117056074075
2002-07-22,209.05710012307784
2002-07-23,206.32798898462522
2002-07-24,201.15323541277226
2002-07-25,205.1734678063677
2002-07-26,202.78264095398322
2002-07-29,194.81477058081208
2002-07-30,211.4049477653509
2002-07-31,210.0987643567106
2002-08-01,211.8643340518789
2002-08-02,212.33629866613327
2002-08-05,210.3622768884854
2002-08-06,205.7319492131223
2002-08-07,208.92503280797115
2002-08-08,208.7919122344604
2002-08-09,209.08434272966983
2002-08-12,207.5467395609464
2002-08-13,204.74254537825166
2002-08-14,206.14792175484828
2002-08-15,204.80594977765335
2002-08-16,207.29294021801246
2002-08-19,202.70543954696626
2002-08-20,203.17830612280477
2002-08-21,206.26331717667122
2002-08-22,210.2737912921009
2002-08-23,216.93431009294946
2002-08-26,221.1526920705104
2002-08-27,221.48621905069263
2002-08-28,218.67636710816595
2002-08-29,223.75075410643896
2002-08-30,221.49563512238353
2002-09-02,217.50939922589214
2002-09-03,213.7021582911144
2002-09-04,215.80187695304232
2002-09-05,217.40418814218577
2002-09-06,220.99325648285304
2002-09-09,218.08288833621808
2002-09-10,221.68701548369657
2002-09-11,221.79990166074955
2002-09-12,219.95868930638343
2002-09-13,220.61170186265005
2002-09-16,211.94229817243146
2002-09-17,218.63681528174368
2002-09-18,219.7358512539886
2002-09-19,217.52946859565708
2002-09-20,217.64046520057906
2002-09-23,215.84026358133903
2002-09-24,215.00037556308413
2002-09-25,212.69226752186933
2002-09-26,210.72143163152188
2002-09-27,206.1068091953571
2002-09-30,215.57839091105626
2002-10-01,210.86148684146565
2002-10-02,210.99874703624798
2002-10-03,211.2776142073766
2002-10-04,210.20477529231468
2002-10-07,209.2823895805619
2002-10-08,207.76449373772007
2002-10-09,208.6707705185037
2002-10-10,207.31796426273576
2002-10-11,208.403660835576
2002-10-14,208.9896325309376
2002-10-15,209.69409001629145
2002-10-16,208.23935758799828
2002-10-17,206.19440975630053
2002-10-18,207.50086966547218
2002-10-21,212.8581211372682
2002-10-22,214.69733915026015
2002-10-23,215.10026065841518
2002-10-24,214.63999216213304
2002-10-25,214.23603429977322
