Date,FM LATIN AMERICA & CARIBBEAN INDEX
2009-05-29,1000.0
2009-06-01,1066.2238540470742
2009-06-02,1108.8557535766743
2009-06-03,1092.3170148178049
2009-06-04,1112.6633777815603
2009-06-05,1120.7150997923022
2009-06-08,1101.7488658151283
2009-06-09,1099.8694322287163
2009-06-10,1099.5670472608954
2009-06-11,1104.7696938367587
2009-06-12,1097.625708112362
2009-06-15,1099.7316460273446
2009-06-16,1076.5260317866437
2009-06-17,1077.5132406943767
2009-06-18,1071.4392537762626
2009-06-19,1096.6762785703213
2009-06-22,1088.6702217198424
2009-06-23,1081.6833481710958
2009-06-24,1086.137195347076
2009-06-25,1112.819462209848
2009-06-26,1106.6010314369712
2009-06-29,1140.7346645348396
2009-06-30,1164.7428131280012
2009-07-01,1170.624738537939
2009-07-02,1145.4244272916228
2009-07-03,1145.7792448494095
2009-07-06,1157.8455079145779
2009-07-07,1164.8378543303609
2009-07-08,1133.289425121498
2009-07-09,1135.1744309364703
2009-07-10,1141.9710110321544
2009-07-13,1150.9683674384132
2009-07-14,1158.2749358703845
2009-07-15,1171.8946864656173
2009-07-16,1180.7070133348013
2009-07-17,1175.8561921870405
2009-07-20,1196.2305249396147
2009-07-21,1191.2748964909347
2009-07-22,1202.765489469635
2009-07-23,1212.4015683351656
2009-07-24,1201.3967120129166
2009-07-27,1198.651752841038
2009-07-28,1199.0535077260417
2009-07-29,1193.5532100723176
2009-07-30,1210.3761389108888
2009-07-31,1225.34767861714
2009-08-03,1251.7707277723273
2009-08-04,1258.7821606877083
2009-08-05,1257.7781953867752
2009-08-06,1247.8153188133736
2009-08-07,1255.281552789824
2009-08-10,1263.9940586338107
2009-08-11,1249.1395882742602
2009-08-12,1249.5599546536994
2009-08-13,1269.7531491839118
2009-08-14,1243.8804294969143
2009-08-17,1203.811777967573
2009-08-18,1221.5994540237914
2009-08-19,1226.0460503633954
2009-08-20,1262.6863283875668
2009-08-21,1290.1731279745688
2009-08-24,1321.5052046038818
2009-08-25,1322.9843800380868
2009-08-26,1315.7985765455237
2009-08-27,1310.560948960844
2009-08-28,1343.9203386064062
2009-08-31,1340.45610829482
2009-09-01,1327.01290525912
2009-09-02,1319.0089120149414
2009-09-03,1327.204313446328
2009-09-04,1335.7901569870019
2009-09-07,1334.082719858643
2009-09-08,1356.0587067107494
2009-09-09,1371.7331629991174
2009-09-10,1364.5445961755456
2009-09-11,1367.2052817543345
2009-09-14,1368.7389339710626
2009-09-15,1373.7683411841444
2009-09-16,1398.9036348718362
2009-09-17,1389.9316055255306
2009-09-18,1369.8767565952455
2009-09-21,1358.1559351176127
2009-09-22,1391.5946191182818
2009-09-23,1387.7100383676889
2009-09-24,1374.2552986635155
2009-09-25,1362.0936645871616
