Date,FM ex GCC
2002-05-31,198.04834028720396
2002-06-03,198.30426814052905
2002-06-04,201.8396431776241
2002-06-05,201.4650465023076
2002-06-06,202.5709315446365
2002-06-07,203.87453737244996
2002-06-10,206.97590054937913
2002-06-11,207.79184536057278
2002-06-12,208.06381960012806
2002-06-13,209.48627770079867
2002-06-14,212.91803108738017
2002-06-17,210.13915110049203
2002-06-18,209.9047806038807
2002-06-19,208.3521907396255
2002-06-20,206.88695194695634
2002-06-21,207.08396098876906
2002-06-24,205.66540203238884
2002-06-25,206.19680191050549
2002-06-26,207.70827216965742
2002-06-27,206.192890239795
2002-06-28,207.61422773077297
2002-07-01,206.69800687492665
2002-07-02,205.91955739160105
2002-07-03,206.83850602317662
2002-07-04,208.3844798679071
2002-07-05,209.03586503874723
2002-07-08,208.93993835346987
2002-07-09,210.69129948242926
2002-07-10,208.1047962066297
2002-07-11,204.39747916312493
2002-07-12,202.2918539586327
2002-07-15,202.20069154052823
2002-07-16,200.90911537275343
2002-07-17,201.37661241377853
2002-07-18,201.18398066631767
2002-07-19,201.31904195375108
2002-07-22,195.51645370069903
2002-07-23,194.53971041390332
2002-07-24,192.75510331986032
2002-07-25,195.791673116724
2002-07-26,195.8946549191044
2002-07-29,189.65162679551307
2002-07-30,195.77542588905052
2002-07-31,195.29389943981036
2002-08-01,198.10749925740032
2002-08-02,201.38323503999226
2002-08-05,200.74340122299714
2002-08-06,199.2094199372658
2002-08-07,200.15409486926066
2002-08-08,199.5179096560991
2002-08-09,199.54918441839442
2002-08-12,199.35015874404684
2002-08-13,195.99683644865266
2002-08-14,195.63215048540368
2002-08-15,196.27594510007626
2002-08-16,196.47238986225915
2002-08-19,194.76613677768825
2002-08-20,193.9169162303416
2002-08-21,194.79770552190206
2002-08-22,197.92841304774745
2002-08-23,201.52879560543596
2002-08-26,204.6259815410094
2002-08-27,204.30224087888558
2002-08-28,202.16424617870237
2002-08-29,204.17041145348205
2002-08-30,202.76270588297854
2002-09-02,200.93618500418785
2002-09-03,200.36954474970048
2002-09-04,205.205837680095
2002-09-05,205.87028569287864
2002-09-06,204.58766104375024
2002-09-09,204.05274649960572
2002-09-10,204.0807818668665
2002-09-11,203.60836072354738
2002-09-12,201.50354578138067
2002-09-13,202.23426721876288
2002-09-16,198.02610455544715
2002-09-17,200.11087617705957
2002-09-18,199.71489485142627
2002-09-19,199.33395729876392
2002-09-20,199.05133495345652
2002-09-23,197.32899390984733
2002-09-24,197.21528066695154
2002-09-25,195.91628146778504
2002-09-26,194.92860845470014
2002-09-27,194.23233220130186
2002-09-30,197.26933768106508
2002-10-01,194.45755991356455
2002-10-02,194.5597818892534
2002-10-03,195.63054964390807
2002-10-04,196.16039944176927
2002-10-07,194.59761957419474
2002-10-08,194.3690534477299
2002-10-09,194.21355851615547
2002-10-10,193.7418390408142
2002-10-11,195.26144522744553
2002-10-14,195.42894852787464
2002-10-15,194.92319300812898
2002-10-16,194.109497689788
2002-10-17,193.4415640229177
2002-10-18,194.676832648437
2002-10-21,196.53360126250524
2002-10-22,196.82051455033368
2002-10-23,196.2284917155724
2002-10-24,194.35914590740438
2002-10-25,194.86761869260107
2002-10-28,196.3274741198332
2002-10-29,196.4454462525326
2002-10-30,195.66779568430476
2002-10-31,196.51486268873086
2002-11-01,197.80009867592088
2002-11-04,199.09696535265755
2002-11-05,200.0059335023841
2002-11-06,198.98537840333796
2002-11-07,201.86575656883872
2002-11-08,204.53699745556713
2002-11-11,204.81323002772575
2002-11-12,204.37200165673127
2002-11-13,204.28509277945338
2002-11-14,203.92083333612032
2002-11-15,204.59298134135813
2002-11-18,205.18722451198028
2002-11-19,206.3157033865619
2002-11-20,204.78637646099446
2002-11-21,204.4520467032726
2002-11-22,205.26100065594167
2002-11-25,205.68922514495165
2002-11-26,206.27542850027243
2002-11-27,207.59288919062095
2002-11-28,209.33652582817717
2002-11-29,210.6748478933825
2002-12-02,209.5713133311384
2002-12-03,206.0235433812341
2002-12-04,205.97851164701632
2002-12-05,208.07879150369737
2002-12-06,207.67476415267754
2002-12-09,206.50373294582727
2002-12-10,207.64936559455643
2002-12-11,209.43604058275622
2002-12-12,210.82033531055856
2002-12-13,209.7680169992454
2002-12-16,208.4840516816837
2002-12-17,209.49125456871124
2002-12-18,209.01683183839435
2002-12-19,208.17210050846876
2002-12-20,210.511363203208
2002-12-23,210.60768601851757
2002-12-24,212.78976573180034
2002-12-25,212.78976573180034
2002-12-26,212.93759031174264
2002-12-27,213.8827740019514
