Date,EM EQUAL WEIGHTED
1994-06-30,1618.52819875
1994-07-29,1675.00737744
1994-08-31,1805.29067081
1994-09-30,1873.34245377
1994-10-31,1884.29770292
1994-11-30,1828.23619517
1994-12-30,1756.48264837
1995-01-31,1579.08021982
1995-02-28,1559.57047253
1995-03-31,1577.8580701
1995-04-28,1596.74054461
1995-05-31,1684.81199064
1995-06-30,1694.30360467
1995-07-31,1759.19429693
1995-08-31,1699.14244004
1995-09-29,1674.44241386
1995-10-31,1618.31087991
1995-11-30,1513.54176953
1995-12-29,1546.08082261
1996-01-31,1622.20242122
1996-02-29,1649.6701227
1996-03-29,1642.91130012
1996-04-30,1721.23417553
1996-05-31,1693.6319696
1996-06-28,1660.83764885
1996-07-31,1549.67998771
1996-08-30,1553.75593321
1996-09-30,1547.85454227
1996-10-31,1511.48596132
1996-11-29,1516.38176449
1996-12-31,1509.07201202
1997-01-01,1509.07201202
1997-01-02,1517.95603068
1997-01-03,1524.16490581
1997-01-06,1527.28883947
1997-01-07,1537.02987477
1997-01-08,1550.05729065
1997-01-09,1558.75730236
1997-01-10,1565.92562732
1997-01-13,1578.71745891
1997-01-14,1589.17374557
1997-01-15,1609.64646924
1997-01-16,1613.64148176
1997-01-17,1609.8920526
1997-01-20,1619.39083916
1997-01-21,1608.90374719
1997-01-22,1608.07601515
1997-01-23,1610.61467051
1997-01-24,1616.1503975
1997-01-27,1624.79234409
1997-01-28,1618.42344168
1997-01-29,1612.95267881
1997-01-30,1625.22891323
1997-01-31,1623.49834651
1997-02-03,1628.97812637
1997-02-04,1630.76990035
1997-02-05,1639.50858106
1997-02-06,1646.69135266
1997-02-07,1648.20134815
1997-02-10,1659.45068618
1997-02-11,1660.20332373
1997-02-12,1669.57332871
1997-02-13,1673.08773757
1997-02-14,1670.83018669
1997-02-17,1685.06901948
1997-02-18,1687.67370095
1997-02-19,1694.19833736
1997-02-20,1698.70606136
1997-02-21,1697.23008952
1997-02-24,1692.1205989
1997-02-25,1700.15841913
1997-02-26,1691.47915627
1997-02-27,1675.52962471
1997-02-28,1677.15034411
1997-03-03,1667.26058247
1997-03-04,1657.05891594
1997-03-05,1657.01514741
1997-03-06,1659.85972759
1997-03-07,1659.62412277
1997-03-10,1657.14906396
1997-03-11,1653.18195503
1997-03-12,1647.09462246
1997-03-13,1644.44864194
1997-03-14,1632.61676862
1997-03-17,1638.61581059
1997-03-18,1637.5752641
1997-03-19,1628.47233894
1997-03-20,1623.56820888
1997-03-21,1612.85386718
1997-03-24,1600.97172295
1997-03-25,1607.80395279
1997-03-26,1621.54136667
1997-03-27,1622.22995329
1997-03-28,1622.38973952
1997-03-31,1617.50082605
1997-04-01,1611.11217576
1997-04-02,1617.75192526
1997-04-03,1614.9542961
1997-04-04,1617.53912798
1997-04-07,1617.46957131
1997-04-08,1615.61564725
1997-04-09,1621.44659446
1997-04-10,1614.61502069
1997-04-11,1613.00864993
1997-04-14,1610.86544832
1997-04-15,1609.68194365
1997-04-16,1614.18655248
1997-04-17,1609.19966987
1997-04-18,1608.49770796
1997-04-21,1618.05119398
1997-04-22,1613.68662027
1997-04-23,1622.11721486
1997-04-24,1616.62550176
1997-04-25,1617.36872422
1997-04-28,1613.02066088
1997-04-29,1605.68489337
1997-04-30,1611.15701144
1997-05-01,1614.64395827
1997-05-02,1613.07304502
1997-05-05,1616.68649201
1997-05-06,1617.54153602
1997-05-07,1611.79264346
1997-05-08,1606.78536062
1997-05-09,1607.66333708
1997-05-12,1591.67905843
1997-05-13,1594.57404984
1997-05-14,1590.6531441
1997-05-15,1592.01818427
1997-05-16,1588.44812452
1997-05-19,1598.0050975
1997-05-20,1606.61536088
1997-05-21,1612.38790229
1997-05-22,1606.29090888
1997-05-23,1608.90908615
1997-05-26,1602.40767349
1997-05-27,1601.6706754
1997-05-28,1606.68485197
1997-05-29,1606.24426209
1997-05-30,1611.05005362
1997-06-02,1627.67031941
1997-06-03,1635.39033654
1997-06-04,1633.3580057
1997-06-05,1637.00680465
1997-06-06,1638.32936374
1997-06-09,1646.28844975
1997-06-10,1644.64745015
1997-06-11,1645.19344171
1997-06-12,1647.77081261
1997-06-13,1647.93242783
1997-06-16,1657.62104854
1997-06-17,1654.08127327
1997-06-18,1646.78467132
1997-06-19,1651.96987984
1997-06-20,1655.68632899
1997-06-23,1659.63150855
1997-06-24,1653.80351825
1997-06-25,1652.65165043
1997-06-26,1653.25428058
1997-06-27,1653.44744966
1997-06-30,1662.87093498
1997-07-01,1673.90220215
1997-07-02,1693.01129733
1997-07-03,1703.16189726
1997-07-04,1711.90022116
1997-07-07,1708.84290429
1997-07-08,1700.65622995
1997-07-09,1705.70654246
1997-07-10,1707.77021538
1997-07-11,1698.31294104
1997-07-14,1687.77349191
1997-07-15,1672.76775244
1997-07-16,1671.09925059
1997-07-17,1673.07136825
1997-07-18,1663.12855624
1997-07-21,1662.3600535
1997-07-22,1661.04059226
1997-07-23,1658.99725034
1997-07-24,1665.79636745
1997-07-25,1666.77530934
1997-07-28,1677.5115338
1997-07-29,1685.76435398
1997-07-30,1687.90833741
1997-07-31,1695.0207427
1997-08-01,1682.55210657
1997-08-04,1690.40414975
1997-08-05,1687.6695411
1997-08-06,1692.67857642
1997-08-07,1687.94809895
1997-08-08,1686.65416658
1997-08-11,1681.41687171
1997-08-12,1670.08256751
1997-08-13,1663.77495604
1997-08-14,1655.95485617
1997-08-15,1648.20490291
1997-08-18,1618.11077234
1997-08-19,1609.26214656
1997-08-20,1619.21525335
1997-08-21,1623.07265584
1997-08-22,1608.29895441
1997-08-25,1593.96740736
1997-08-26,1589.75028525
1997-08-27,1579.53793744
1997-08-28,1548.56024807
1997-08-29,1523.32277353
1997-09-01,1495.19963239
1997-09-02,1498.37609996
1997-09-03,1499.3984358
1997-09-04,1497.95485583
1997-09-05,1542.88929344
1997-09-08,1572.14406919
1997-09-09,1579.93389626
1997-09-10,1566.07930253
1997-09-11,1553.04331749
1997-09-12,1558.55701348
1997-09-15,1554.87849034
1997-09-16,1544.20225107
1997-09-17,1541.03549812
1997-09-18,1535.70926988
1997-09-19,1533.62123317
1997-09-22,1516.93371836
1997-09-23,1519.88322207
1997-09-24,1529.20775913
1997-09-25,1533.56380005
1997-09-26,1529.28814024
1997-09-29,1524.77537561
1997-09-30,1526.79852611
1997-10-01,1513.69813882
1997-10-02,1512.18766268
1997-10-03,1503.22638213
1997-10-06,1502.29034515
1997-10-07,1498.15169405
1997-10-08,1505.50220161
1997-10-09,1515.19309077
1997-10-10,1525.3165289
1997-10-13,1524.5776094
1997-10-14,1526.09394583
1997-10-15,1510.75034195
1997-10-16,1499.5645089
1997-10-17,1492.93113147
1997-10-20,1464.7713636
1997-10-21,1464.86770323
1997-10-22,1469.18551339
1997-10-23,1449.43499578
