Date,EM ASIA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1017.9790769101036
1999-01-05,1037.735162758946
1999-01-06,1067.260455178642
1999-01-07,1094.5125156761362
1999-01-08,1092.4089462558704
1999-01-11,1103.4807826517404
1999-01-12,1091.8110444166427
1999-01-13,1062.7599111620889
1999-01-14,1026.1984547361728
1999-01-15,1039.0777272269295
1999-01-18,1051.101923232254
1999-01-19,1040.2724031501623
1999-01-20,1039.4713618837472
1999-01-21,1025.960080944319
1999-01-22,998.0425181426787
1999-01-25,966.1343944972074
1999-01-26,968.9606943559708
1999-01-27,990.1265814943001
1999-01-28,986.7285280083814
1999-01-29,986.456644948683
1999-02-01,983.1386449732224
1999-02-02,972.2462779270193
1999-02-03,967.3031061388623
1999-02-04,950.1559321091314
1999-02-05,942.2742763131785
1999-02-08,943.2398811812152
1999-02-09,929.9515811756859
1999-02-10,936.9758712654991
1999-02-11,935.6998214060638
1999-02-12,953.1158874237344
1999-02-15,954.0779382091225
1999-02-16,957.4040828198059
1999-02-17,955.1820009725336
1999-02-18,951.1569061837974
1999-02-19,937.4344197136558
1999-02-22,937.264184951978
1999-02-23,934.3987435016963
1999-02-24,929.6056032497914
1999-02-25,926.3683911656179
1999-02-26,938.5541968169739
1999-03-01,948.4097202993348
1999-03-02,947.5641005398385
1999-03-03,954.9136565969658
1999-03-04,948.4480001681128
1999-03-05,950.0601392874665
1999-03-08,966.1926461832284
1999-03-09,966.2721193583263
1999-03-10,967.2326215133846
1999-03-11,966.9167033164194
1999-03-12,973.9650244891108
1999-03-15,985.8667903123009
1999-03-16,989.2972665577062
1999-03-17,996.8056422090674
1999-03-18,998.2576102525269
1999-03-19,1019.6601911897699
1999-03-22,1032.8015298804264
1999-03-23,1040.763113934768
1999-03-24,1032.5497185229615
1999-03-25,1032.93570888175
1999-03-26,1031.1094606839945
1999-03-29,1028.020190181446
1999-03-30,1034.3029599702513
1999-03-31,1037.2996675784532
1999-04-01,1050.1954078963174
1999-04-02,1062.3957223685481
1999-04-05,1053.1668363793128
1999-04-06,1066.998494282947
1999-04-07,1070.563983566416
1999-04-08,1079.8016463287693
1999-04-09,1088.621018390011
1999-04-12,1084.4891878459682
1999-04-13,1091.202572071511
1999-04-14,1102.598854419224
1999-04-15,1126.5442991766781
1999-04-16,1158.475258175356
1999-04-19,1186.9977277894325
1999-04-20,1199.7588636903681
1999-04-21,1186.238541874396
1999-04-22,1189.4344714857575
1999-04-23,1199.3141659388643
1999-04-26,1213.6362480369717
1999-04-27,1229.4390403942125
1999-04-28,1241.7947250463355
1999-04-29,1245.4303510891232
1999-04-30,1269.5379315358857
1999-05-03,1299.841316663504
1999-05-04,1352.4594364655422
1999-05-05,1369.5426170063645
1999-05-06,1407.9696992734573
1999-05-07,1404.0842484091916
1999-05-10,1415.8395908365117
1999-05-11,1414.8792317451635
1999-05-12,1413.2957304325225
1999-05-13,1393.0243035398353
1999-05-14,1404.708780412423
1999-05-17,1370.505873756287
1999-05-18,1376.404662221057
1999-05-19,1390.5264538726299
1999-05-20,1383.6934121486543
1999-05-21,1375.8711380694538
1999-05-24,1400.264664131384
1999-05-25,1411.7518258280788
1999-05-26,1408.3120643092138
1999-05-27,1410.3329595698742
1999-05-28,1390.1638485371452
1999-05-31,1399.9313091073473
1999-06-01,1407.91972066123
1999-06-02,1414.1898951789299
1999-06-03,1427.6396788924387
1999-06-04,1445.242725645071
1999-06-07,1476.8365403859063
1999-06-08,1517.246915187472
1999-06-09,1503.0257004726614
1999-06-10,1534.3430369850535
1999-06-11,1549.8649126833957
1999-06-14,1563.9152624881372
1999-06-15,1545.0494963859694
1999-06-16,1561.2146294622366
1999-06-17,1591.54217386087
1999-06-18,1599.397423976628
1999-06-21,1644.51360786027
1999-06-22,1682.5589037256086
1999-06-23,1696.5600161127004
1999-06-24,1699.6344780623135
1999-06-25,1685.3452701706003
1999-06-28,1715.8048463327111
1999-06-29,1730.9737561769268
1999-06-30,1708.1035330257757
1999-07-01,1711.1124203001689
1999-07-02,1729.5881478575757
1999-07-05,1761.6410315731957
1999-07-06,1774.984299885497
1999-07-07,1768.0107635451159
1999-07-08,1773.2105457379519
1999-07-09,1793.944341260499
1999-07-12,1807.7906650579205
1999-07-13,1777.5605049592048
1999-07-14,1743.9062784298787
1999-07-15,1746.4771991507216
1999-07-16,1741.1655874120352
1999-07-19,1738.0576208966513
1999-07-20,1741.2794732272312
1999-07-21,1726.9950650424855
1999-07-22,1716.8768050287665
1999-07-23,1668.7503028770454
1999-07-26,1617.982936172713
1999-07-27,1617.967655941131
1999-07-28,1656.5144973892764
1999-07-29,1676.7379265853642
1999-07-30,1659.66006180671
1999-08-02,1648.7741706611753
1999-08-03,1663.140203171553
1999-08-04,1669.5598645538728
1999-08-05,1628.2983203396486
