Date,EM EMEA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1032.0019986070583
1999-01-05,1045.321638250462
1999-01-06,1066.7115590455926
1999-01-07,1057.9618701392744
1999-01-08,1058.9928461593793
1999-01-11,1055.2412952323782
1999-01-12,1044.805442881886
1999-01-13,993.2264820767834
1999-01-14,1000.7238547810265
1999-01-15,993.5958666298725
1999-01-18,1022.5230851112465
1999-01-19,1022.7199862178317
1999-01-20,1029.504329254565
1999-01-21,1023.3174080891201
1999-01-22,1012.3788342302036
1999-01-25,1001.2470891347451
1999-01-26,1014.5420474483215
1999-01-27,1021.9952627481562
1999-01-28,1014.3310988466591
1999-01-29,1021.4644903898619
1999-02-01,1034.0454472158217
1999-02-02,1033.1576065846752
1999-02-03,1033.4186955900811
1999-02-04,1042.0396483563593
1999-02-05,1039.3362894898137
1999-02-08,1046.8222356016868
1999-02-09,1043.3704111788277
1999-02-10,1041.854922111825
1999-02-11,1054.5394543534137
1999-02-12,1065.5959075074713
1999-02-15,1076.5599703164728
1999-02-16,1075.2289014090923
1999-02-17,1080.3761167215266
1999-02-18,1077.2005571460998
1999-02-19,1069.851908657116
1999-02-22,1071.7348078403782
1999-02-23,1060.3879246307429
1999-02-24,1071.050942232323
1999-02-25,1076.5485033544837
1999-02-26,1081.5864863189918
1999-03-01,1093.2558891532703
1999-03-02,1094.4410701735117
1999-03-03,1105.1444898359475
1999-03-04,1090.0529614840357
1999-03-05,1106.1693825202615
1999-03-08,1131.7941905474388
1999-03-09,1146.064874926392
1999-03-10,1148.4098285033413
1999-03-11,1162.4698335756468
1999-03-12,1170.3488512220904
1999-03-15,1161.8644999020005
1999-03-16,1154.8433661427823
1999-03-17,1176.5509731831173
1999-03-18,1177.4577948801305
1999-03-19,1193.4768389658818
1999-03-22,1192.6476400117767
1999-03-23,1182.8364817766922
1999-03-24,1151.7538519729112
1999-03-25,1170.7627085800277
1999-03-26,1172.3537865124867
1999-03-29,1171.6628198733015
1999-03-30,1183.6201019216503
1999-03-31,1177.4186924897338
1999-04-01,1168.4668375175609
1999-04-02,1176.749657633689
1999-04-05,1174.4866817723348
1999-04-06,1186.8927051403823
1999-04-07,1202.3572456146076
1999-04-08,1201.8894379540893
1999-04-09,1193.2256676907448
1999-04-12,1181.7981496241157
1999-04-13,1178.2348227661487
1999-04-14,1209.2343267741894
1999-04-15,1207.5301333680097
1999-04-16,1220.3589245827484
1999-04-19,1228.160120779626
1999-04-20,1239.2287939595956
1999-04-21,1231.5579841342942
1999-04-22,1235.426033795576
1999-04-23,1241.5634326895845
1999-04-26,1243.4365351426165
1999-04-27,1248.4188779097271
1999-04-28,1251.937300473466
1999-04-29,1251.3926872073284
1999-04-30,1260.9901530174768
1999-05-03,1279.104162559895
1999-05-04,1289.7616489309282
1999-05-05,1302.8478845713812
1999-05-06,1330.5052322238002
1999-05-07,1320.1776325253188
1999-05-10,1322.6822509602111
1999-05-11,1341.2672320486129
1999-05-12,1323.469136366659
1999-05-13,1323.5669744569316
1999-05-14,1348.781268933594
1999-05-17,1339.0630032467348
1999-05-18,1356.9146776773935
1999-05-19,1363.1374886154802
1999-05-20,1361.8111428464938
1999-05-21,1354.6380950284079
1999-05-24,1342.8323104292758
1999-05-25,1322.6755663366496
1999-05-26,1307.5262753103034
1999-05-27,1309.3025880648884
1999-05-28,1303.7065121692294
1999-05-31,1303.0254699559298
1999-06-01,1324.2847968887038
1999-06-02,1307.1869250627524
1999-06-03,1317.0895319682015
1999-06-04,1323.8356314275718
1999-06-07,1338.9753654269145
1999-06-08,1346.7179542586675
1999-06-09,1347.7516404591236
1999-06-10,1359.179810246603
1999-06-11,1368.6314665742646
1999-06-14,1373.932392982542
1999-06-15,1372.0482865563479
1999-06-16,1366.6094268969587
1999-06-17,1377.5570751314467
1999-06-18,1390.8779654786451
1999-06-21,1397.1837883800995
1999-06-22,1393.0195613468375
1999-06-23,1373.4933263970004
1999-06-24,1369.3440350421688
1999-06-25,1367.9351434472123
1999-06-28,1362.834566290028
1999-06-29,1362.1375701061513
1999-06-30,1377.498424083667
1999-07-01,1405.5395253262714
1999-07-02,1396.3067822714975
1999-07-05,1416.561186635967
1999-07-06,1413.4345578984219
1999-07-07,1404.9139238047019
1999-07-08,1409.319925202379
1999-07-09,1415.7409914040795
1999-07-12,1432.3308457387195
1999-07-13,1408.9898094287125
1999-07-14,1422.1386615560734
1999-07-15,1433.843905633663
1999-07-16,1427.376037756792
1999-07-19,1440.1161099055826
1999-07-20,1445.5824289542106
1999-07-21,1437.642267854302
1999-07-22,1442.8363005356796
1999-07-23,1443.4843839446341
1999-07-26,1444.3334794274388
1999-07-27,1437.8258254227258
1999-07-28,1437.2408484735918
1999-07-29,1428.7256045299766
1999-07-30,1433.2284340657218
1999-08-02,1411.0606864290826
