Date,BRIC EQUAL WEIGHTED
1998-12-31,239.9411812095821
1999-01-01,239.9411812095821
1999-01-04,242.39773361951555
1999-01-05,243.42758019083544
1999-01-06,247.331054812744
1999-01-07,247.362220036664
1999-01-08,249.85735350983532
1999-01-11,249.16941239403428
1999-01-12,242.7946719527727
1999-01-13,230.13922001708363
1999-01-14,224.92502514189124
1999-01-15,226.39486116628743
1999-01-18,222.71968232536187
1999-01-19,221.18211513989903
1999-01-20,221.05067861045615
1999-01-21,219.26780522654633
1999-01-22,215.9154360278487
1999-01-25,213.1258938328034
1999-01-26,215.47590633538312
1999-01-27,217.79330286499774
1999-01-28,215.10017154309054
1999-01-29,213.23776107731194
1999-02-01,217.44781027357408
1999-02-02,219.76266900989557
1999-02-03,217.85352774766798
1999-02-04,216.2729065325806
1999-02-05,213.41568793071218
1999-02-08,210.78947199271093
1999-02-09,213.28973190419887
1999-02-10,216.06934169560404
1999-02-11,217.4757976564348
1999-02-12,218.39349716074608
1999-02-15,217.64741581638242
1999-02-16,219.6221126475224
1999-02-17,220.09295018656297
1999-02-18,219.87476217496427
1999-02-19,219.33523740209682
1999-02-22,217.8498520435508
1999-02-23,215.76572716048142
1999-02-24,215.26387357604918
1999-02-25,212.3836345495522
1999-02-26,213.26902047946834
1999-03-01,216.4773340372724
1999-03-02,214.71663372578382
1999-03-03,219.12781590966677
1999-03-04,220.41713623979726
1999-03-05,224.0742364762529
1999-03-08,226.43557460258833
1999-03-09,230.027697147081
1999-03-10,232.19700920723622
1999-03-11,230.4741405445499
1999-03-12,230.98304672375463
1999-03-15,236.63040082468152
1999-03-16,236.90440881497983
1999-03-17,239.15086572378038
1999-03-18,244.39466343086835
1999-03-19,246.03272414631886
1999-03-22,251.1077029556299
1999-03-23,253.128089789545
1999-03-24,249.91508526944054
1999-03-25,254.8008383170641
1999-03-26,251.45999930214649
1999-03-29,252.91962598907398
1999-03-30,255.13201895484923
1999-03-31,258.8834750422771
1999-04-01,258.9739645434748
1999-04-02,259.57932943193623
