Date,EM FAR EAST EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1020.5288869563307
1999-01-05,1044.9935759197972
1999-01-06,1083.2139524829786
1999-01-07,1116.9266653861876
1999-01-08,1105.5856638760752
1999-01-11,1113.9911823337513
1999-01-12,1102.7180079871762
1999-01-13,1066.9777544621306
1999-01-14,1023.4812133750104
1999-01-15,1047.374143029055
1999-01-18,1060.0690433158657
1999-01-19,1049.797243879613
1999-01-20,1048.744286432473
1999-01-21,1022.5553978683095
1999-01-22,985.9571408732014
1999-01-25,942.4009072899154
1999-01-26,947.0169063835552
1999-01-27,972.7015143353758
1999-01-28,974.8693965717034
1999-01-29,977.2039764897937
1999-02-01,978.589801790196
1999-02-02,969.5936338572246
1999-02-03,958.8523266734236
1999-02-04,939.8622166901138
1999-02-05,932.2411196581331
1999-02-08,933.4698960629368
1999-02-09,913.2568468472128
1999-02-10,920.4146562357118
1999-02-11,917.1591247171433
1999-02-12,936.661516790277
1999-02-15,936.147514466079
1999-02-16,936.5259696463509
1999-02-17,931.7127847658304
1999-02-18,924.6876280441801
1999-02-19,908.9611566714296
1999-02-22,908.3678356778926
1999-02-23,903.0502637041001
1999-02-24,899.2652277857519
1999-02-25,896.3652540372218
1999-02-26,916.5128801009728
1999-03-01,919.2297289516508
1999-03-02,916.3705376198292
1999-03-03,920.9906072101488
1999-03-04,914.5597264383473
1999-03-05,914.8917363533491
1999-03-08,928.1841887665837
1999-03-09,919.3957566735361
1999-03-10,914.3350492595296
1999-03-11,922.4261146976305
1999-03-12,929.887468704058
1999-03-15,941.4862132762509
1999-03-16,949.3322383814034
1999-03-17,957.8941609922459
1999-03-18,960.547405377076
1999-03-19,985.0651808265576
1999-03-22,991.5540277975806
1999-03-23,998.5151207460364
1999-03-24,992.9129250807337
1999-03-25,997.0206320865833
1999-03-26,996.0310003322618
1999-03-29,991.953520041924
1999-03-30,997.2504257666228
1999-03-31,997.0585230642683
1999-04-01,1016.5261010392213
1999-04-02,1035.1406428350385
1999-04-05,1033.1965487038976
1999-04-06,1050.9025646743796
1999-04-07,1056.2023528868172
1999-04-08,1071.4011230075264
1999-04-09,1090.7481567700584
1999-04-12,1087.7388772371933
1999-04-13,1098.5023926866436
1999-04-14,1112.2762031042537
1999-04-15,1148.6384878427111
1999-04-16,1179.136655008353
1999-04-19,1222.2987924034433
1999-04-20,1235.8863118256413
1999-04-21,1218.0550019187358
1999-04-22,1224.8249983999078
1999-04-23,1238.2093028999197
1999-04-26,1266.4150725250984
1999-04-27,1286.5445925412778
1999-04-28,1298.1905694794418
1999-04-29,1298.2263330945188
1999-04-30,1329.2897874459686
1999-05-03,1364.3346332963044
1999-05-04,1424.5675194532619
1999-05-05,1442.9334632801188
1999-05-06,1488.9074158551268
1999-05-07,1477.7246798142698
1999-05-10,1481.7482747333358
1999-05-11,1477.8077945678478
1999-05-12,1481.2410742532468
1999-05-13,1446.7308993459558
1999-05-14,1453.5801222045422
1999-05-17,1408.1104573848545
1999-05-18,1410.395067110308
1999-05-19,1418.5039875235816
1999-05-20,1410.304891572373
1999-05-21,1409.985239955459
1999-05-24,1426.714553985183
1999-05-25,1444.777733556442
1999-05-26,1455.684170722553
1999-05-27,1473.6698625641714
1999-05-28,1456.0261336126948
1999-05-31,1452.0897483393226
1999-06-01,1474.6396922358244
1999-06-02,1480.737957238284
1999-06-03,1494.6110809603688
1999-06-04,1512.101702986415
1999-06-07,1554.9826689566119
1999-06-08,1605.0484234983164
1999-06-09,1591.2475727013875
1999-06-10,1630.581123391582
1999-06-11,1660.4521830237477
1999-06-14,1690.8183585935612
1999-06-15,1673.48782928988
1999-06-16,1684.5398205583335
1999-06-17,1718.8626564101971
1999-06-18,1734.6376539981065
1999-06-21,1784.7821497247185
1999-06-22,1833.9457255716868
1999-06-23,1861.953164620711
1999-06-24,1868.1801841994904
1999-06-25,1849.6615488964262
1999-06-28,1882.1495947661506
1999-06-29,1903.0923663725132
1999-06-30,1873.3652340714932
1999-07-01,1881.6523997728887
1999-07-02,1897.770957702664
1999-07-05,1923.1751525467873
1999-07-06,1938.1266370605622
1999-07-07,1925.135839007301
1999-07-08,1932.0226834359862
1999-07-09,1950.8227301023396
1999-07-12,1939.026907950763
1999-07-13,1898.7131349727408
1999-07-14,1847.0806116340336
1999-07-15,1856.1953039733912
1999-07-16,1850.4070289386636
1999-07-19,1836.4215520691894
1999-07-20,1846.165806520745
1999-07-21,1818.466079702438
1999-07-22,1800.6080277879782
1999-07-23,1738.8424589642145
1999-07-26,1667.6875011540337
1999-07-27,1670.7943362597352
1999-07-28,1725.643846807218
1999-07-29,1755.0814881526026
1999-07-30,1733.9224010731052
1999-08-02,1721.5486519215149
1999-08-03,1739.4221664265026
1999-08-04,1734.9130460875149
1999-08-05,1685.176959904802
