Date,ASEAN EQUAL WEIGHTED
2006-11-30,1000.0
2006-12-01,1004.5966254462679
2006-12-04,1005.3308617840911
2006-12-05,1024.8718153140476
2006-12-06,1029.2904712221425
2006-12-07,1029.4963926319645
2006-12-08,1024.7355953925255
2006-12-11,1028.1117241586433
2006-12-12,1027.7730750735466
2006-12-13,1022.2551474343736
2006-12-14,1026.061684116326
2006-12-15,1034.9094201447401
2006-12-18,1030.7650364610272
2006-12-19,982.8382914480998
2006-12-20,1012.1113830997191
2006-12-21,1010.5760284996844
2006-12-22,1013.578872678682
2006-12-25,1013.9564840011367
2006-12-26,1014.1013546141623
2006-12-27,1024.8610599471137
2006-12-28,1028.3550809369056
2006-12-29,1035.578490537514
2007-01-01,1035.6436645002548
2007-01-02,1040.866111875242
2007-01-03,1051.4210691962528
2007-01-04,1044.3442941972799
2007-01-05,1041.2437397931717
2007-01-08,1034.8325788534983
2007-01-09,1033.6857811224127
2007-01-10,1022.5089701123768
2007-01-11,1027.7586982163368
2007-01-12,1040.6241388508736
2007-01-15,1060.2645811674402
2007-01-16,1072.60292254727
2007-01-17,1072.4994163333329
2007-01-18,1084.865626416207
2007-01-19,1091.746072739038
2007-01-22,1107.6076714389312
2007-01-23,1115.9063849110466
2007-01-24,1125.5238535994001
2007-01-25,1115.825778306536
2007-01-26,1116.6492084815952
2007-01-29,1117.1626739182218
2007-01-30,1126.281507914092
2007-01-31,1129.392302183725
2007-02-01,1137.6235383924814
2007-02-02,1157.3956846972499
2007-02-05,1167.844393347088
2007-02-06,1179.883720017282
2007-02-07,1185.0033438869493
2007-02-08,1179.5111225071635
2007-02-09,1174.7081863079422
2007-02-12,1165.7995892737072
2007-02-13,1157.9724419482916
2007-02-14,1173.2849685428268
2007-02-15,1193.6190325668827
2007-02-16,1190.3556082176945
2007-02-19,1185.6656137919192
2007-02-20,1189.6451956727456
2007-02-21,1201.6968981481305
2007-02-22,1205.1991785894745
2007-02-23,1209.409518432372
2007-02-26,1205.6961587213082
2007-02-27,1179.6402999600127
2007-02-28,1138.5579964282617
2007-03-01,1138.141522918949
2007-03-02,1129.9095418302363
2007-03-05,1092.5613174636642
2007-03-06,1106.6186700379212
2007-03-07,1121.6436976646098
2007-03-08,1139.3596239914436
2007-03-09,1145.241962991129
2007-03-12,1159.2740149619615
2007-03-13,1154.7291723404078
2007-03-14,1122.118454921067
2007-03-15,1129.9507567825324
2007-03-16,1134.979569641189
2007-03-19,1143.1290083783613
2007-03-20,1150.4668998574991
2007-03-21,1166.7237684226168
2007-03-22,1186.5932026431924
2007-03-23,1173.9195817665861
2007-03-26,1176.9942524027592
2007-03-27,1181.4160610259091
2007-03-28,1163.836679804201
2007-03-29,1172.1022336729816
2007-03-30,1178.633534324721
2007-04-02,1182.3592036064965
2007-04-03,1197.1317609538037
2007-04-04,1214.6958402821222
2007-04-05,1214.954558526192
2007-04-06,1213.7790846074176
2007-04-09,1223.9123594555022
2007-04-10,1227.883183558648
2007-04-11,1231.070833432284
2007-04-12,1224.0330007553043
2007-04-13,1225.4180740603467
2007-04-16,1236.6452981037894
2007-04-17,1240.1120254668378
2007-04-18,1239.612575370539
2007-04-19,1213.8996350893658
2007-04-20,1225.576526466963
2007-04-23,1230.4070474299303
2007-04-24,1224.555505172765
2007-04-25,1230.2642902036735
2007-04-26,1237.546962636147
2007-04-27,1240.084981541563
2007-04-30,1232.1146191264606
2007-05-01,1232.579672511887
2007-05-02,1237.953319245518
2007-05-03,1254.552585619868
2007-05-04,1271.7962411233816
2007-05-07,1277.6132999615018
2007-05-08,1270.8458463916586
2007-05-09,1274.1270622697225
2007-05-10,1280.9292949095727
2007-05-11,1272.146771228584
2007-05-14,1288.545499159807
2007-05-15,1282.5348098364395
2007-05-16,1292.7926527180325
2007-05-17,1299.5308013499553
2007-05-18,1301.8945850613115
2007-05-21,1306.8146276015195
2007-05-22,1323.6724441453955
2007-05-23,1323.7194345556145
2007-05-24,1304.2513713825242
2007-05-25,1294.2178859270882
2007-05-28,1305.1505635946598
2007-05-29,1301.6040766067028
2007-05-30,1295.2713249771255
2007-05-31,1304.8677719930467
2007-06-01,1319.0701042903677
2007-06-04,1339.420239346663
2007-06-05,1333.787856998298
2007-06-06,1325.8145802222923
2007-06-07,1317.0559891475557
2007-06-08,1291.4242928366573
2007-06-11,1302.7146837193611
2007-06-12,1313.7834457145814
2007-06-13,1296.1443034219326
2007-06-14,1310.3954906605948
2007-06-15,1322.3323055402634
2007-06-18,1346.4126993069628
2007-06-19,1345.7854824391086
2007-06-20,1361.0610925563446
2007-06-21,1354.3023912874535
2007-06-22,1352.265872243483
2007-06-25,1339.133229727237
2007-06-26,1327.0414840601004
2007-06-27,1314.9463879955247
2007-06-28,1322.5626933394044
2007-06-29,1334.533737126866
2007-07-02,1350.4573918155609
2007-07-03,1370.02134499598
2007-07-04,1374.8919929755946
2007-07-05,1379.0310011276276
2007-07-06,1379.6892462014287
2007-07-09,1400.1814054102401
2007-07-10,1406.4731302366833
2007-07-11,1391.4434769981738
2007-07-12,1400.188413895627
2007-07-13,1416.7815147807532
2007-07-16,1413.5399722470736
2007-07-17,1411.9602816080626
2007-07-18,1397.2946557271778
