Date,EM LATIN AMERICA EQUAL WEIGHTED
1999-08-06,1120.2433461540083
1999-08-09,1115.2806966552157
1999-08-10,1107.5865199650298
1999-08-11,1124.627071795498
1999-08-12,1124.7334309005757
1999-08-13,1133.9096380385788
1999-08-16,1126.6882977970722
1999-08-17,1126.3270553478042
1999-08-18,1108.0288191248787
1999-08-19,1102.2322176010655
1999-08-20,1111.2242959251796
1999-08-23,1122.7268844295438
1999-08-24,1117.0251259311653
1999-08-25,1135.8294042724192
1999-08-26,1129.1861743836812
1999-08-27,1122.705901303807
1999-08-30,1121.3841630405072
1999-08-31,1120.7700276501987
1999-09-01,1125.8655667632754
1999-09-02,1129.565436747426
1999-09-03,1135.7228394012743
1999-09-06,1140.4928711372193
1999-09-07,1133.9860482803967
1999-09-08,1130.6005257761374
1999-09-09,1142.2877578374714
1999-09-10,1155.3042162070076
1999-09-13,1163.1423587390843
1999-09-14,1162.8837271723523
1999-09-15,1155.3017546729695
1999-09-16,1149.9575653133181
1999-09-17,1155.8085458895166
1999-09-20,1171.6433525833274
1999-09-21,1159.3692020503402
1999-09-22,1159.6515107256973
1999-09-23,1157.2326605688813
1999-09-24,1160.890489635865
1999-09-27,1174.6981995615258
1999-09-28,1171.2410962544398
1999-09-29,1174.8532114789173
1999-09-30,1169.5020443675521
1999-10-01,1157.5576963067213
1999-10-04,1159.4170152389026
1999-10-05,1152.2814417941206
1999-10-06,1165.7371086183766
1999-10-07,1169.2636938240432
1999-10-08,1170.2340201885781
1999-10-11,1174.296670455527
1999-10-12,1166.8160518187824
1999-10-13,1149.795564459646
1999-10-14,1143.3372943878858
1999-10-15,1120.8110849395928
1999-10-18,1109.35124861993
1999-10-19,1122.9287381921317
1999-10-20,1130.7202996003648
1999-10-21,1134.1293838623826
1999-10-22,1147.7129290839096
1999-10-25,1144.0658189159994
1999-10-26,1142.642832342085
1999-10-27,1144.83731676377
1999-10-28,1158.9486953578291
1999-10-29,1179.1617446622993
1999-11-01,1183.672559926048
1999-11-02,1190.3293500851291
1999-11-03,1215.9430212463658
1999-11-04,1225.1434923193835
1999-11-05,1245.079139089959
1999-11-08,1248.8715787857075
1999-11-09,1248.1507172561326
1999-11-10,1256.8186771632168
1999-11-11,1254.8362929741488
1999-11-12,1253.9819262562119
1999-11-15,1258.9317185080945
1999-11-16,1265.2235669444776
