Date,EM LATAM ex BR EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,994.8120826703662
1999-01-05,990.0257348402615
1999-01-06,990.7369405568352
1999-01-07,980.7240269799626
1999-01-08,978.0808277579038
1999-01-11,958.1800660195996
1999-01-12,923.7805611753848
1999-01-13,869.1221504456284
1999-01-14,852.5273753418055
1999-01-15,903.8692317613204
1999-01-18,910.1018005107767
1999-01-19,899.5687972937393
1999-01-20,911.5690954761913
1999-01-21,894.5953170631597
1999-01-22,887.6381300836266
1999-01-25,896.0373181243267
1999-01-26,899.9602347983374
1999-01-27,906.8912144844054
1999-01-28,912.8542391290532
1999-01-29,916.370707305454
1999-02-01,929.0276499329618
1999-02-02,929.7956609515564
1999-02-03,933.1332038463854
1999-02-04,932.8655441396571
1999-02-05,932.583632488343
1999-02-08,930.069955401506
1999-02-09,927.779913001183
1999-02-10,933.5130177498112
1999-02-11,951.9642510837467
1999-02-12,951.8077234620798
1999-02-15,954.4966327383738
1999-02-16,958.8527458857693
1999-02-17,952.4307450697629
1999-02-18,958.6650271691279
1999-02-19,966.4113122237927
1999-02-22,965.8192760575822
1999-02-23,959.8198450225271
1999-02-24,960.682949795886
1999-02-25,954.2451733140522
1999-02-26,954.9108002354432
1999-03-01,951.7312981371526
1999-03-02,941.3486831981365
1999-03-03,941.6252990100063
1999-03-04,953.4349541036531
1999-03-05,960.5314308710584
1999-03-08,972.2917282237141
1999-03-09,978.2179646738786
1999-03-10,992.9047574070795
1999-03-11,1001.3367276557073
1999-03-12,1006.8442061933341
1999-03-15,1020.4828078109308
1999-03-16,1028.1529175464434
1999-03-17,1027.2767226136625
1999-03-18,1030.2075389472961
1999-03-19,1026.2571483068725
1999-03-22,1020.3575673959241
1999-03-23,1014.5709153669649
1999-03-24,1019.2523383123955
1999-03-25,1033.6342446857625
1999-03-26,1032.154215626542
1999-03-29,1041.9268232609365
1999-03-30,1048.7265716088705
1999-03-31,1056.7982942524854
1999-04-01,1060.216741402989
1999-04-02,1060.9629568297914
1999-04-05,1086.7392205423002
1999-04-06,1092.558934353194
1999-04-07,1097.659674390187
1999-04-08,1105.046839006376
1999-04-09,1109.1938841993974
1999-04-12,1121.5705534967988
1999-04-13,1126.1273509561759
1999-04-14,1130.2844048288507
1999-04-15,1156.55586011036
1999-04-16,1196.90148112764
1999-04-19,1220.80220739214
1999-04-20,1219.2960755951667
1999-04-21,1219.7313757611512
1999-04-22,1229.2715309737741
1999-04-23,1225.6834121538118
1999-04-26,1223.0577282590266
1999-04-27,1216.3535273123985
1999-04-28,1228.66426193556
1999-04-29,1230.975065423878
1999-04-30,1244.9151717544544
1999-05-03,1266.0731998346027
1999-05-04,1275.866387910592
1999-05-05,1277.2768787140974
1999-05-06,1298.573569962178
1999-05-07,1320.4663485001481
1999-05-10,1354.288491646876
1999-05-11,1356.107808860331
1999-05-12,1339.0001001790956
1999-05-13,1375.3748136752363
1999-05-14,1353.9202105920572
1999-05-17,1342.7751871317662
1999-05-18,1348.6336565240933
1999-05-19,1314.242103441454
1999-05-20,1303.6710268838758
1999-05-21,1274.2181348424187
1999-05-24,1245.6947811070822
1999-05-25,1214.3668472578188
1999-05-26,1229.2121681370395
1999-05-27,1208.6152285655767
1999-05-28,1213.5108477216695
1999-05-31,1216.1963385772467
1999-06-01,1206.8284813208584
1999-06-02,1200.384619524186
1999-06-03,1204.7345601454263
1999-06-04,1212.9134951908354
1999-06-07,1227.386476219415
1999-06-08,1229.9184362296555
1999-06-09,1220.2581950683368
1999-06-10,1214.1006762498923
1999-06-11,1200.2610759713248
1999-06-14,1192.5975046394753
1999-06-15,1194.4680440248758
1999-06-16,1215.6407934190547
1999-06-17,1228.903348457647
1999-06-18,1229.9877198999386
1999-06-21,1234.7323706980749
1999-06-22,1238.9338291566728
1999-06-23,1224.2035848191028
1999-06-24,1213.310260968197
1999-06-25,1198.3310821754396
1999-06-28,1205.7084031988904
1999-06-29,1207.8107246144436
1999-06-30,1221.7461911005114
1999-07-01,1230.1836165189297
1999-07-02,1244.5311943162524
1999-07-05,1250.5546638601713
1999-07-06,1251.9691337085662
1999-07-07,1251.6685396832618
1999-07-08,1236.4558479017585
1999-07-09,1235.2763561619888
1999-07-12,1198.0625094363425
1999-07-13,1207.6521243382097
1999-07-14,1210.0465486478638
1999-07-15,1221.9309039879104
1999-07-16,1223.1703931485172
1999-07-19,1223.236699521977
1999-07-20,1210.5718747624376
1999-07-21,1213.348775752635
1999-07-22,1202.941694159409
1999-07-23,1184.904824174261
1999-07-26,1162.6258044473357
1999-07-27,1160.7083913564377
1999-07-28,1167.5838033620257
1999-07-29,1156.8428426696582
1999-07-30,1159.7519036376318
1999-08-02,1147.480266396239
1999-08-03,1141.155125477255
1999-08-04,1135.2965635646262
1999-08-05,1132.806277346811
