Date,WORLD ex EMU SMALL GROWTH
1998-12-31,448.3464337858691
1999-01-01,448.3451014692436
1999-01-04,444.3288387848174
1999-01-05,446.1264430726408
1999-01-06,455.3892150755341
1999-01-07,460.72470783008356
1999-01-08,468.3454703108657
1999-01-11,475.0234072432082
1999-01-12,469.59319990601864
1999-01-13,457.9465763233296
1999-01-14,456.1939708656173
1999-01-15,464.7150313408197
1999-01-18,465.3687876883469
1999-01-19,470.0671756057686
1999-01-20,473.23478534604516
1999-01-21,467.06375363435404
1999-01-22,464.21078887761223
1999-01-25,464.40114813453806
1999-01-26,467.9395444446411
1999-01-27,468.4870600107736
1999-01-28,474.73230531000996
1999-01-29,480.7128945837063
1999-02-01,485.12481789818224
1999-02-02,481.1162339451098
1999-02-03,483.3985875981209
1999-02-04,482.10029835525665
1999-02-05,476.3192738036903
1999-02-08,474.68047661472036
1999-02-09,463.49044980904034
1999-02-10,458.2424753313375
1999-02-11,467.8804808334722
1999-02-12,463.27204857748023
1999-02-15,464.51196592717196
1999-02-16,464.12709817935837
1999-02-17,454.7499611984738
1999-02-18,455.0151593492347
1999-02-19,461.5502909233894
1999-02-22,470.1234246402971
1999-02-23,473.8913877782737
1999-02-24,472.39950971973934
1999-02-25,466.8567381128437
1999-02-26,469.85023984909697
1999-03-01,473.05990746325904
1999-03-02,472.589912020368
1999-03-03,470.10891994544085
1999-03-04,474.1698951433901
1999-03-05,480.60391045340145
1999-03-08,482.4035311118269
1999-03-09,482.6112942415194
1999-03-10,484.2523902782979
1999-03-11,490.68483313446706
1999-03-12,484.9882762969658
1999-03-15,487.2712449256675
1999-03-16,489.8902867916398
1999-03-17,486.6056514076193
1999-03-18,488.5863086155264
1999-03-19,491.45402542936
1999-03-22,489.7640698139203
1999-03-23,481.3259864805332
1999-03-24,479.92149459241045
1999-03-25,490.51645696785255
1999-03-26,496.1010177833698
1999-03-29,503.8466285342648
1999-03-30,502.6258020679232
1999-03-31,505.02380187623316
1999-04-01,505.6777675858371
1999-04-02,507.451142824076
1999-04-05,512.3231441173485
1999-04-06,509.5585615113884
1999-04-07,507.12159664577007
1999-04-08,510.3661530009985
1999-04-09,519.9797964591993
1999-04-12,521.0006899764741
1999-04-13,530.0042045290004
1999-04-14,527.8523984659181
1999-04-15,530.5378150355289
1999-04-16,536.2993279483878
1999-04-19,529.0340723434517
1999-04-20,527.8955683231547
1999-04-21,538.7830492666008
1999-04-22,545.2324800013349
1999-04-23,546.8095773703226
1999-04-26,554.4369218615154
1999-04-27,551.8014275058036
1999-04-28,551.0077879589608
1999-04-29,552.1692342491734
1999-04-30,554.2925889735317
1999-05-03,555.470020276125
1999-05-04,551.3763140353614
1999-05-05,548.8115966824932
1999-05-06,544.7512160776032
1999-05-07,544.9400967628507
1999-05-10,548.6945267076792
1999-05-11,555.9350733757028
1999-05-12,561.896942201428
1999-05-13,564.5555118807503
1999-05-14,554.3500053485625
1999-05-17,551.2829622189267
1999-05-18,552.4912715720276
1999-05-19,553.1251070499692
1999-05-20,556.4011251061406
1999-05-21,561.0394800353521
1999-05-24,552.414039073108
1999-05-25,543.0284872764455
1999-05-26,549.3236848939364
1999-05-27,548.7755314868258
1999-05-28,553.5281685989385
1999-05-31,554.6051819723283
1999-06-01,553.578135374837
1999-06-02,559.0496104366189
1999-06-03,559.6389858031337
1999-06-04,569.1502156589345
1999-06-07,575.6442335740169
1999-06-08,567.8672022140498
1999-06-09,571.6044477165718
1999-06-10,568.9884538614348
1999-06-11,568.4989841556218
1999-06-14,564.3839974752442
1999-06-15,563.4713269751044
1999-06-16,575.4266155975605
1999-06-17,580.5695869857534
1999-06-18,578.8439910460327
1999-06-21,587.5682445714805
1999-06-22,588.4153230842321
1999-06-23,589.9708497631882
1999-06-24,584.3125673720389
1999-06-25,579.045570130395
1999-06-28,590.0623322803117
1999-06-29,598.6340333951674
1999-06-30,610.026469154617
1999-07-01,617.5169861891101
1999-07-02,624.2505220799042
1999-07-05,624.3026456198917
1999-07-06,624.3195555011215
1999-07-07,620.863180711092
