Date,EUROPE & MIDDLE EAST SMALL GROWTH
2010-05-26,1000.0
2010-05-27,1030.6782919915834
2010-05-28,1026.353968446354
2010-05-31,1033.2997378852021
2010-06-01,1033.3764875914076
2010-06-02,1034.6838800363053
2010-06-03,1053.8528753461633
2010-06-04,1039.294401459981
2010-06-07,1027.2578277154282
2010-06-08,1011.3837550876328
2010-06-09,1033.1634628707864
2010-06-10,1050.2307833119855
2010-06-11,1052.6112163370403
2010-06-14,1070.3573140633466
2010-06-15,1076.8507916172102
2010-06-16,1072.7692902114095
2010-06-17,1069.5229917545275
2010-06-18,1074.0317046387026
2010-06-21,1085.4100914018775
2010-06-22,1083.8993180573548
2010-06-23,1077.610167106077
2010-06-24,1057.4676816704548
2010-06-25,1051.5291099934782
2010-06-28,1061.8393051347414
2010-06-29,1030.9934276909862
2010-06-30,1026.4931178425163
2010-07-01,998.4788070897736
2010-07-02,1006.4943700436252
2010-07-05,1009.3923934319366
2010-07-06,1035.0283601715757
2010-07-07,1040.3612206930304
2010-07-08,1052.195471332422
2010-07-09,1055.7946003995112
2010-07-12,1059.227322544138
2010-07-13,1076.489226424161
2010-07-14,1075.396523494648
2010-07-15,1065.6501571538788
2010-07-16,1051.6077035933124
2010-07-19,1039.5845619539944
2010-07-20,1036.8637740742756
2010-07-21,1057.9172573967357
2010-07-22,1072.5589059266695
2010-07-23,1086.7680530660239
2010-07-26,1094.5214822102023
2010-07-27,1093.1169680654089
2010-07-28,1088.7510911136335
2010-07-29,1088.6501169928592
2010-07-30,1083.603820616831
2010-08-02,1109.0010090867988
2010-08-03,1109.256088809367
2010-08-04,1109.5401143196777
2010-08-05,1110.4250923959205
2010-08-06,1103.539665488584
2010-08-09,1116.9605968679214
2010-08-10,1104.424452374527
2010-08-11,1081.2748604934852
2010-08-12,1074.1618737359645
2010-08-13,1078.9035019099117
2010-08-16,1081.112026187814
2010-08-17,1095.182157476991
2010-08-18,1094.8179600184883
2010-08-19,1086.1308320395717
2010-08-20,1077.536579576712
2010-08-23,1082.5723864235779
2010-08-24,1060.010947214074
2010-08-25,1050.7133124407828
2010-08-26,1060.4889589076283
2010-08-27,1065.7979638598326
2010-08-30,1069.5465158738543
2010-08-31,1070.5022189028482
2010-09-01,1096.8691138059357
2010-09-02,1100.6472169982696
2010-09-03,1108.229459932716
2010-09-06,1112.0030966647232
2010-09-07,1106.9117574488132
2010-09-08,1118.9916290440312
2010-09-09,1129.9997088656924
2010-09-10,1132.290588114735
2010-09-13,1140.8385438111873
2010-09-14,1139.9179655009086
2010-09-15,1139.5351712629958
2010-09-16,1131.0947162005034
2010-09-17,1136.7756926030243
2010-09-20,1145.7869954729265
2010-09-21,1147.9398878018828
2010-09-22,1132.5898788551408
2010-09-23,1134.141117643493
2010-09-24,1143.3033023768014
2010-09-27,1147.6308066115294
2010-09-28,1144.6813518617762
2010-09-29,1144.405745647477
2010-09-30,1139.742584571695
2010-10-01,1140.6063069781167
2010-10-04,1138.8321462355852
2010-10-05,1146.9688163064295
2010-10-06,1154.67098171825
2010-10-07,1150.8491405050925
2010-10-08,1152.0404244805236
2010-10-11,1162.4363594394333
2010-10-12,1160.5510308911782
2010-10-13,1177.2022062827155
2010-10-14,1179.2246861770466
2010-10-15,1178.2669007835111
2010-10-18,1179.357332198362
2010-10-19,1173.1183876629575
2010-10-20,1173.5687602506387
2010-10-21,1183.0798126272407
2010-10-22,1183.346472870741
2010-10-25,1192.4716710920372
2010-10-26,1193.2242110845618
2010-10-27,1183.4179423726268
2010-10-28,1183.577799577217
2010-10-29,1188.4378496059705
2010-11-01,1194.8601143750761
2010-11-02,1195.3801655404736
2010-11-03,1191.1489578669775
2010-11-04,1205.4885555493847
2010-11-05,1215.351950297652
2010-11-08,1215.9351236657067
2010-11-09,1226.4843574405509
2010-11-10,1218.4072828169374
2010-11-11,1213.1679517170937
2010-11-12,1205.767360710289
2010-11-15,1218.3251964824074
2010-11-16,1189.7187546873545
2010-11-17,1195.9876824419518
2010-11-18,1215.2649339018253
2010-11-19,1211.947961783935
2010-11-22,1211.759056689005
2010-11-23,1195.7714210025451
2010-11-24,1209.969409340854
2010-11-25,1220.573032861357
2010-11-26,1219.4162821188545
2010-11-29,1207.5024941645443
2010-11-30,1205.497509043895
2010-12-01,1230.4304435917504
2010-12-02,1253.835523492049
2010-12-03,1254.4205171266094
2010-12-06,1264.5177579376214
2010-12-07,1275.9522614031098
2010-12-08,1275.4059107388273
