Date,WORLD ex EUROPE SMALL GROWTH
1998-12-31,462.2460123060486
1999-01-01,462.2492637713947
1999-01-04,456.9337436249863
1999-01-05,458.81887890862254
1999-01-06,468.75730623524794
1999-01-07,474.96870959915844
1999-01-08,483.048670475842
1999-01-11,491.01812059213415
1999-01-12,485.02202213564476
1999-01-13,472.5319251853765
1999-01-14,469.9740797372557
1999-01-15,480.15006890005725
1999-01-18,480.36087034079065
1999-01-19,485.59925814191126
1999-01-20,489.1638553895436
1999-01-21,481.9157905457577
1999-01-22,478.8839097201021
1999-01-25,478.9477095056087
1999-01-26,482.95391410448065
1999-01-27,482.9677887182181
1999-01-28,489.8197162426635
1999-01-29,496.39620461891553
1999-02-01,500.69198340635825
1999-02-02,495.68570590117764
1999-02-03,498.6897457983114
1999-02-04,496.2080079723647
1999-02-05,489.1102274884673
1999-02-08,487.2261358014135
1999-02-09,474.19830402642214
1999-02-10,468.6242277597865
1999-02-11,479.97359050913724
1999-02-12,473.83409734900874
1999-02-15,475.31559802797483
1999-02-16,474.27227225813124
1999-02-17,463.47655085251046
1999-02-18,463.8294044162443
1999-02-19,470.9797145349326
1999-02-22,480.73300064453406
1999-02-23,485.20383851238824
1999-02-24,483.16552240624276
1999-02-25,477.0148253344386
1999-02-26,480.06509391004596
1999-03-01,483.310197796491
1999-03-02,482.31280824717925
1999-03-03,478.79872937416104
1999-03-04,483.27669968854724
1999-03-05,490.4087365947553
1999-03-08,492.7412469651331
1999-03-09,492.84780612081425
1999-03-10,494.72897357943566
1999-03-11,501.19746169042503
1999-03-12,494.1005121165367
1999-03-15,497.2369309446718
1999-03-16,500.07228948565273
1999-03-17,496.47341594693023
1999-03-18,498.82492729711424
1999-03-19,501.27396438554143
1999-03-22,499.14697425971787
1999-03-23,488.8565213376693
1999-03-24,487.8324174495657
1999-03-25,500.150560324986
1999-03-26,506.446954950738
1999-03-29,515.4590400855443
1999-03-30,514.4948140247997
1999-03-31,517.3950761050716
1999-04-01,518.5809166690821
1999-04-02,520.6397673216899
1999-04-05,526.2671821407026
1999-04-06,523.3322486030781
1999-04-07,520.0064790972965
1999-04-08,523.4124359557201
1999-04-09,534.7934295667278
1999-04-12,536.242023256754
1999-04-13,546.5401423902898
1999-04-14,543.5499421837922
1999-04-15,546.4006346661702
1999-04-16,552.4749647511882
1999-04-19,542.4906961652292
