Date,NORTH AMERICA SMALL GROWTH
1998-12-31,449.76494858384973
1999-01-01,449.76494858384973
1999-01-04,444.818494394777
1999-01-05,446.97228670048185
1999-01-06,457.66410857440206
1999-01-07,462.4068800939721
1999-01-08,471.6907683944226
1999-01-11,478.72794134257254
1999-01-12,473.7092962332705
1999-01-13,462.4358106788941
1999-01-14,458.5017381856417
1999-01-15,470.4060800576903
1999-01-18,470.29462303584586
1999-01-19,475.4347386471582
1999-01-20,477.91865225370526
1999-01-21,468.2573784764053
1999-01-22,466.62214181290335
1999-01-25,466.5783588211145
1999-01-26,470.60420028164987
1999-01-27,470.2487103387506
1999-01-28,479.13429541309426
1999-01-29,485.5929206645656
1999-02-01,488.9624923760094
1999-02-02,480.7595337399331
1999-02-03,485.3127732620064
1999-02-04,481.21750114742525
1999-02-05,473.699526306345
1999-02-08,471.7239191317004
1999-02-09,456.8570848805804
1999-02-10,450.48714547239837
1999-02-11,463.6641293983349
1999-02-12,455.43690131632945
1999-02-15,457.0845486988442
1999-02-16,457.01143532874784
1999-02-17,445.06795937429
1999-02-18,446.00070211069743
1999-02-19,453.72883380907604
1999-02-22,463.6723058329881
1999-02-23,468.027611873387
1999-02-24,465.2193607133332
1999-02-25,457.27529293664713
1999-02-26,458.4032822082342
1999-03-01,462.95079392578543
1999-03-02,463.2766846020603
1999-03-03,459.23875577986246
1999-03-04,465.59917903345644
1999-03-05,470.3603373584128
1999-03-08,473.35809200676294
1999-03-09,472.3358159999768
1999-03-10,472.7622927941473
1999-03-11,479.1749042924517
1999-03-12,470.079458721623
1999-03-15,471.7308501178736
1999-03-16,471.7732120698568
1999-03-17,467.36522286646465
1999-03-18,470.74973475904943
1999-03-19,468.8615154561016
1999-03-22,466.4178322999265
1999-03-23,453.35014678594905
1999-03-24,453.6950804908459
1999-03-25,466.72311124829366
1999-03-26,473.76791006128695
1999-03-29,483.7112541814202
1999-03-30,483.04357831423033
1999-03-31,483.5907057506488
1999-04-01,483.4356432894799
1999-04-02,484.63384226651175
1999-04-05,490.1360624960694
1999-04-06,485.7798066401257
1999-04-07,480.85920868877787
1999-04-08,482.6153189432327
1999-04-09,492.8182682840208
1999-04-12,496.9066811182811
1999-04-13,508.13041071970997
1999-04-14,502.3417406928372
1999-04-15,504.64639414504376
1999-04-16,509.3113111471609
1999-04-19,495.9595342858647
1999-04-20,500.08185617341496
1999-04-21,518.3029755736932
1999-04-22,523.9907336811702
1999-04-23,524.1957418252671
1999-04-26,533.0166654094119
1999-04-27,530.5816482921244
1999-04-28,527.8797334412795
1999-04-29,528.3650394097765
1999-04-30,530.0565302566642
1999-05-03,531.7537947419913
1999-05-04,525.7856897421739
1999-05-05,524.264203115234
1999-05-06,516.224295590173
1999-05-07,519.0282546081681
1999-05-10,524.6805824128368
1999-05-11,535.9077602782512
1999-05-12,543.7222985114415
1999-05-13,547.848501190631
1999-05-14,534.6072279045226
1999-05-17,534.3839139288565
1999-05-18,536.31878552973
1999-05-19,540.8522097308917
1999-05-20,544.8438830067821
1999-05-21,549.842223787526
1999-05-24,536.7394872005484
1999-05-25,524.5481001575876
1999-05-26,531.1192566546207
1999-05-27,529.7042569457655
1999-05-28,537.4750687648847
1999-05-31,539.1079376624206
1999-06-01,534.9314420080874
1999-06-02,539.1514185502821
1999-06-03,539.783748370268
1999-06-04,551.035871370894
1999-06-07,557.8381376632816
1999-06-08,546.5314716518427
1999-06-09,549.8409484700651
1999-06-10,544.1612254037997
1999-06-11,540.9365353215462
1999-06-14,535.4459326147617
1999-06-15,536.0713185607477
1999-06-16,549.7799827673081
1999-06-17,553.4535587218716
1999-06-18,552.7973580397154
1999-06-21,562.1174512393293
1999-06-22,560.6085361948789
1999-06-23,562.3775562659625
1999-06-24,555.5837714215813
1999-06-25,550.2797344497188
