Date,WORLD ex ISRAEL SMALL GROWTH
2010-05-26,1000.0
2010-05-27,1031.820706704132
2010-05-28,1021.5658080053189
2010-05-31,1028.5796310434766
2010-06-01,1008.524949633432
2010-06-02,1030.2370602398332
2010-06-03,1045.2653389478733
2010-06-04,1025.2636531533096
2010-06-07,1008.4284584626215
2010-06-08,1005.637457210418
2010-06-09,1004.4914310313593
2010-06-10,1027.5659950424745
2010-06-11,1039.1960891211495
2010-06-14,1036.5413486765387
2010-06-15,1051.951233859509
2010-06-16,1050.6964610804964
2010-06-17,1046.2398203226514
2010-06-18,1047.7688686561585
2010-06-21,1048.1061992272444
2010-06-22,1039.9391168310178
2010-06-23,1036.5544928249478
2010-06-24,1017.4174006054235
2010-06-25,1025.4504392507129
2010-06-28,1021.6310917843781
2010-06-29,997.503439867434
2010-06-30,984.6974212682654
2010-07-01,961.3213640372926
2010-07-02,949.7382613281213
2010-07-05,954.5092978865374
2010-07-06,951.8455731853225
2010-07-07,971.6688542097132
2010-07-08,979.613030538046
2010-07-09,992.1750614804728
2010-07-12,990.1743985978928
2010-07-13,1003.7686199486968
2010-07-14,1001.9502882355589
2010-07-15,986.823112371054
2010-07-16,959.0560765678101
2010-07-19,955.8058186243576
2010-07-20,969.2948375879444
2010-07-21,970.1074745461929
2010-07-22,985.8945143550766
2010-07-23,1008.8756176085157
2010-07-26,1017.3573893270972
2010-07-27,1007.8914897393562
2010-07-28,998.0323963545056
2010-07-29,992.9561831405681
2010-07-30,996.1640339131561
2010-08-02,1003.5510942207194
2010-08-03,999.8636906789275
2010-08-04,1009.2481669328355
2010-08-05,1006.5704028865865
2010-08-06,996.2256335317815
2010-08-09,1007.4610319226082
2010-08-10,1001.7430295678929
2010-08-11,983.3360332050516
2010-08-12,979.9599707742555
2010-08-13,982.9697515059612
2010-08-16,981.995454668224
2010-08-17,994.8465084431487
2010-08-18,998.5131690811119
2010-08-19,985.629671474197
2010-08-20,989.6192490554239
2010-08-23,986.4233636717586
2010-08-24,970.2960495010324
2010-08-25,975.2387767880836
2010-08-26,968.6778828560182
2010-08-27,986.6320986361966
2010-08-30,980.720466428871
2010-08-31,975.7253416177439
2010-09-01,996.1780744906071
2010-09-02,1007.6309830770008
2010-09-03,1018.510608650585
2010-09-06,1021.9713180765071
2010-09-07,1020.4972809015818
2010-09-08,1024.733426001634
2010-09-09,1029.6989500854388
2010-09-10,1033.652322741149
2010-09-13,1041.7879214145476
2010-09-14,1035.7381013019726
2010-09-15,1032.8687470304742
2010-09-16,1024.2862353257235
2010-09-17,1032.8712010520803
