Date,EUROPE ex UK SMALL GROWTH
1998-12-31,516.4023577376844
1999-01-01,516.2329906400457
1999-01-04,529.3283414773749
1999-01-05,529.932369579342
1999-01-06,534.2846574681579
1999-01-07,532.4221046440132
1999-01-08,535.161225923535
1999-01-11,534.9919163658599
1999-01-12,532.6283769055888
1999-01-13,514.7086471933297
1999-01-14,520.2607309316762
1999-01-15,520.5212040916371
1999-01-18,528.3689348728388
1999-01-19,528.5818798985404
1999-01-20,531.5364956423338
1999-01-21,529.1296878564768
1999-01-22,522.9631616746457
1999-01-25,521.5999086964626
1999-01-26,527.0634286510337
1999-01-27,529.4440698883915
1999-01-28,530.6224986168074
1999-01-29,532.5763107979847
1999-02-01,537.1162456578738
1999-02-02,535.3008897924532
1999-02-03,535.0630687111486
1999-02-04,538.0435662102822
1999-02-05,539.3533450157624
1999-02-08,539.6241700439411
1999-02-09,536.1322753997615
1999-02-10,530.2676852719866
1999-02-11,534.8792105434436
1999-02-12,540.7181182919012
1999-02-15,540.3052794780324
1999-02-16,541.2042424701887
1999-02-17,539.0231654215569
1999-02-18,537.4741856640003
1999-02-19,537.4256208608776
1999-02-22,540.4461006355225
1999-02-23,539.3588967539297
1999-02-24,544.2995789555498
1999-02-25,544.123554624232
1999-02-26,544.6552603825907
1999-03-01,544.9091298479017
1999-03-02,541.4786482915488
1999-03-03,541.4316210511992
1999-03-04,537.6625363741637
1999-03-05,543.3132943534753
1999-03-08,545.1248843062045
1999-03-09,545.5384273959062
1999-03-10,541.7955403360011
1999-03-11,543.231883728585
1999-03-12,547.1944217693402
1999-03-15,547.4110703655796
1999-03-16,546.6729620249099
1999-03-17,546.5843504908064
1999-03-18,544.7887864305585
1999-03-19,548.2662901518205
1999-03-22,545.3432128660228
1999-03-23,539.2680060826608
1999-03-24,530.8450438941958
1999-03-25,536.1243892858487
1999-03-26,537.7391450617711
1999-03-29,537.6682497335386
1999-03-30,538.6550667744146
1999-03-31,537.270651341069
1999-04-01,533.956315235104
1999-04-02,535.6135842308702
1999-04-05,533.894002866326
1999-04-06,537.396662920285
1999-04-07,540.1579954038173
1999-04-08,542.6975510499175
1999-04-09,545.0975839324304
1999-04-12,543.9506847010971
1999-04-13,548.5289194778251
1999-04-14,551.3649846381459
1999-04-15,551.3340474971402
1999-04-16,551.0078847047298
1999-04-19,551.8425509515436
1999-04-20,545.340813622757
1999-04-21,546.8555619880922
1999-04-22,547.5638172565208
1999-04-23,548.4304946389938
1999-04-26,549.6000405260365
1999-04-27,553.9039952994291
1999-04-28,554.1726043220349
1999-04-29,555.0413992443313
1999-04-30,559.4971986710802
1999-05-03,563.1619622660867
1999-05-04,564.9511616192123
1999-05-05,564.7184233795548
1999-05-06,567.434404745994
1999-05-07,566.6220725997218
1999-05-10,567.1709216741019
1999-05-11,569.6107105398435
1999-05-12,570.1061967506679
1999-05-13,570.3422221382554
1999-05-14,570.210344932308
1999-05-17,562.8825940780401
1999-05-18,567.3015418536298
1999-05-19,569.8393479272835
1999-05-20,574.7833016427638
1999-05-21,576.49363359529
1999-05-24,576.124259699327
1999-05-25,572.3147504587686
1999-05-26,570.5166566959607
1999-05-27,569.7802172556702
