Date,WORLD ex AUSTRALIA SMALL GROWTH
1998-12-31,494.036296580982
1999-01-01,493.99762086909044
1999-01-04,492.7061118307191
1999-01-05,494.31067000159993
1999-01-06,503.26272225284697
1999-01-07,507.53431160004527
1999-01-08,514.6906031763673
1999-01-11,520.6183820608882
1999-01-12,515.2606895991083
1999-01-13,501.6099558114392
1999-01-14,501.14076070503063
1999-01-15,508.8480325041587
1999-01-18,510.8933526635777
1999-01-19,514.9711462161101
1999-01-20,518.3209103465206
1999-01-21,512.2806884637523
1999-01-22,508.59165566578133
1999-01-25,508.4904212054821
1999-01-26,512.9967031122345
1999-01-27,513.7230028804103
1999-01-28,519.5630317951142
1999-01-29,525.2962744494703
1999-02-01,529.941308387438
1999-02-02,525.9320271657248
1999-02-03,528.0253891595839
1999-02-04,527.1203658309428
1999-02-05,521.9035206542904
1999-02-08,520.5387780786597
1999-02-09,509.79231929082414
1999-02-10,503.94746526526126
1999-02-11,513.5792653958948
1999-02-12,510.4364311918918
1999-02-15,511.413308666203
1999-02-16,511.2501788982638
1999-02-17,502.4358394316715
1999-02-18,502.24794215965653
1999-02-19,507.88853557237087
1999-02-22,516.1147439138052
1999-02-23,519.2105450067678
1999-02-24,518.8858339922268
1999-02-25,514.2881550163122
1999-02-26,517.0733603616118
1999-03-01,520.0297523095072
1999-03-02,518.7382956469171
1999-03-03,516.2272776144578
1999-03-04,519.1074590969141
1999-03-05,525.9039394778422
1999-03-08,527.9690431150918
1999-03-09,528.250451016278
1999-03-10,529.1261776098997
1999-03-11,535.0085461090664
1999-03-12,530.5986340961132
1999-03-15,532.8688035309709
1999-03-16,535.3506091317053
1999-03-17,532.328498396065
1999-03-18,533.6749015643088
1999-03-19,536.6895475512937
1999-03-22,534.448670069897
1999-03-23,525.1388633261203
1999-03-24,522.357302172721
1999-03-25,533.0001718335292
1999-03-26,538.2342092938462
1999-03-29,545.1291030314135
1999-03-30,544.3875140270442
1999-03-31,546.16108595256
1999-04-01,545.9528148254025
1999-04-02,547.995455104103
1999-04-05,552.0808045576954
1999-04-06,550.2605762249167
1999-04-07,548.5031821287611
1999-04-08,552.0389224974901
1999-04-09,561.1076403807541
1999-04-12,561.9947325446227
1999-04-13,570.9904215992461
1999-04-14,569.5491790682522
1999-04-15,571.8816823260063
1999-04-16,576.6680427885609
1999-04-19,569.520398693934
