Date,WORLD ex USA SMALL GROWTH
1998-12-31,484.97082055723047
1999-01-01,484.8944819285236
1999-01-04,488.4108203328266
1999-01-05,489.30084124419153
1999-01-06,495.20449707896677
1999-01-07,498.93582771285685
1999-01-08,502.56616423552833
1999-01-11,506.5844301149162
1999-01-12,501.67201460327504
1999-01-13,486.2864679334159
1999-01-14,490.1168796677081
1999-01-15,491.8532947977019
1999-01-18,496.3463620915223
1999-01-19,498.495353442109
1999-01-20,502.65010727995457
1999-01-21,502.14840008391735
1999-01-22,496.5215308029682
1999-01-25,496.01229304952784
1999-01-26,499.96716277124057
1999-01-27,501.8906119277712
1999-01-28,503.26054308882897
1999-01-29,507.62308062872256
1999-02-01,513.5762491898214
1999-02-02,515.3405022903186
1999-02-03,514.382078151651
1999-02-04,518.5990480063144
1999-02-05,517.414533751013
1999-02-08,517.1227402053586
1999-02-09,512.6577474149067
1999-02-10,508.26796961429864
1999-02-11,512.2076862585263
1999-02-12,515.8012325392265
1999-02-15,516.0261268949563
1999-02-16,515.4912533401866
1999-02-17,511.73138841184385
1999-02-18,510.7495085437316
1999-02-19,513.678965698238
1999-02-22,518.557670321532
1999-02-23,519.3491180919218
1999-02-24,521.7325068812322
1999-02-25,520.943150425111
1999-02-26,525.1278147473968
1999-03-01,525.5911563758098
1999-03-02,522.7420809295936
1999-03-03,522.6836072478964
1999-03-04,521.4850505281247
1999-03-05,529.9753921276617
1999-03-08,530.8725504336622
1999-03-09,532.7109661164349
1999-03-10,533.7852736138518
1999-03-11,538.5657650071496
1999-03-12,540.3013359485486
1999-03-15,542.7891451724954
1999-03-16,547.4394375685745
1999-03-17,546.3633865738607
1999-03-18,545.7741165242707
1999-03-19,554.2661431109361
1999-03-22,553.3232214381485
1999-03-23,550.3795139732362
1999-03-24,544.551156183813
1999-03-25,550.2556784293199
1999-03-26,552.8647039245859
1999-03-29,555.320288100448
1999-03-30,554.3234189404685
1999-03-31,557.2766268105173
1999-04-01,557.4536388072598
1999-04-02,560.1889130995722
1999-04-05,562.3303164646726
1999-04-06,563.2073197101765
1999-04-07,565.2821519217001
1999-04-08,570.1202820990496
1999-04-09,576.7392009776303
1999-04-12,573.6561358844061
1999-04-13,578.9182318927128
1999-04-14,582.8147467234671
1999-04-15,585.1956334361705
1999-04-16,590.0243699305995
1999-04-19,592.7329472801747
1999-04-20,583.6659265637434
1999-04-21,582.5457727389861
1999-04-22,587.6440391022651
1999-04-23,590.7824086267807
1999-04-26,594.535882509826
1999-04-27,594.376959767002
1999-04-28,596.9281402306126
1999-04-29,599.278191734689
1999-04-30,603.2047159159305
1999-05-03,604.6546844888768
1999-05-04,604.4084110726739
1999-05-05,601.3560984692909
1999-05-06,604.2912863953184
1999-05-07,600.875991531622
1999-05-10,601.2500421813667
1999-05-11,602.6423090447029
1999-05-12,604.4757022947093
1999-05-13,604.8983520878458
1999-05-14,601.3844549958884
1999-05-17,593.2141452676004
1999-05-18,595.1851457189467
1999-05-19,591.9311958537713
1999-05-20,595.0402445657943
1999-05-21,598.4993705670022
1999-05-24,598.0804211775852
1999-05-25,593.3891389586647
1999-05-26,596.259979529128
1999-05-27,596.619634314337
1999-05-28,595.3293531554546
1999-05-31,596.1910442964227
1999-06-01,601.0087148369923
1999-06-02,605.3457503666475
1999-06-03,607.0614179428471
1999-06-04,611.8070059082432
1999-06-07,616.5015776132225
1999-06-08,615.1280840442366
1999-06-09,617.9500956382906
1999-06-10,619.2052864595227
1999-06-11,621.6628903652371
1999-06-14,620.8673886100678
1999-06-15,618.4588490960106
1999-06-16,624.4560529679032
1999-06-17,630.2910654103954
1999-06-18,628.5832567758603
1999-06-21,635.7490981013588
1999-06-22,638.8390823727492
1999-06-23,639.107294679696
1999-06-24,637.1462641264761
1999-06-25,632.9899425748795
1999-06-28,639.3074872617987
1999-06-29,644.2171059434635
1999-06-30,647.012986798696
1999-07-01,658.3888927720268
1999-07-02,663.2313310387308
1999-07-05,666.6218799482447
1999-07-06,665.3315596132326
1999-07-07,664.7165950409926
1999-07-08,663.3910830862848
1999-07-09,663.9555942177642
1999-07-12,670.1982978504204
1999-07-13,669.0487257865186
1999-07-14,671.5626585828272
1999-07-15,674.1326561879953
1999-07-16,672.6131693241291
1999-07-19,678.6401392559751
1999-07-20,668.7856335723084
1999-07-21,661.1590843582011
1999-07-22,658.6001316049865
1999-07-23,657.926056620932
1999-07-26,649.688573015352
1999-07-27,646.1877119469218
1999-07-28,652.3960634951817
